brand,manufacturer,countryCode,partnerName,partnerRole,evidenceLevel,evidenceUrl,partnerWebsite,city,phone,email,verificationStatus,lastChecked,notes
Planmeca,Planmeca Oy,FI,LLP Astra Medical,AUTHORIZED_DEALER,MANUFACTURER_DIRECTORY,https://www.planmeca.com/find-dealers/llp-astra-medical/,https://www.adent.kz/,Almaty,+7 727 391 08 28,manager1@adent.kz,CONFIRMED,2026-07-22,Manufacturer locator names the Kazakhstan dealer directly
NSK,Nakanishi Inc.,JP,LUCH LLP,AUTHORIZED_DEALER,MANUFACTURER_DIRECTORY,https://www.japan.nsk-dental.com/contacts/russia_cis/,https://luch.asia/,Almaty,+7 727 274 01 57,info@luch.asia,CONFIRMED,2026-07-22,Listed by NSK for Kazakhstan
NSK,Nakanishi Inc.,JP,Stomed,AUTHORIZED_DEALER,MANUFACTURER_DIRECTORY,https://www.japan.nsk-dental.com/contacts/russia_cis/,https://medsales.kz/,Kostanay,+7 7142 28 01 65,,CONFIRMED,2026-07-22,Listed by NSK for Kazakhstan
NSK,Nakanishi Inc.,JP,Astra-dent,AUTHORIZED_DEALER,MANUFACTURER_DIRECTORY,https://www.japan.nsk-dental.com/contacts/russia_cis/,https://www.adent.kz/,Almaty,+7 727 391 08 28,,CONFIRMED,2026-07-22,Listed by NSK for Kazakhstan
Solventum,Solventum Corporation,US,HELIY LLP,DENTAL_DISTRIBUTOR,MANUFACTURER_DIRECTORY,https://www.solventum.com/en-us/home/our-company/export-countries/,https://heliy.kz/,Almaty,,info@heliy.kz,CONFIRMED,2026-07-22,Listed in Solventum export countries as Dental
Solventum,Solventum Corporation,US,LUCH LLP,DENTAL_DISTRIBUTOR,MANUFACTURER_DIRECTORY,https://www.solventum.com/en-us/home/our-company/export-countries/,https://luch.asia/,Almaty,,info@luch.asia,CONFIRMED,2026-07-22,Listed in Solventum export countries as Dental
Solventum,Solventum Corporation,US,VITIME LLP,DENTAL_DISTRIBUTOR,MANUFACTURER_DIRECTORY,https://www.solventum.com/en-us/home/our-company/export-countries/,,Kostanay,,,CONFIRMED,2026-07-22,Listed in Solventum export countries as Dental
Ivoclar,Ivoclar Vivadent AG,LI,Ident LLC,DISTRIBUTOR,MANUFACTURER_DIRECTORY,https://www.ivoclar.com/distributors/,,,,,CONFIRMED,2026-07-22,Listed in the Kazakhstan block of the Ivoclar distributor directory
Ivoclar,Ivoclar Vivadent AG,LI,IVO-HANDELS KZ,DISTRIBUTOR,MANUFACTURER_DIRECTORY,https://www.ivoclar.com/distributors/,https://www.ivohandels.com/,,,,CONFIRMED,2026-07-22,Listed in the Kazakhstan block of the Ivoclar distributor directory
Ivoclar,Ivoclar Vivadent AG,LI,KazDent Service,DISTRIBUTOR,MANUFACTURER_DIRECTORY,https://www.ivoclar.com/distributors/,https://www.kazdentservice.kz/,,,,CONFIRMED,2026-07-22,Listed in the Kazakhstan block of the Ivoclar distributor directory
Ivoclar,Ivoclar Vivadent AG,LI,Luch LTD,DISTRIBUTOR,MANUFACTURER_DIRECTORY,https://www.ivoclar.com/distributors/,https://www.luch.kz/,,,,CONFIRMED,2026-07-22,Listed in the Kazakhstan block of the Ivoclar distributor directory
Tokuyama Dental,Tokuyama Dental Corporation,JP,Proteco Asia,OFFICIAL_IMPORTER,PARTNER_SELF_DECLARATION,https://proteco.kz/?list=11169824,https://proteco.kz/,Almaty,+7 727 339 60 06,info@proteco.kz,CONFIRM_WITH_MANUFACTURER,2026-07-22,Partner states that it is the official Tokuyama Dental importer in Kazakhstan
Kerr,Kerr Corporation,US,LUCH LLP,DISTRIBUTOR,MANUFACTURER_DIRECTORY,https://www.kerrdental.com/ru-ru/distribyutory-kerr,https://luch.asia/,Almaty,,,MANUAL_REVIEW,2026-07-22,Kerr page names LUCH but publishes mismatched phone and website details
GC,GC Corporation,JP,KASSIS Ltd,DISTRIBUTOR,MANUFACTURER_DIRECTORY,https://www.gc.dental/ortho/en-EU/distributors,,Almaty,,,CONFIRMED,2026-07-22,GC Orthodontics distributor directory lists KASSIS Ltd for Kazakhstan
Ultradent,"Ultradent Products, Inc.",US,U-Dent Kazakhstan,AUTHORIZED_DISTRIBUTOR,MANUFACTURER_DIRECTORY,https://testglobal.ultradent.com/support/Kazakhstan,http://www.udent.kz,Almaty,+7 707 703 0063,u-dent@mail.ru,CONFIRMED,2026-07-22,Official Ultradent Kazakhstan page lists U-Dent under Where To Buy
