brand,canonicalProductName,kzStatus,evidenceUrl,lastChecked,notes
EKOM,Безмасляный стоматологический компрессор EKOM DK50 SIMPLE,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Безмасляный стоматологический компрессор EKOM DK50-10,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Безмасляный стоматологический компрессор EKOM DK50 PLUS,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Безмасляный стоматологический компрессор EKOM DK50 2V,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Безмасляный стоматологический компрессор EKOM DK50 2V/50,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Безмасляный стоматологический компрессор EKOM DK50 4VR/50,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Безмасляный стоматологический компрессор EKOM DK50 2X2V/110,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Безмасляный стоматологический компрессор EKOM DK50 2X4VR/110,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Безмасляный стоматологический компрессор EKOM DK50 3X4VR/M,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Безмасляный стоматологический компрессор EKOM DK50 4X4VRT/M,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Безмасляный стоматологический компрессор EKOM DK50 6X4VRT/M,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Безмасляный стоматологический компрессор EKOM DK50 9X4VRT/M,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Компрессор с аспирацией EKOM DUO,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Компрессор с аспирацией EKOM DUO 2V,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Компрессор с аспирацией EKOM DUO 2,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Система аспирации EKOM DO 3,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Система аспирации EKOM DO 2.1,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Система аспирации EKOM DO M,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Система управления компрессорами EKOM 3KOM,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Глушители выхлопа EKOM,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Регуляторы давления EKOM,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
EKOM,Фильтрующие модули EKOM,KZ_REPRESENTATIVE_NETWORK,https://www.medexim.sk/en/contacts/corporate-representation/kazakhstan,2026-07-22,Производитель публикует действующую стоматологическую линейку; в Казахстане указаны четыре представителя
