brand,canonicalProductName,kzStatus,evidenceUrl,lastChecked,notes
BISCO,Aelite Aesthetic Enamel,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Aelite All-Purpose Body,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Aelite LS Posterior,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Aeliteflo,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,All-Bond Universal,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,All-Bond 3,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Aqua-Prep F,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=30&category_id=15&manufacturer_id=3&option=com_virtuemart&Itemid=17,2026-07-22,Local card and two official packaging references are recorded
BISCO,Bis-Silane,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed as a separate product by the Kazakhstan representative
BISCO,BisCem,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Biscover LV,KZ_DISTRIBUTOR_LEGACY_CATALOG,https://www.denco.kz/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=43&category_id=31&manufacturer_id=3&option=com_virtuemart&Itemid=17,2026-07-22,Still listed locally but no longer in the current global storefront; confirm availability before attaching offers
BISCO,Bisfil 2B,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Choice 2,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Local catalog calls this family Choice 2 Kit
BISCO,Core-Flo DC,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Local catalog uses the shorter CORE-FLO family name
BISCO,Duo-Link Universal,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Local catalog uses the shorter DUO-LINK family name
BISCO,Fortify,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Intraoral Repair Kit,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Modeling Resin,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,One-Step Plus,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Porcelain Bonding Resin,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Porcelain Etchant,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Porcelain Primer,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed as a separate product by the Kazakhstan representative
BISCO,TheraCal LC,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,TheraCem,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
BISCO,Uni-Etch,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Local catalog names the family UNI-ETCH 32%
BISCO,Z-Prime Plus,KZ_DISTRIBUTOR_CATALOG,https://www.denco.kz/index.php?option=com_virtuemart&Itemid=17&category_id=&page=shop.browse&manufacturer_id=3&limit=50&limitstart=0,2026-07-22,Listed by the Kazakhstan exclusive representative
