brand,canonicalProductName,currentManufacturerRef,aliasManufacturerRef,aliasType,evidenceUrl,lastChecked
GC,GC Initial LiSi Press,10003665,901428,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003666,901429,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003667,901430,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003668,901431,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003669,901432,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003670,901433,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003671,901434,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003672,901435,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003673,901436,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003674,901437,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003675,901438,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003676,901439,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003677,901440,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003678,901441,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003679,901442,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10003680,901443,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10004833,901541,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10006352,901621,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10004853,901542,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10004824,901538,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
GC,GC Initial LiSi Press,10004962,901539,OFFICIAL_LEGACY_REF,https://www.gc.dental/europe/sites/europe.gc.dental/files/documents/2022-06/AT%20LaborTerm%20II%202022.pdf,2026-07-22
