brand,canonicalProductName,manufacturerRef,variantLabel
Solventum,3M Scotchbond Universal Plus Adhesive,41293,Стартовый набор: флакон 5 мл + протравка 3 мл
Solventum,3M Scotchbond Universal Plus Adhesive,41294,Флакон 5 мл
Solventum,3M Scotchbond Universal Plus Adhesive,41295,3 флакона × 5 мл
Solventum,3M Scotchbond Universal Plus Adhesive,41297,Одноразовые дозы L-Pop 50 шт. + протравка 3 мл
Solventum,3M Scotchbond Universal Plus Adhesive,41298,Одноразовые дозы L-Pop 100 шт. + протравка 3 мл
Solventum,3M Scotchbond Universal Plus Adhesive,41299,Одноразовые дозы L-Pop 200 шт. + протравка 3 мл
Solventum,3M Scotchbond Universal Plus Adhesive,41304,Одноразовые дозы L-Pop 400 шт. + протравка 3 мл
Solventum,3M Clinpro White Varnish,12247BL,Унидозы 500 × 0.5 мл · вкус дыни
Solventum,3M Filtek One Bulk Fill Restorative,4866A1,Шприц 4 г · оттенок A1
Solventum,3M Filtek One Bulk Fill Restorative,4866A2,Шприц 4 г · оттенок A2
Solventum,3M Filtek One Bulk Fill Restorative,4866A3,Шприц 4 г · оттенок A3
Solventum,3M Filtek One Bulk Fill Restorative,4866B1,Шприц 4 г · оттенок B1
Solventum,3M Filtek One Bulk Fill Restorative,4866C2,Шприц 4 г · оттенок C2
Solventum,3M Filtek One Bulk Fill Restorative,4867A1,Капсулы 20 × 0.2 г · оттенок A1
Solventum,3M Filtek One Bulk Fill Restorative,4867A2,Капсулы 20 × 0.2 г · оттенок A2
Solventum,3M Filtek Universal Restorative,6550CK,Набор капсул 90 × 0.2 г · оттенки A1 / A2 / A3 / A3.5 / PO
Solventum,3M RelyX Universal Resin Cement,56968,Стартовый набор · 4 шприца × 3.4 г · TR / A1 / A3O / WO
Solventum,3M RelyX Universal Resin Cement,56969,Пробный набор · шприц 3.4 г · прозрачный TR
Solventum,3M RelyX Universal Resin Cement,56970,Пробный набор · шприц 3.4 г · оттенок A1
Solventum,3M RelyX Universal Resin Cement,56971,Шприц 3.4 г · прозрачный TR
Solventum,3M RelyX Universal Resin Cement,56972,Шприц 3.4 г · оттенок A1
Solventum,3M RelyX Universal Resin Cement,56973,Шприц 3.4 г · опаковый A3O
Solventum,3M RelyX Universal Resin Cement,56974,Шприц 3.4 г · белый опаковый WO
Solventum,3M RelyX Universal Resin Cement,56977,3 шприца × 3.4 г · прозрачный TR
Solventum,3M RelyX Universal Resin Cement,56978,3 шприца × 3.4 г · оттенок A1
GC,GC EQUIA Forte HT,453005,Стартовый набор · 48 капсул ассорти + Coat 4 мл + Conditioner 5.7 мл
GC,GC EQUIA Forte HT,453010,Капсулы 48 × 0.13 мл · оттенок A1
GC,GC EQUIA Forte HT,453011,Капсулы 48 × 0.13 мл · оттенок A2
GC,GC EQUIA Forte HT,453012,Капсулы 48 × 0.13 мл · оттенок A3
GC,GC EQUIA Forte HT,453013,Капсулы 48 × 0.13 мл · оттенок A3.5
GC,GC EQUIA Forte HT,453014,Капсулы 48 × 0.13 мл · оттенок B1
GC,GC EQUIA Forte HT,453015,Капсулы 48 × 0.13 мл · оттенок B2
GC,GC EQUIA Forte HT,453016,Капсулы 48 × 0.13 мл · оттенок B3
GC,GC EQUIA Forte HT,453017,Капсулы 48 × 0.13 мл · оттенок C4
GC,GC FujiCEM Evolve,012948,Шприц 9.2 г / 5 мл + 15 насадок
GC,GC FujiCEM Evolve,012949,3 шприца × 9.2 г / 5 мл · для ручного смешивания
GC,GC FujiCEM Evolve,012950,3 шприца × 9.2 г / 5 мл + 45 насадок
GC,GC FujiCEM Evolve,012954,Смесительные насадки · 15 шт.
GC,GC FujiCEM Evolve,012955,Эндодонтические насадки · 15 шт.
GC,GC G-ænial A'CHORD,952258,Набор шприцев 5 × 4 г · A2 / A3 / AO2 / AE / JE
GC,GC G-ænial A'CHORD,952259,Набор шприцев 5 × 4 г · A1 / A2 / A3 / A3.5 / A4
GC,GC G-ænial A'CHORD,952260,Пробный набор 3 × 4 г · A2 × 2 + A3
GC,GC G-ænial A'CHORD,952261,Пробный набор 3 × 4 г · A3 × 2 + A2
GC,GC G-ænial A'CHORD,952262,Набор Bleach 3 × 4 г · BW / BOW / JE
GC,GC G-ænial A'CHORD,952263,Капсулы 75 × 0.3 г · A2 / A3 / AO2 / AE / JE
GC,GC G-ænial A'CHORD,952264,Капсулы 75 × 0.3 г · A1 / A2 / A3 / A3.5 / A4
GC,GC G-ænial A'CHORD,952265,Пробный набор 45 капсул × 0.3 г · A2 × 30 + A3 × 15
GC,GC G-ænial A'CHORD,952266,Пробный набор 45 капсул × 0.3 г · A3 × 30 + A2 × 15
GC,GC G-CEM ONE,10037117,Универсальный набор · шприцы TR и A2 по 4.6 г + G-Premio BOND 5 мл + G-Multi Primer 5 мл
GC,GC G-CEM ONE,013670,Стартовый набор · шприц 4.6 г · оттенок A2
GC,GC G-CEM ONE,013671,Стартовый набор · шприц 4.6 г · прозрачный TR
