canonicalProductName,manufacturer,evidenceUrl,evidenceType,verifiedAt
Kulzer Charisma Classic,Kulzer GmbH,https://www.kulzer.com/media/product-downloads/international-en-int2/charisma/charisma/charisma-sellsheet-en.pdf,OFFICIAL_PRODUCT_SHEET,2026-07-22
Kulzer Charisma Topaz,Kulzer GmbH,https://www.kulzer.com/media/product-downloads/international-en-int2/charisma/charisma-topaz/charisma-topaz-produktinfo-gb.pdf,OFFICIAL_PRODUCT_SHEET,2026-07-22
VOCO Admira,VOCO GmbH,https://www.voco.dental/en/products/direct-restoration/ormocer/admira.aspx,OFFICIAL_PRODUCT_PAGE,2026-07-22
VOCO Structur 2 SC,VOCO GmbH,https://www.voco.dental/us/products/special/structur-products/structur-2-sc.aspx,OFFICIAL_PRODUCT_PAGE,2026-07-22
Ivoclar Tetric N-Ceram 2,Ivoclar Vivadent AG,https://www.ivoclar.com/ja_JP/CMS/brochures/Tetric%20N2-%E3%83%A9%E3%82%A4%E3%83%B3%20%E3%82%AB%E3%82%BF%E3%83%AD%E3%82%B0.pdf,OFFICIAL_PRODUCT_CATALOG,2026-07-22
Ivoclar Tetric N-Flow 2,Ivoclar Vivadent AG,https://www.ivoclar.com/ja_JP/CMS/brochures/Tetric%20N2-%E3%83%A9%E3%82%A4%E3%83%B3%20%E3%82%AB%E3%82%BF%E3%83%AD%E3%82%B0.pdf,OFFICIAL_PRODUCT_CATALOG,2026-07-22
Kulzer Charisma Smart,Kulzer GmbH,https://www.kulzer.com/media/product-downloads/international-en-int2/charisma/charisma-smart/charisma-smart-sellsheet-en.pdf,OFFICIAL_PRODUCT_SHEET,2026-07-22
VITA LUMEX AC Opaque Dentine,VITA Zahnfabrik H. Rauter GmbH & Co. KG,https://www.vita-zahnfabrik.com/pdb_BB1B10_en%2C27568%2C194666.html_us,OFFICIAL_PRODUCT_CATALOG,2026-07-22
VITA LUMEX AC Dentine,VITA Zahnfabrik H. Rauter GmbH & Co. KG,https://www.vita-zahnfabrik.com/pdb_BB1B10_en%2C27568%2C194666.html_us,OFFICIAL_PRODUCT_CATALOG,2026-07-22
VITA LUMEX AC Opaque,VITA Zahnfabrik H. Rauter GmbH & Co. KG,https://mam.vita-zahnfabrik.com/portal/ecms_mdb_download.php?id=110402&neuste_version=1&sprache=en,OFFICIAL_PRODUCT_LIST,2026-07-22
VITA LUMEX AC Modelling Liquid,VITA Zahnfabrik H. Rauter GmbH & Co. KG,https://www.vita-zahnfabrik.com/pdb_bb8_fr%2C27568%2C102988.html_us,OFFICIAL_PRODUCT_CATALOG,2026-07-22
