brand,manufacturer,canonicalProductName,sourceName,manufacturerRef,variantLabel
DentKist,DentKist,CharmFil Plus,Универсальный нанокомпозит CharmFil Plus A1,1401588,Шприц · оттенок A1
DentKist,DentKist,CharmFil Plus,Универсальный нанокомпозит CharmFil Plus A2,1401589,Шприц · оттенок A2
DentKist,DentKist,CharmFil Plus,Универсальный нанокомпозит CharmFil Plus A3,1401590,Шприц · оттенок A3
DentKist,DentKist,CharmFil Plus,Универсальный светоотверждаемый рентгеноконтрастный микрогибридный нанокомпозит CharmFil Plus A1-СТОМИР,1401588,Шприц · оттенок A1
DentKist,DentKist,CharmFil Plus,Универсальный светоотверждаемый рентгеноконтрастный микрогибридный нанокомпозит CharmFil Plus A2-СТОМИР,1401589,Шприц · оттенок A2
DentKist,DentKist,CharmFil Plus,Универсальный светоотверждаемый рентгеноконтрастный микрогибридный нанокомпозит CharmFil Plus A3-СТОМИР,1401590,Шприц · оттенок A3
LaTus,LaTus,Latelux,Материал композиционный пломбировочный светоотверждаемый Latelux A1-СТОМИР,1400019,Шприц · оттенок A1
LaTus,LaTus,Latelux,Материал композиционный пломбировочный светоотверждаемый Latelux A2-СТОМИР,1400020,Шприц · оттенок A2
LaTus,LaTus,Latelux,Материал композиционный пломбировочный светоотверждаемый Latelux A3-СТОМИР,1400021,Шприц · оттенок A3
LaTus,LaTus,Latelux,Материал композиционный пломбировочный светоотверждаемый Latelux B1-СТОМИР,1401391,Шприц · оттенок B1
LaTus,LaTus,Latelux,Материал композиционный пломбировочный светоотверждаемый Latelux B2-СТОМИР,1401392,Шприц · оттенок B2
LaTus,LaTus,Latelux,Материал композиционный пломбировочный светоотверждаемый Latelux OA2-СТОМИР,1401393,Шприц · оттенок OA2
LaTus,LaTus,Latelux Flow,Материал Latelux flow A1,1400016,Шприц · оттенок A1
LaTus,LaTus,Latelux Flow,Материал композиционный пломбировочный светоотверждаемый текучий Latelux flow A1-СТОМИР,1400016,Шприц · оттенок A1
LaTus,LaTus,Latelux Flow,Материал композиционный пломбировочный светоотверждаемый текучий Latelux flow A2-СТОМИР,1400017,Шприц · оттенок A2
LaTus,LaTus,Latelux Flow,Материал композиционный пломбировочный светоотверждаемый текучий Latelux flow A3-СТОМИР,1400018,Шприц · оттенок A3
