brand,manufacturer,canonicalProductName,sourceName,manufacturerRef,variantLabel,referenceType
Interdent,Interdent d.o.o.,Восковые полуфабрикаты,Восковые полуфабрикаты · Для премоляров · 200 шт.,740,Для премоляров · 200 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые полуфабрикаты,Восковые полуфабрикаты · Bonyhard · 200 шт.,741,Bonyhard · 200 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые полуфабрикаты,Восковые полуфабрикаты · Изогнутые · 200 шт.,742,Изогнутые · 200 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые полуфабрикаты,Восковые полуфабрикаты · Молярные · 200 шт.,743,Молярные · 200 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые ретенции,Восковые ретенции · Диагонально-решетчатая 75x150 мм · 10 шт.,744,Диагонально-решетчатая 75x150 мм · 10 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые ретенции,Восковые ретенции · Кругло-решетчатая 71x70 мм · 25 шт.,745,Кругло-решетчатая 71x70 мм · 25 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые ретенции,Восковые ретенции · Овальные · 25 шт.,746,Овальные · 25 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Восковые ретенции,Восковые ретенции · Круглые · 25 шт.,747,Круглые · 25 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Муфельные кольца,Муфельные кольца · Муфельное кольцо размер 3 х · 1 шт.,364,Муфельное кольцо размер 3 х · 1 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Муфельные кольца,Муфельные кольца · Муфельное кольцо размер 6 х · 1 шт.,365,Муфельное кольцо размер 6 х · 1 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Муфельные кольца,Муфельные кольца · Муфельное кольцо размер 9 х · 1 шт.,366,Муфельное кольцо размер 9 х · 1 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Проволока для кламмеров,"Проволока для кламмеров · Ø 0,8 мм · 3 м",308,"Ø 0,8 мм · 3 м",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Проволока для кламмеров,"Проволока для кламмеров · Ø 0,9 мм · 3 м",309,"Ø 0,9 мм · 3 м",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Проволока для кламмеров,"Проволока для кламмеров · Ø 1,0 мм · 3 м",310,"Ø 1,0 мм · 3 м",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Проволока для кламмеров,"Проволока для кламмеров · Ø 1,2 мм · 3 м",312,"Ø 1,2 мм · 3 м",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Силиконовая масса INTERLABOSIL,Силиконовая масса INTERLABOSIL · Interlabosil · 4 кг,926,Interlabosil · 4 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Силиконовая масса INTERLABOSIL,Силиконовая масса INTERLABOSIL · Interlabosil паста-катализатор · 60 г,927,Interlabosil паста-катализатор · 60 г,MANUFACTURER_REF
Interdent,Interdent d.o.o.,"Диски сепарационные, шлифовальные","Диски сепарационные, шлифовальные · шлифовальный · 22 x 3,0 мм · 20 шт.",360,"шлифовальный · 22 x 3,0 мм · 20 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,"Диски сепарационные, шлифовальные","Диски сепарационные, шлифовальные · режущий диск · 40 х 1 мм · 20 шт.",358,режущий диск · 40 х 1 мм · 20 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,"Диски сепарационные, шлифовальные","Диски сепарационные, шлифовальные · режущий диск · 37 х 1,0 мм · 100 шт.",361-100,"режущий диск · 37 х 1,0 мм · 100 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,"Диски сепарационные, шлифовальные","Диски сепарационные, шлифовальные · режущий/сепарационный диск · 22 х 0,6 мм · 100 шт.",367-100,"режущий/сепарационный диск · 22 х 0,6 мм · 100 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Порошок зуботехнический корундовый Interalox,Порошок зуботехнический корундовый Interalox · Interalox 150 микрон · 7 кг,399,Interalox 150 микрон · 7 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Порошок зуботехнический корундовый Interalox,Порошок зуботехнический корундовый Interalox · Interalox 250 микрон · 7 кг,404,Interalox 250 микрон · 7 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Порошок зуботехнический корундовый Interalox,Порошок зуботехнический корундовый Interalox · Interalox 110 микрон · 7 кг,405,Interalox 110 микрон · 7 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Порошок зуботехнический корундовый Interalox,Порошок зуботехнический корундовый Interalox · Interalox 50 микрон · 7 кг,406,Interalox 50 микрон · 7 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Фильцы для полирования,"Фильцы для полирования · Фильц конусообразный, 50 х 25 мм · 1 шт.",813,"Фильц конусообразный, 50 х 25 мм · 1 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Фильцы для полирования,"Фильцы для полирования · Фильц в форме линзы, 50 х 10 мм · 1 шт.",814,"Фильц в форме линзы, 50 х 10 мм · 1 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Фильцы для полирования,"Фильцы для полирования · Фильц в форме диска, 50 х 10 мм · 1 шт.",815,"Фильц в форме диска, 50 х 10 мм · 1 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Фильцы для полирования,"Фильцы для полирования · Фильц конусообразный, 50 х 20 мм · 1 шт.",8121,"Фильц конусообразный, 50 х 20 мм · 1 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Полировочные щетки для полировочного мотора,"Полировочные щетки для полировочного мотора · Конский волос, диам. 80 мм, 3-рядная · 1 шт.",801,"Конский волос, диам. 80 мм, 3-рядная · 1 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Полировочные щетки для полировочного мотора,Полировочные щетки для полировочного мотора · Хлопок · 1 шт.,802,Хлопок · 1 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Полировочные щетки для полировочного мотора,"Полировочные щетки для полировочного мотора · Оленьей кожи, 7-рядная · 1 шт.",804,"Оленьей кожи, 7-рядная · 1 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Полировочные щетки для полировочного мотора,"Полировочные щетки для полировочного мотора · Диск, фильц, диаметр 70 мм, 4-рядный · 1 шт.",807,"Диск, фильц, диаметр 70 мм, 4-рядный · 1 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Полировочные щётки,Полировочные щётки · Щетка из латуни для чистки фрез · 1 шт.,803,Щетка из латуни для чистки фрез · 1 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Полировочные щётки,"Полировочные щётки · Щетка из хлопка, диаметр 23 мм для HP наконечника · 1 шт.",819,"Щетка из хлопка, диаметр 23 мм для HP наконечника · 1 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Полировочные щётки,"Полировочные щётки · Щетка из фильца, диаметр 21 х 3 мм, для HP наконечника · 1 шт.",8101,"Щетка из фильца, диаметр 21 х 3 мм, для HP наконечника · 1 шт.",MANUFACTURER_REF
Interdent,Interdent d.o.o.,Наждачная лента,Наждачная лента · 120 мкм · 50 м,820,120 мкм · 50 м,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Наждачная лента,Наждачная лента · 280 мкм · 50 м,822,280 мкм · 50 м,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Наждачная лента,Наждачная лента · 400 мкм · 50 м,823,400 мкм · 50 м,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Кисточки для нанесения керамики,Кисточки для нанесения керамики · синтетика · 1 шт.,N4171,синтетика · 1 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Кисточки для нанесения керамики,Кисточки для нанесения керамики · натуральная кисточка из сибирской куницы · 1 шт.,K4130,натуральная кисточка из сибирской куницы · 1 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Кисточки для нанесения керамики,Кисточки для нанесения керамики · кисточка для опакера · 1 шт.,SB32-F0,кисточка для опакера · 1 шт.,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Артикуляционная бумага Interdent 80 мкм,Артикуляционная бумага Interdent 80 мкм · Артикуляционная бумага в виде блокнота синий · 120 шт.,100,Артикуляционная бумага в виде блокнота синий · 120 шт.,MANUFACTURER_REF
