brand,manufacturer,canonicalProductName,sourceName,manufacturerRef,variantLabel,referenceType
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock Premium тип 4,Interrock Premium · серый · 4 кг,987,Серый · пакет 4 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock Premium тип 4,Interrock Premium · серый · 20 кг,988,Серый · ведро 20 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock Premium тип 4,Interrock Premium · золотисто-коричневый · 4 кг,989,Золотисто-коричневый · пакет 4 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock Premium тип 4,Interrock Premium · золотисто-коричневый · 20 кг,990,Золотисто-коричневый · ведро 20 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock NEW супертвердый тип 4,Interrock New · слоновая кость · 4 кг,982,Слоновая кость · пакет 4 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock NEW супертвердый тип 4,Interrock New · слоновая кость · 20 кг,969,Слоновая кость · ведро 20 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock NEW супертвердый тип 4,Interrock New · слоновая кость · 25 кг,962,Слоновая кость · мешок 25 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock NEW супертвердый тип 4,Interrock New · золотисто-коричневый · 4 кг,981,Золотисто-коричневый · пакет 4 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock NEW супертвердый тип 4,Interrock New · золотисто-коричневый · 20 кг,952,Золотисто-коричневый · ведро 20 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock NEW супертвердый тип 4,Interrock New · золотисто-коричневый · 25 кг,953,Золотисто-коричневый · мешок 25 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock NEW супертвердый тип 4,Interrock New · серый · 4 кг,870,Серый · пакет 4 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock NEW супертвердый тип 4,Interrock New · серый · 20 кг,871,Серый · ведро 20 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Гипс зуботехнический Interrock NEW супертвердый тип 4,Interrock New · серый · 25 кг,872,Серый · мешок 25 кг,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Interacryl Hot - пластмасса,Interacryl Hot · набор · цвет 3,1503,Набор · цвет 3,MANUFACTURER_REF
