officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,statusNote,sourcePageUrl
AJAX-PV100,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",PV100,PV100,PV100,1,Аспирационные системы,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=614752688021786655,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/f20099522d454846.html
AJAX-SP1000,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",SP1000 (for 1 dental unit),SP1000,SP1000,1,Аспирационные системы,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=614752332080570395,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/f20099522d454846.html
AJAX-SP3000,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",SP3000 (for 3 - 5 dental unit),SP3000,SP3000,1,Аспирационные системы,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=614756432843194422,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/f20099522d454846.html
AJAX-SP5000,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",SP5000 (for 4 - 7 dental unit),SP5000,SP5000,1,Аспирационные системы,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=614756886113243180,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/f20099522d454846.html
AJAX-SV1000,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",SV1000 (for 9 - 10 dental unit),SV1000,SV1000,1,Аспирационные системы,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=642408683355062312,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/f20099522d454846.html
AJAX-SV600,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",SV600 (for 5 - 6 dental unit),SV600,SV600,1,Аспирационные системы,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=642408683355062312,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/f20099522d454846.html
AJAX-SV800,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",SV800 (for 7 - 8 dental unit),SV800,SV800,1,Аспирационные системы,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=642408683355062312,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/f20099522d454846.html
AJAX-AT1000,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",AT1000 Air Compressor,AT1000,AT1000,1,Безмасляные компрессоры,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=642405593281277983,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/19b851c2563d45bd.html
AJAX-AT300,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",AT300 Air Compressor,AT300,AT300,1,Безмасляные компрессоры,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=642405199629078575,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/19b851c2563d45bd.html
AJAX-AT400,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",AT400 Air Compressor,AT400,AT400,1,Безмасляные компрессоры,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=642405198857330753,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/19b851c2563d45bd.html
AJAX-AT600,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",AT600 Air Compressor,AT600,AT600,1,Безмасляные компрессоры,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=642405182998655001,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/19b851c2563d45bd.html
AJAX-AT800,Ajax,"Guangzhou Ajax Medical Equipment Co., Ltd.",AT800 Air Compressor,AT800,AT800,1,Безмасляные компрессоры,,https://waimao.office.163.com/site/api/pub/resource/downloadFile?fileId=642405192544903267,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,,https://www.ajaxdent.com/en/site-page/19b851c2563d45bd.html
