officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
drill-external-irrigation,Alpha-Bio Tec.,Alpha-Bio Tec Ltd.,Drill External Irrigation,4204,4204 | 4244 | 4284 | 4306 | 4324 | 4654 | 4671 | 4675 | 4676 | 4677 | 4684 | 4686,12,Сверла,"Drill External Irrigation — хирургическое сверло Alpha-Bio Tec. для подготовки ложа имплантата. Тип: External Irrigation. Диаметр: 1.5, 2, 2.5, 2.8, 3, 3.2, 3.65, 4.1, 4.5, 4.8, 5.2, 5.8 мм. Лазерная",https://dental-market.kz/products/alphabio/1599/o-32-surgical-drill.png,1,EXACT_PRODUCT_LISTING_BY_OFFICIAL_KAZAKHSTAN_REPRESENTATIVE,CANONICAL_CONTENT_READY,https://dental-market.kz/catalog/drill-external-irrigation
temporary-peek-abutment-25,Alpha-Bio Tec.,Alpha-Bio Tec Ltd.,Temporary PEEK abutment 25°,5422,5422 | 5423,2,Абатменты,"Temporary PEEK abutment 25° — временный абатмент Alpha-Bio Tec. для протезирования на дентальных имплантатах. Угол наклона: 25°. Высота десневой части: 1, 2 мм. Изготовлен из медицинского титана Grade",https://dental-market.kz/products/alphabio/1465/angled-temporary-peek-abutments-25.png,1,EXACT_PRODUCT_LISTING_BY_OFFICIAL_KAZAKHSTAN_REPRESENTATIVE,CANONICAL_CONTENT_READY,https://dental-market.kz/catalog/temporary-peek-abutment-25
pro-fixation-screw-sf-n,Alpha-Bio Tec.,Alpha-Bio Tec Ltd.,Pro Fixation Screw SF-N,6092,6092,1,Винты,"Pro Fixation Screw SF-N — фиксирующий винт Alpha-Bio Tec. для крепления абатментов, мультиюнитов и временных компонентов на имплантатах. Тип: Fixation. Изготовлен из медицинского титана. Поставляется",https://dental-market.kz/products/alphabio/1437/pro-fixation-torqfit-screw-sft-n.png,1,EXACT_PRODUCT_LISTING_BY_OFFICIAL_KAZAKHSTAN_REPRESENTATIVE,CANONICAL_CONTENT_READY,https://dental-market.kz/catalog/pro-fixation-screw-sf-n
tissue-punch-small,Alpha-Bio Tec.,Alpha-Bio Tec Ltd.,Tissue Punch Small,65003,65003,1,Сверла,"Tissue Punch Small — хирургическое сверло Alpha-Bio Tec. для подготовки ложа имплантата. Тип: Tissue Punch. Лазерная маркировка глубины, внутренняя ирригация, медицинская нержавеющая сталь. Совместимо",https://dental-market.kz/products/alphabio/1599/o-32-surgical-drill.png,1,EXACT_PRODUCT_LISTING_BY_OFFICIAL_KAZAKHSTAN_REPRESENTATIVE,CANONICAL_CONTENT_READY,https://dental-market.kz/catalog/tissue-punch-small
sleeve-large,Alpha-Bio Tec.,Alpha-Bio Tec Ltd.,Sleeve Large,66013,66013,1,Направленная хирургия,Sleeve Large — компонент системы направленной хирургии Alpha-Bio Tec. для использования с хирургическими шаблонами при точной установке имплантатов по 3D-плану. Тип: Sleeve. Обеспечивает точность пози,https://dental-market.kz/products/alphabio/1577/implant-grip-driver-2mmd-internal-hex-insertion.png,1,EXACT_PRODUCT_LISTING_BY_OFFICIAL_KAZAKHSTAN_REPRESENTATIVE,CANONICAL_CONTENT_READY,https://dental-market.kz/catalog/sleeve-large
implant-mount-int-hex-driver-small,Alpha-Bio Tec.,Alpha-Bio Tec Ltd.,Implant Mount Int. Hex Driver Small,65062,65062,1,Направленная хирургия,Implant Mount Int. Hex Driver Small — компонент системы направленной хирургии Alpha-Bio Tec. для использования с хирургическими шаблонами при точной установке имплантатов по 3D-плану. Тип: Implant Mou,https://dental-market.kz/products/alphabio/1577/implant-grip-driver-2mmd-internal-hex-insertion.png,1,EXACT_PRODUCT_LISTING_BY_OFFICIAL_KAZAKHSTAN_REPRESENTATIVE,CANONICAL_CONTENT_READY,https://dental-market.kz/catalog/implant-mount-int-hex-driver-small
implant-mount-cs-large,Alpha-Bio Tec.,Alpha-Bio Tec Ltd.,Implant Mount CS large,65065,65065,1,Направленная хирургия,Implant Mount CS large — компонент системы направленной хирургии Alpha-Bio Tec. для использования с хирургическими шаблонами при точной установке имплантатов по 3D-плану. Тип: Implant Mount. Обеспечив,https://dental-market.kz/products/alphabio/1588/insertion-drivers-25mm-cs.png,1,EXACT_PRODUCT_LISTING_BY_OFFICIAL_KAZAKHSTAN_REPRESENTATIVE,CANONICAL_CONTENT_READY,https://dental-market.kz/catalog/implant-mount-cs-large
alpha-drill-stopper-d-d4-1-4-5,Alpha-Bio Tec.,Alpha-Bio Tec Ltd.,Alpha Drill Stopper D-D4.1-4.5,4578,4578 | 4579 | 4580 | 4581 | 4582,5,Ограничители глубины,"Alpha Drill Stopper D-D4.1-4.5 — ограничитель глубины Alpha-Bio Tec. для контролируемой подготовки имплантатного ложа. Надевается на сверло и предотвращает чрезмерное углубление, обеспечивая точность",https://dental-market.kz/products/alphabio/1587/stoppers.png,1,EXACT_PRODUCT_LISTING_BY_OFFICIAL_KAZAKHSTAN_REPRESENTATIVE,CANONICAL_CONTENT_READY,https://dental-market.kz/catalog/alpha-drill-stopper-d-d4-1-4-5
lateral-pin,Alpha-Bio Tec.,Alpha-Bio Tec Ltd.,Lateral Pin,65047,65047,1,Направленная хирургия,Lateral Pin — компонент системы направленной хирургии Alpha-Bio Tec. для использования с хирургическими шаблонами при точной установке имплантатов по 3D-плану. Тип: Латеральный штифт. Обеспечивает точ,https://dental-market.kz/products/alphabio/1577/implant-grip-driver-2mmd-internal-hex-insertion.png,1,EXACT_PRODUCT_LISTING_BY_OFFICIAL_KAZAKHSTAN_REPRESENTATIVE,CANONICAL_CONTENT_READY,https://dental-market.kz/catalog/lateral-pin
cad-cam-adhesive-coping-tct-n-tct-n-r,Alpha-Bio Tec.,Alpha-Bio Tec Ltd.,CAD/CAM Adhesive coping TCT N TCT-N R,5029,5029,1,CAD/CAM протетика,"CAD/CAM Adhesive coping TCT N TCT-N R — компонент линейки CAD/CAM протезирования Alpha-Bio Tec. Тип: Adhesive Coping. Совместимость с платформой: TCT-N. Используется в цифровом workflow: сканбоди, Ti-",https://dental-market.kz/products/alphabio/1508/adhesive-coping-engaged-ti-base-cs-chc-ih.png,1,EXACT_PRODUCT_LISTING_BY_OFFICIAL_KAZAKHSTAN_REPRESENTATIVE,CANONICAL_CONTENT_READY,https://dental-market.kz/catalog/cad-cam-adhesive-coping-tct-n-tct-n-r
