officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
ANTHOS-A,Anthos,Cefla S.C.,A,,,3,Автоклавы,"A Maximum versatility is provided by three separate models: each has different chamber volumes but the same external dimensions, advanced connectivity, an optional Cloud environment and dedicated accessories to expand performance and functionality. These are the hallmarks of the A autoclave. View video Download the brochure Design Stylish yet practical, the A autoclave is designed to be modern and minimalist. All surfaces are designed to facilitate sanitisation, including the glass touchscreen, which combines hygiene with practicality. Touchscreen The simple, intuitive 3.2"" touchscreen streamlines the user’s tasks by providing immediate access to the main functions. The display also shows a clear guided procedure that simplifies the initial machine set-up. Versatile installation The available volumes are 17, 22 and 28 litres: three different capacities that let users choose the autoclave that best suits their needs. External dimensions are identical for all models, allowing for easy recessed or worktop installation. Test and maintenance reminders Reminders for routine tests can easily be activated via the user menu. Once this function has been set, the sterilizer will inform the user when it’s necessary to perform the required periodic tests - Vacuum Test and Helix-Bowie&Dick Test - as per the desired frequency. To ensure maximum efficiency and operational continuity, the display also shows maintenance deadlines. Advanced traceability Reports are generated for each cycle and saved in the autoclave memory. Up to 10,000 cycles can be stored and downloaded in PDF format via the USB port. DataSter software, supplied as standard, allows direct automatic downloading of reports to a network or PC folder. Compatible with autoclave A, the optional external printer lets you create barcode labels, while the Di.V.A. and MyTrace platforms allow for sterile load monitoring. Cloud connectivity Di.V.A. is a Cloud tool useful for saving cycle reports, monitoring the device or accessing video tutorials, manuals and usage statistics. EasyCheck - a cloud platform designed for technicians - provides fast access to remote assistance. Are you a practitioner or a dealer? Need more details about our products? Would you like to receive personalised advice or find out which solutions best suit your needs? The Anthos team is ready to respond. Contact us now Dental units Dental units Dental Unit Accessories Hygiene systems Imaging RXDC intraoral X-ray unit X-VS E intraoral sensor Sterilization Autoclaves Thermal disinfectors Thermal sealers Rotary device maintenance Software Remote assistance / EasyCheck Di.V.A. iRYS Neowise Digital Showroom Sales network Contacts About us Download News Extranet English English Deutsch Español Français Italiano Anthos a brand of CEFLA S.C., registered office in Imola (BO), Via Selice Provinciale n. 23/A, Tax Code and Bologna Business Register number 00293150371, VAT number 00499791200, R.E.A. number BO-36186. Cookie Policy Privacy Policy",https://www.anthos.it/hubfs/Anthos%202025/Prodotti/DESIGN.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/sterilization/autoclaves#product-a
ANTHOS-A-PLATINUM,Anthos,Cefla S.C.,A Platinum,,,3,Автоклавы,"A Platinum This autoclave combines advanced performance with operational efficiency and environment-friendliness. Three models with load volumes of 17, 22, and 28 litres are available: each model has the same external dimensions. An innovative water treatment system lets users perform up to 50 sterilization cycles with just 5 litres of tap water. View video Download the brochure 7'’ touchscreen The 7"" HD display provides access to autoclave use and maintenance tutorials that provide instructions on a variety of topics, from correct load positioning to periodic maintenance. What’s more, users can consult cycle reports saved on the device at any time. Water savings Thanks to the integrated recirculation filter, which demineralises and purifies the water used, A Platinum consumes just 100 ml of tap water per cycle. This means that reservoirs of demineralised water no longer need to be stored in the practice. Cycle times and Modular Drying The high performance of the internal components - combined with a control system that optimises each phase - reduces sterilization cycle times significantly. The Modular Drying function lets users select the load quantity. This adapts the duration of drying, thus shortening cycle times further: for example, a B cycle can be completed in just 31 minutes. Printer and QR code The optional printer can be shared by multiple sterilizers on the same network, optimising use of space by allowing for a single printing station. At the end of the cycle, adhesive labels with QR codes can be printed: these provide data on the sterilizer itself, the cycle performed, the result and the bag expiry date, thus ensuring full traceability. Labels with barcodes and cycle reports can also be printed. Advanced traceability and NFC sensor QR code and Barcode labels optimise traceability control; the SterilConnect App and MyTrace platform extend sterile load monitoring capabilities. Remaining on the topic of traceability, activating user ID ensures only authorised personnel are able to access the device functions. The NFC card, supplied with the sterilizer and associated with the user, streamlines the login procedure. Cloud connectivity and Sterilconnect Highly useful for saving cycle reports, monitoring the device or accessing video tutorials, manuals and usage statistics. EasyCheck - a cloud platform designed for technicians - provides fast access to remote assistance. With the Sterilconnect app, instead, you can interact with the autoclave, manage processes and monitor its operation from a connected mobile device.",https://www.anthos.it/hubfs/A%20Plus_11996.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/sterilization/autoclaves#a-platinum
ANTHOS-A-PLUS,Anthos,Cefla S.C.,A Plus,,,1,Автоклавы,"A Plus Featuring modern design that combines versatility and hygiene, A Plus maximises practicality thanks to easy-to-clean surfaces, a user-friendly display and optimised functions. Connecting the autoclave to the network also facilitates data management, paving the way for efficient traceability. View video Download the brochure 5'’ touchscreen The 5’’ touchscreen and its responsive, user-friendly controls improve day-to-day usability. It also organises functions logically and provides a quick guide in the form of video tutorials. Integrated demineralization The integrated demineralising filter lets users fill the autoclave with mains water without any need for external devices. Sensors monitor water quality while messages provide information on filter status to maximise performance over time. This optimises both use of space and the process, providing immediate savings. Cycle times and Modular Drying A combination of reliable, high-performance internal components and a control system that optimises each phase minimises sterilization cycle times. The Modular Drying function lets users select the load quantity. This adapts the duration of drying, thus shortening cycle times further: for example, a B cycle can be completed in just 31 minutes. Printer and QR code The optional printer can be shared by multiple sterilizers on the same network, optimising use of space by allowing for a single printing station. At the end of the cycle, adhesive labels with QR codes can be printed: these provide data on the sterilizer itself, the cycle performed, the result and the bag expiry date, thus ensuring full traceability. Labels with barcodes and cycle reports can also be printed. Cloud connectivity and Sterilconnect Highly useful for saving cycle reports, monitoring the device or accessing video tutorials, manuals and usage statistics. EasyCheck - a cloud platform designed for technicians - provides fast access to remote assistance. With the Sterilconnect app, instead, you can interact with the autoclave, manage processes and monitor its operation from a connected mobile device. Light bar The autoclave is designed to incorporate a frontal light bar that provides information on its current status. A second LED lighting system is activated when the door is opened, ensuring excellent visibility in the work area.",https://www.anthos.it/hubfs/Anthos%202025/Prodotti/A%20Plus_11996.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/sterilization/autoclaves#a-plus
ANTHOS-BIOSTER-FLUSHING,Anthos,Cefla S.C.,BIOSTER & FLUSHING,,,1,Гигиена стоматологической установки,BIOSTER & FLUSHING BIOSTER is the automatic system that performs intensive disinfection of instrument spray internal circuits with an antiseptic liquid (Peroxy Ag+). FLUSHING is the automatic system that eliminates any stagnant liquid from the ducts with a quick flushing action. Ideal for sanitising dental units.,https://www.anthos.it/hubfs/Anthos%202025/Prodotti/ANTHOS%20A7_100.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/accessories/hygiene/#flushing
ANTHOS-CANNULA-FLUSHING-A-C-V-S,Anthos,Cefla S.C.,Cannula flushing (A.C.V.S.),,,1,Гигиена стоматологической установки,Cannula flushing (A.C.V.S.) This automatic washing and cleansing device for the suction system is used to start the sanitisation process during the pause between one patient and the next.,https://www.anthos.it/hubfs/Anthos%202025/Prodotti/Untitled%20design%20(24)-1.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/accessories/hygiene/#lavaggio-cannule
ANTHOS-CONTINUOUS-DISINFECTION-W-H-E,Anthos,Cefla S.C.,Continuous disinfection (W.H.E.),,,1,Гигиена стоматологической установки,Continuous disinfection (W.H.E.) This certified DVGW continuous disinfection system also prevents backflow contamination of the dental unit water supply.,https://www.anthos.it/hubfs/Anthos%202025/Prodotti/Untitled%20design%20(22).png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/accessories/hygiene/#disinfezione-in-continuo
ANTHOS-EFFECTIVE-HYGIENIC-SANITISATION,Anthos,Cefla S.C.,Effective hygienic sanitisation,,,1,Гигиена стоматологической установки,"Effective hygienic sanitisation Dental unit components at risk of contamination are designed to make surface cleaning easy. Dental practice safety is further enhanced by the use of removable parts and materials that are suitable for sanitisation. Double filters These easily removable filters simplify dental unit emptying and cleaning tasks. Quick couplings This is the release system for cleansing and, if necessary, replacing dental unit parts. Removable support This instrument support on the Continental module can be removed and disinfected with ease. Removable instrument levers SideFlex instrument levers can easily be removed to aid cleaning. Handpiece support This component is made of autoclavable silicone, ideal for ensuring dental unit hygiene. Cuspidor bowl Completely removable for fast, effective sanitisation, its parts are made of high-quality materials: ceramic as standard, with the option of glass. All components are designed to make cleaning and disinfection easy. Venus operating light Handles can be removed and autoclaved. Removable handle This Continental module handle can be removed and autoclaved. Cannulae guides Easy-to-remove elements ensure perfect cleanliness in what is a potentially critical area. Surfaces All surfaces are specifically designed for easy cleaning. Upholstery Practitioners can enjoy the benefits of durable, seamless padding that is easy to sanitise.",https://www.anthos.it/hubfs/Anthos%202025/Prodotti/ANTHOS%20A7_099.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/accessories/hygiene/#sanificazione-igienica
ANTHOS-O-D-R,Anthos,Cefla S.C.,O.D.R.,,,1,Гигиена стоматологической установки,O.D.R. This as-standard mechanism automatically emits an air jet to clean any residual liquids or solids from the handpiece after use.,https://www.anthos.it/hubfs/Anthos%202025/Prodotti/ANTHOS%20A7_138.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/accessories/hygiene/#odr
ANTHOS-S-H-S,Anthos,Cefla S.C.,S.H.S.,,,1,Гигиена стоматологической установки,S.H.S. This device supplies water to the sprays as an independent alternative to mains water. Works by way of a tank filled with distilled water: this prevents limescale build-up.,https://www.anthos.it/hubfs/Anthos%202025/Prodotti/STERILIZZAZIONE%20-%20MANUTENZIONE%20DISPOSITIVI%20ROTANTI%20(2).png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/accessories/hygiene/#shs
ANTHOS-GOLDSPEED-EVO,Anthos,Cefla S.C.,Goldspeed Evo,,,1,Наконечники и инструменты,"Goldspeed Evo Equipped with ISO 3964 connectors, Goldspeed Evo handpieces are all thermal-disinfectable and can be sterilized in a steam autoclave at 135°C: maximum reliability, quality and safety, by Anthos.",https://www.anthos.it/hubfs/Anthos%202025/Goldspeed%20Evo%20E4.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/accessories/handpieces-and-instruments/#goldspeed-evo
ANTHOS-MICROMOTORS,Anthos,Cefla S.C.,Micromotors,,,1,Наконечники и инструменты,"Micromotors Two versions are available: i-MMr (3.3 Ncm) with and without LED, and i-MMs (5.3 Ncm) with LED lighting and ready for endodontic treatment. Both of them have a speed range of 100 - 40,000 rpm and are also available in the FLUO version with an additional UV LED.",https://www.anthos.it/hubfs/Micromotori%20(1).png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/accessories/handpieces-and-instruments/#micromotori
ANTHOS-SCALERS,Anthos,Cefla S.C.,Scalers,,,1,Наконечники и инструменты,"Scalers With or without LEDs, these are powerful and lightweight handpieces. Highly useful in ENDO mode as root canal treatment instruments.",https://www.anthos.it/hubfs/Anthos%202025/Prodotti/Anthos_R7_135%20+%20Anthos_R7_138%20+%20Anthos_R7_137.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/accessories/handpieces-and-instruments/#ablatori
ANTHOS-SILENT-POWER-EVO,Anthos,Cefla S.C.,Silent Power Evo,,,1,Наконечники и инструменты,"Silent Power Evo A powerful, high-performance pneumatic handpiece. Featuring low-friction ceramic ball bearings, Anthos Silent Power Evo turbines offer more power, less vibration and outstanding durability.",https://www.anthos.it/hubfs/MANIPOLI%20E%20STRUMENTI.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/accessories/handpieces-and-instruments/#silent-power-evo
ANTHOS-SYRINGES,Anthos,Cefla S.C.,Syringes,,,1,Наконечники и инструменты,"Syringes Available in 3- or 6-way versions, these ergonomically shaped syringes can be removed and autoclaved. Their metal bodies and tips can be sterilized. The syringe body is available in both straight and angled versions. Are you a practitioner or a dealer? Need more details about our products? Would you like to receive personalised advice or find out which solutions best suit your needs? The Anthos team is ready to respond. Contact us now Dental units Dental units Dental Unit Accessories Hygiene systems Imaging RXDC intraoral X-ray unit X-VS E intraoral sensor Sterilization Autoclaves Thermal disinfectors Thermal sealers Rotary device maintenance Software Remote assistance / EasyCheck Di.V.A. iRYS Neowise Digital Showroom Sales network Contacts About us Download News Extranet English English Deutsch Español Français Italiano Anthos a brand of CEFLA S.C., registered office in Imola (BO), Via Selice Provinciale n. 23/A, Tax Code and Bologna Business Register number 00293150371, VAT number 00499791200, R.E.A. number BO-36186. Cookie Policy Privacy Policy",https://www.anthos.it/hubfs/Anthos%202025/Prodotti/Anthos_L9L6_119.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.anthos.it/en/accessories/handpieces-and-instruments/#siringhe
