officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
AVERON-12156,Averon,НПК АВЕРОН,А 2.1 М,12156,12156,1,Паяльное оборудование / Оборудование для SMT-монтажа,Адаптер шприц-картриджа ёмкостью 10 мл.,https://www.averon.ru/upload/iblock/d53/26n5709qyqdo6ez9uo0xbec6b1fji4qw.jpg,1,OFFICIAL_BRAND_SHOP_IN_ALMATY,KZ_SKU_EVIDENCE_REQUIRED,https://www.averon.ru/catalog/smt_mount/a_2_1_m/
AVERON-12157,Averon,НПК АВЕРОН,А 2.3 М,12157,12157,1,Паяльное оборудование / Оборудование для SMT-монтажа,Адаптер шприц-картриджа ёмкостью 30 мл.,https://www.averon.ru/upload/iblock/08a/tn1m2lvvfwypsri6v7rwn82xdyfzj1vo.jpg,1,OFFICIAL_BRAND_SHOP_IN_ALMATY,KZ_SKU_EVIDENCE_REQUIRED,https://www.averon.ru/catalog/smt_mount/a_2_3_m/
AVERON-13368,Averon,НПК АВЕРОН,АВВ 2.0 СТАРТ,13368,13368,1,Оборудование для изготовления протезов / Обработка-полировка,Автономный модуль для вымывания воска из кювет в технологии изготовления съёмных протезов «Ручная» версия аппарата для выварки воска АВВ 6.0,https://www.averon.ru/upload/iblock/027/o7zfo5zgoxm6h1amt7e4wq6mv0f157s8.png,1,OFFICIAL_BRAND_SHOP_IN_ALMATY,KZ_SKU_EVIDENCE_REQUIRED,https://www.averon.ru/catalog/obrabotka-polirovka/avv_2_0_start/
AVERON-12435,Averon,НПК АВЕРОН,АВВ 6.0,12435,12435,1,Оборудование для изготовления протезов,Аппарат для выварки воска для обработки до 6 полукювет КЮВЕТА 1.0,https://www.averon.ru/upload/iblock/60f/iqhb7mnhtnj2lxfb7801xgfzneqsvxwa.jpg,1,OFFICIAL_BRAND_SHOP_IN_ALMATY,KZ_SKU_EVIDENCE_REQUIRED,https://www.averon.ru/catalog/oborudovanie_dlya_izgotovleniya_protezov/avv_6_0/
AVERON-13424,Averon,НПК АВЕРОН,АВВ 6.0 АРТ,13424,13424,1,Оборудование для изготовления протезов / Обработка-полировка,Аппарат для выварки воска для обработки до 6 полукювет КЮВЕТА 1.0,https://www.averon.ru/upload/iblock/e4d/ekns6w30o0kt2aq5jbuvp2lbylie9qa6.jpg,1,OFFICIAL_BRAND_SHOP_IN_ALMATY,KZ_SKU_EVIDENCE_REQUIRED,https://www.averon.ru/catalog/obrabotka-polirovka/avv_6_0_art/
AVERON-13388,Averon,НПК АВЕРОН,АВВ 6.0 Н,13388,13388,1,Уцененное оборудование,Аппарат для выварки воска для обработки до 6 полукювет КЮВЕТА 1.0,https://www.averon.ru/upload/iblock/2a1/dl5kbig1749ykqsv7f3wk9sviurnw8ga.jpg,1,OFFICIAL_BRAND_SHOP_IN_ALMATY,KZ_SKU_EVIDENCE_REQUIRED,https://www.averon.ru/catalog/ucenyonnoe_oborudovanie/avv_6_0_n/
AVERON-1899,Averon,НПК АВЕРОН,АВГЛ 2.0 АРТ,1899,1899,1,"Cтолы, светильники, вытяжки, боксы / Автономные вытяжки для работы с пылью, газами и для CAD-CAM систем. Циклоны, прочие фильтры","Универсальная вытяжка для нейтрализации газов, входной фланец для подключения вытяжной гофры Ø 100 мм. Может применяться как в зуботехнических, так и в монтажно-паяльных работах",https://www.averon.ru/upload/iblock/185/2i05nz296o9i2rl0xe9jain4iu1w1thl.jpg,1,OFFICIAL_BRAND_SHOP_IN_ALMATY,KZ_SKU_EVIDENCE_REQUIRED,https://www.averon.ru/catalog/vtyajki_dlya_rabot_s_pliu_i_s_gazom_vtyajki_so_vstroennm_ciklonom/avgl_2_0_art/
AVERON-12174,Averon,НПК АВЕРОН,АВГЛ 2.0 СТАЙЕР,12174,12174,1,"Cтолы, светильники, вытяжки, боксы / Автономные вытяжки для работы с пылью, газами и для CAD-CAM систем. Циклоны, прочие фильтры / Бесщеточные (бесколлекторные) вытяжные системы для CAD-CAM и для индивидуальных и общих рабочих мест. Серия УПЗ 1.3 СТАЙЕР",Автономная вытяжка для нейтрализации острых запахов в зуботехнических лабораториях Продолжительный режим работы Совместно с АМФ 1.0 НЬЮ АРТ может работать для удаления пыли в составе рабочих мест индивидуального и общего пользования,https://www.averon.ru/upload/iblock/6c7/2xq7w2kae7hsoljborbrg7v86z2axqcy.png,1,OFFICIAL_BRAND_SHOP_IN_ALMATY,KZ_SKU_EVIDENCE_REQUIRED,https://www.averon.ru/catalog/besshaetoch_beskollektor_v_tyaj_sistem_dlya_cad-cam__i_dlya_individual_n_h_i_obshaih_rabochih_mest_seriya_upz_1_3_stayer/avgl_2_0_stayer/
AVERON-1898,Averon,НПК АВЕРОН,АВГЛ 2.0 ЭЛЕМЕНТ,1898,1898,1,"Cтолы, светильники, вытяжки, боксы / Автономные вытяжки для работы с пылью, газами и для CAD-CAM систем. Циклоны, прочие фильтры",Специализированная вытяжка для нейтрализации газов,https://www.averon.ru/upload/iblock/658/vhq0j8xxggeron0aoqxr0q2hqtr6phyr.jpg,1,OFFICIAL_BRAND_SHOP_IN_ALMATY,KZ_SKU_EVIDENCE_REQUIRED,https://www.averon.ru/catalog/vtyajki_dlya_rabot_s_pliu_i_s_gazom_vtyajki_so_vstroennm_ciklonom/avgl_2_0_element/
AVERON-1763,Averon,НПК АВЕРОН,АВЕ 1.0 ТИГЕЛЬ,1763,1763,1,Литейное оборудование,Тигель для центробежных литейных установок АВЕРОН,https://www.averon.ru/upload/iblock/ecf/jbz6xsjy66n0aqu8ytn51rltdn7n64bj.jpg,1,OFFICIAL_BRAND_SHOP_IN_ALMATY,KZ_SKU_EVIDENCE_REQUIRED,https://www.averon.ru/catalog/liteynoe_oborudovanie/ave_1_0_tigel__/
