officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
BEGO-50003,BEGO,BEGO GmbH & Co. KG,Wiroweld,50003,50003,1,Dental technology,"Laserschweißdraht, Ø 0,35 mm",https://cdn.shopify.com/s/files/1/0549/9410/8458/files/file_bfd2528a-1be8-4cbb-81cf-3e4f5d065c0b.jpg?v=1781770249,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://eshop.bego.com/en/products/den_50003
BEGO-58576,BEGO,BEGO GmbH & Co. KG,Implantmed Plus II Scan-Edition,58576,58576,1,Implantology,,https://cdn.shopify.com/s/files/1/0549/9410/8458/files/file_858593b4-2d11-4355-bd74-f1f006a80f16.jpg?v=1783075269,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://eshop.bego.com/en/products/imp_58576
BEGO-58577,BEGO,BEGO GmbH & Co. KG,Implantmed Plus II “kabellos”,58577,58577,1,Implantology,,https://cdn.shopify.com/s/files/1/0549/9410/8458/files/file_374a6850-79d2-481b-8993-a92b44de28f9.jpg?v=1783082457,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://eshop.bego.com/en/products/imp_58577
BEGO-50525,BEGO,BEGO GmbH & Co. KG,Mediloy® Titan Grade 5 SLM,50525,50525,1,Dental technology,Titan Pulver für den SLM-Prozess,https://cdn.shopify.com/s/files/1/0549/9410/8458/files/file_06e2d627-eb0a-44e8-b9cb-fbae0e56a1c3.jpg?v=1783075266,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://eshop.bego.com/en/products/den_50525
BEGO-60699,BEGO,BEGO GmbH & Co. KG,PScrew Conical CADP,60699,60699,1,Implantology,Prothetikschraube,https://cdn.shopify.com/s/files/1/0549/9410/8458/files/file_35751853-000b-499d-acf0-dc08f5325543.jpg?v=1783069295,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://eshop.bego.com/en/products/imp_60699
BEGO-60767,BEGO,BEGO GmbH & Co. KG,Screw Tapper,60767,60767,1,Implantology,Schraubegewindeschneider,https://cdn.shopify.com/s/files/1/0549/9410/8458/files/file_15a70f4f-6da5-4e2d-9fd0-57d275a5a907.jpg?v=1783066262,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://eshop.bego.com/en/products/imp_60767
BEGO-60763,BEGO,BEGO GmbH & Co. KG,Screw Extractor Set,60763,60763,1,Implantology,Rettungswerkzeug,https://cdn.shopify.com/s/files/1/0549/9410/8458/files/file_e6e41d0d-bcdd-4513-b236-c25ff3fa4cb2.jpg?v=1783063272,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://eshop.bego.com/en/products/imp_60763
BEGO-60766,BEGO,BEGO GmbH & Co. KG,Screw Tapper,60766,60766,1,Implantology,Schraubegewindeschneider,https://cdn.shopify.com/s/files/1/0549/9410/8458/files/file_5fbef795-1b18-449f-ae36-00313b731ae4.jpg?v=1783083703,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://eshop.bego.com/en/products/imp_60766
BEGO-60762,BEGO,BEGO GmbH & Co. KG,Screw Extractor Set,60762,60762,1,Implantology,Rettungswerkzeug,https://cdn.shopify.com/s/files/1/0549/9410/8458/files/file_0dce4bab-b299-4d41-9e9d-61ad90abfd81.jpg?v=1783072265,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://eshop.bego.com/en/products/imp_60762
BEGO-60765,BEGO,BEGO GmbH & Co. KG,Tool Broken Screw,60765,60765,1,Implantology,Rettungswerkzeug,https://cdn.shopify.com/s/files/1/0549/9410/8458/files/file_517c7d6d-18a1-4290-b17c-abb5bdc868f0.jpg?v=1783063878,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://eshop.bego.com/en/products/imp_60765
