officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
BISCO-BC-H-67,BISCO,"BISCO, Inc.",Aeliteflo™ Single Syringes,BC-H-67,BC-H-67,1,Shop All Categories / Dental Composites,https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/456/images/390/bisco_dental_composites_0000_AeliteFlo_Translucent_Cap_Flat__26519.1730386786.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/aeliteflo/
BISCO-X-80616N,BISCO,"BISCO, Inc.","Aeliteflo™ Syringe Tips (19 Gauge, Black)",X-80616N,X-80616N,1,Shop All Categories / Dental Accessories,https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/504/images/381/bisco_dental_accessories_0003_X-80616NContactShadow__55443.1730321637.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/black-disposable-tips-19-gauge-/
BISCO-BC-H-852,BISCO,"BISCO, Inc.",Aelite™ Aesthetic Enamel Single Syringes,BC-H-852,BC-H-852,1,Shop All Categories / Dental Composites,https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/450/images/538/bisco_dental_products_0002_Aelite_Aesthetic_Enamel_D4E_Cap_Flat__74828.1730387032.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/aelite-aesthetic-enamel-single-syringe/
BISCO-BC-H-854,BISCO,"BISCO, Inc.",Aelite™ Aesthetic Enamel Unit-Dose Tips,BC-H-854,BC-H-854,1,Shop All Categories / Dental Composites,https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/451/images/511/bisco_dental_products_0000_Aelite_Unit-Dose_Red_Yellow__82119.1730387018.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/aelite-aesthetic-enamel-unit-dose-tips/
BISCO-BC-H-812,BISCO,"BISCO, Inc.",Aelite™ All-Purpose Body Single Syringes,BC-H-812,BC-H-812,1,Shop All Procedures / Intraoral Repairs / Intraoral Repair of Porcelain Fused to Metal (PFM),https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/452/images/539/bisco_dental_products_0000_Aelite_All-Purpose_Light_Cap_Flat__72984.1730386969.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/aelite-all-purpose-body-single-syringe/
BISCO-BC-H-814,BISCO,"BISCO, Inc.",Aelite™ All-Purpose Body Unit-Dose Tips,BC-H-814,BC-H-814,1,Shop All Procedures / Intraoral Repairs / Intraoral Repair of Porcelain Fused to Metal (PFM),https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/453/images/513/bisco_dental_products_0002_Aelite_Unit-Dose_Green_Group__56931.1730386956.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/aelite-all-purpose-body-unit-dose-tips/
BISCO-BC-H-721,BISCO,"BISCO, Inc.",Aelite™ LS Posterior Single Syringes,BC-H-721,BC-H-721,1,Shop All Categories / Dental Composites,https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/454/images/540/bisco_dental_products_0000_AeliteLS_Posterior_C4_Cap_Flat_NEW__23912.1730386910.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/aelite-ls-posterior-single-syringe/
BISCO-BC-H-722,BISCO,"BISCO, Inc.",Aelite™ LS Posterior Unit-Dose Tips,BC-H-722,BC-H-722,1,Shop All Categories / Dental Composites,https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/455/images/512/bisco_dental_products_0001_Aelite_Unit-Dose_Blue_Group__91356.1730386891.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/aelite-ls-posterior-unit-dose-tips/
BISCO-B-2502A,BISCO,"BISCO, Inc.",All-Bond 2 Dentin/Enamel (D/E) Bonding Resin Bottle,B-2502A,B-2502A,1,Shop All Categories / Dental Adhesives,https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/475/images/531/bisco-dental-products-de-bonding-resin__20674.1730384840.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/dentin-enamel-bonding-resin/
BISCO-B-2506A,BISCO,"BISCO, Inc.",All-Bond 2 Pre-Bond Resin Bottle,B-2506A,B-2506A,1,Shop All Categories / Dental Adhesives,https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/476/images/530/bisco-dental-products-pre-bond_resin__53959.1730384812.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/pre-bond-resin/
BISCO-BC-B-251,BISCO,"BISCO, Inc.",All-Bond 2® Bottles,BC-B-251,BC-B-251,1,Shop All Categories / Dental Adhesives,https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/474/images/419/bisco_dental_adhesive__0002_all_bond_2_both_bottles__63390.1730384895.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/all-bond-2-bottles/
BISCO-B-42500K-EU,BISCO,"BISCO, Inc.",All-Bond 2® Kit with Uni-Etch®,B-42500K-EU,B-42500K-EU,1,Shop All Categories / Dental Adhesives,https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/472/images/649/bisco-dental-products-all-bond-2-kit-with-uni-etch-no-bac-new-etchant-labels-pre-bond-3ml-__55331.1746624547.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/all-bond-2-kit-eu/
BISCO-B-42500A,BISCO,"BISCO, Inc.",All-Bond 2® Kit with Uni-Etch® w/BAC,B-42500A,B-42500A,1,Shop All Categories / Dental Adhesives,https://cdn11.bigcommerce.com/s-4xfcjqmnan/products/473/images/648/bisco-dental-products-all-bond-2-kit-with-uni-etch-bac-new-etchant-labels-Pre-Bond-3ml__21936.1746624388.386.513.jpg?c=1,1,BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.bisco.com/all-bond-2-kit/
