canonicalProductId,brand,name,decision,reasons,warnings,photoStatus,manufacturerRefs,sourcePageUrl
CANON-ВЛАДМИВА-00000018862,ВладМиВа,836.204.001.000.016,MODERATION,,PHOTO_REVIEW_REQUIRED | EXACT_KZ_SKU_EVIDENCE_REQUIRED,SHARED_IMAGE_REVIEW_REQUIRED,00000018862,https://www.vladmiva.ru/products/sfericheskie-uglovye/806-204-001-504-016_1/
CANON-ВЛАДМИВА-00000025837,ВладМиВа,836.204.001.000.018,MODERATION,,PHOTO_REVIEW_REQUIRED | EXACT_KZ_SKU_EVIDENCE_REQUIRED,SHARED_IMAGE_REVIEW_REQUIRED,00000025837,https://www.vladmiva.ru/products/sfericheskie-uglovye/806-204-001-504-018_1/
CANON-ВЛАДМИВА-00000018863,ВладМиВа,836.204.001.000.023,MODERATION,,PHOTO_REVIEW_REQUIRED | EXACT_KZ_SKU_EVIDENCE_REQUIRED,SHARED_IMAGE_REVIEW_REQUIRED,00000018863,https://www.vladmiva.ru/products/sfericheskie-uglovye/806-204-001-504-023/
CANON-ВЛАДМИВА-00000024058,ВладМиВа,836.204.001.000.025,MODERATION,,PHOTO_REVIEW_REQUIRED | EXACT_KZ_SKU_EVIDENCE_REQUIRED,SHARED_IMAGE_REVIEW_REQUIRED,00000024058,https://www.vladmiva.ru/products/sfericheskie-uglovye/806-204-001-504-025/
CANON-ВЛАДМИВА-00000022971,ВладМиВа,836.204.164.100.012,MODERATION,,PHOTO_REVIEW_REQUIRED | EXACT_KZ_SKU_EVIDENCE_REQUIRED,SHARED_IMAGE_REVIEW_REQUIRED,00000022971,https://www.vladmiva.ru/products/konusnye-uglovye/806-204-166-504-012/
CANON-ВЛАДМИВА-00000013442,ВладМиВа,836.204.164.100.014,MODERATION,,PHOTO_REVIEW_REQUIRED | EXACT_KZ_SKU_EVIDENCE_REQUIRED,SHARED_IMAGE_REVIEW_REQUIRED,00000013442,https://www.vladmiva.ru/products/konusnye-uglovye/806-204-166-504-014/
CANON-ВЛАДМИВА-00000016002,ВладМиВа,836.314.001.000.009,MODERATION,,PHOTO_REVIEW_REQUIRED | EXACT_KZ_SKU_EVIDENCE_REQUIRED,SHARED_IMAGE_REVIEW_REQUIRED,00000016002,https://www.vladmiva.ru/products/sfericheskie-trubinnye/806-314-001-504-009/
CANON-ВЛАДМИВА-00000019808,ВладМиВа,836.314.001.000.010,MODERATION,,PHOTO_REVIEW_REQUIRED | EXACT_KZ_SKU_EVIDENCE_REQUIRED,SHARED_IMAGE_REVIEW_REQUIRED,00000019808,https://www.vladmiva.ru/products/sfericheskie-trubinnye/806-314-001-504-010/
CANON-ВЛАДМИВА-00000014412,ВладМиВа,836.314.001.000.012,MODERATION,,PHOTO_REVIEW_REQUIRED | EXACT_KZ_SKU_EVIDENCE_REQUIRED,SHARED_IMAGE_REVIEW_REQUIRED,00000014412,https://www.vladmiva.ru/products/sfericheskie-trubinnye/806-314-001-504-012/
CANON-ВЛАДМИВА-00000014929,ВладМиВа,836.314.001.000.014,MODERATION,,PHOTO_REVIEW_REQUIRED | EXACT_KZ_SKU_EVIDENCE_REQUIRED,SHARED_IMAGE_REVIEW_REQUIRED,00000014929,https://www.vladmiva.ru/products/sfericheskie-trubinnye/806-314-001-504-014/
CANON-ВЛАДМИВА-00000015126,ВладМиВа,836.314.001.000.016,MODERATION,,PHOTO_REVIEW_REQUIRED | EXACT_KZ_SKU_EVIDENCE_REQUIRED,SHARED_IMAGE_REVIEW_REQUIRED,00000015126,https://www.vladmiva.ru/products/sfericheskie-trubinnye/806-314-001-504-016/
