officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
CASTELLINI-C-PLUS,Castellini,Cefla S.C.,C Plus,,,1,Автоклавы,Castellini dental autoclaves guarantee maximum hygiene for medical instruments and equipment: discover the details and features.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/sterilisation/autoclaves
CASTELLINI-C-17,Castellini,Cefla S.C.,C-17,,,1,Автоклавы,Castellini dental autoclaves guarantee maximum hygiene for medical instruments and equipment: discover the details and features.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/sterilisation/autoclaves
CASTELLINI-C-22,Castellini,Cefla S.C.,C-22,,,1,Автоклавы,Castellini dental autoclaves guarantee maximum hygiene for medical instruments and equipment: discover the details and features.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/sterilisation/autoclaves
CASTELLINI-C-28,Castellini,Cefla S.C.,C-28,,,1,Автоклавы,Castellini dental autoclaves guarantee maximum hygiene for medical instruments and equipment: discover the details and features.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/sterilisation/autoclaves
CASTELLINI-C-PLATINUM,Castellini,Cefla S.C.,C-Platinum,,,1,Автоклавы,Castellini dental autoclaves guarantee maximum hygiene for medical instruments and equipment: discover the details and features.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/sterilisation/autoclaves
CASTELLINI-AUTOSTERIL,Castellini,Cefla S.C.,Autosteril,,,1,Гигиена стоматологической установки,Discover Castellini disinfection systems for the hygiene of dental units: a guarantee of maximum safety and protection.,https://www.castellini.com/hubfs/CASTELLINI/Images/AUTOSTERIL%20M_H.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.castellini.com/en/dental-units/autosteril-and-mwb
CASTELLINI-M-W-B,Castellini,Cefla S.C.,M.W.B.,,,1,Гигиена стоматологической установки,Discover Castellini disinfection systems for the hygiene of dental units: a guarantee of maximum safety and protection.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/autosteril-and-mwb
CASTELLINI-X-VISUS-DCIS,Castellini,Cefla S.C.,X-VISUS DCiS,,,1,Интраоральные датчики,Castellini dental and intraoral sensors offer high-resolution images for precise and rapid diagnoses thanks to advanced technology.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/imaging/sensors
CASTELLINI-X-VS,Castellini,Cefla S.C.,X-VS,,,1,Интраоральные датчики,Castellini dental and intraoral sensors offer high-resolution images for precise and rapid diagnoses thanks to advanced technology.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/imaging/sensors
CASTELLINI-X-VS-E,Castellini,Cefla S.C.,X-VS E,,,1,Интраоральные датчики,Castellini dental and intraoral sensors offer high-resolution images for precise and rapid diagnoses thanks to advanced technology.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/imaging/sensors
CASTELLINI-RX-DC,Castellini,Cefla S.C.,RX DC,,,1,Интраоральные рентген-аппараты,Castellini intraoral X-ray devices offer high-definition images and ensure optimal quality and a reduction in radiation.,https://www.castellini.com/hubfs/CASTELLINI/Images/RX%20DC.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.castellini.com/en/imaging/radiographic-devices
CASTELLINI-ALPHASCAN-WL,Castellini,Cefla S.C.,AlphaScan WL,,,1,Интраоральные сканеры,Discover Castellini intraoral scanners: innovative solutions and advanced technology for a precise and rapid scan of the dental arches.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/imaging/intraoral-scanners
CASTELLINI-ALPHASCAN-WR,Castellini,Cefla S.C.,AlphaScan WR,,,1,Интраоральные сканеры,Discover Castellini intraoral scanners: innovative solutions and advanced technology for a precise and rapid scan of the dental arches.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/imaging/intraoral-scanners
CASTELLINI-HANDY-POWER-MICROMOTOR,Castellini,Cefla S.C.,Handy Power Micromotor,,,3,Микромоторы,"Castellini dental micromotors guarantee precision, power, and comfort during treatments, offering high performance and optimal control for the professional.",https://www.castellini.com/hubfs/CASTELLINI/Images/Handy%20Power.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.castellini.com/en/dental-units/micromotors
CASTELLINI-IMPLANTOR-LED-FLUO-MICROMOTOR,Castellini,Cefla S.C.,Implantor LED Fluo Micromotor,,,1,Микромоторы,"Castellini dental micromotors guarantee precision, power, and comfort during treatments, offering high performance and optimal control for the professional.",,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/micromotors
CASTELLINI-IMPLANTOR-LED-MICROMOTOR,Castellini,Cefla S.C.,Implantor LED Micromotor,,,1,Микромоторы,"Castellini dental micromotors guarantee precision, power, and comfort during treatments, offering high performance and optimal control for the professional.",,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/micromotors
CASTELLINI-GOLDSPEED-EVO,Castellini,Cefla S.C.,Goldspeed Evo,,,1,Наконечники,Castellini offers a series of dental turbines and contra-angles suitable to optimise control and improve clinical performance.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/turbines-and-contra-angles
