officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
CICADA-125,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Air Scaler CV-S,CV-S,CV-S,CV-S,1,CICADA / AirScaler,https://www.cicadadental.com/Uploads/202112/1228162901.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/AirScaler_125.html
CICADA-195,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Brushless Endo Motor T-Fine-II (Plus),T-Fine-II (Plus),T-Fine-II (Plus),T-Fine-II (Plus),1,CICADA / EndoMotor,https://www.cicadadental.com/Uploads/202306/brushless_endo_motor_001.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/EndoMotor_195.html
CICADA-193,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Brushless Endo Motor T-Fine-II (Pro),T-Fine-II (Pro),T-Fine-II (Pro),T-Fine-II (Pro),1,CICADA / EndoMotor,https://www.cicadadental.com/Uploads/202306/brushless_endo_motor.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/EndoMotor_193.html
CICADA-187,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Brushless Endo Motor T-Fine-II (Smart),T-Fine-II (Smart),T-Fine-II (Smart),T-Fine-II (Smart),1,CICADA / EndoMotor,https://www.cicadadental.com/Uploads/202306/endo_motor.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/EndoMotor_187.html
CICADA-128,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Brushless Implant Motor Surgic Pro,Surgic Pro,Surgic Pro,Surgic Pro,1,CICADA / ImplantMotor,https://www.cicadadental.com/Uploads/202308/01.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/ImplantMotor_128.html
CICADA-215,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Dental 20:1 Implant Handpiece SG20,SG20,SG20,SG20,1,CICADA / ImplantHandpiece,https://www.cicadadental.com/Uploads/202508/sg2001.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/ImplantHandpiece_215.html
CICADA-211,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Dental 45 degree high speed handpiece CV/GX 45-M4,CV/GX 45-M4,CV/GX 45-M4,CV/GX 45-M4,1,CICADA / DentalHighSpeedHandpiece,https://www.cicadadental.com/Uploads/202508/45m401.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/DentalHighSpeedHandpiece_211.html
CICADA-198,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Dental Air Polisher DT-X4,DT-X4,DT-X4,DT-X4,1,CICADA / DentalAirPolishHandpiece,https://www.cicadadental.com/Uploads/202306/dental_air_polish_handpiece.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/DentalAirPolishHandpiece_198.html
CICADA-163,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Dental Hand Files Holder CV-FH 01,CV-FH 01,CV-FH 01,CV-FH 01,1,CICADA / DentalHandFilesHolder,https://www.cicadadental.com/Uploads/202204/dental_hand_files_holder___cv-fh_01_(1).jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/DentalHandFilesHolder_163.html
CICADA-160,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Dental High Speed Handpiece CV/GX SM4,CV/GX SM4,CV/GX SM4,CV/GX SM4,1,CICADA / DentalHighSpeedHandpiece,https://www.cicadadental.com/Uploads/202204/highspeed_without_light01.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/DentalHighSpeedHandpiece_160.html
