officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,regionalCatalogSku,variantCount,categoryPath,description,sourceImageUrl,imageCount,sourceModifiedAt,kzEvidence,status,sourcePageUrl
DENTAL-X-REGIONAL-АППАРАТ-ДЛЯ-СТИКЕРОВ,Dental X,Dental X / NSK Dental Italy S.r.l.,АППАРАТ ДЛЯ СТИКЕРОВ,,,,1,Маркировка стерилизации,Маркировочная машина предназначена для наклеивания специальных этикеток на крафт-пакеты с медицинскими инструментами. После завершения цикла стерилизации этикетку можно переклеить в карту пациента или документацию к автоклаву для подтверждения выполнения стерилизации. На этикетке указана основная информация с параметрами выполненного цикла стерилизации. Маркировочные машины поставляются с 10 рулонами (по 400 этикеток каждый) и 1 картриджем. Рулон бумаги для маркировочной машины Steri (9900001) 10 рулонов по 400 этикеток и 1 картридж.,https://dentalx.ru/files_dynamic/client/userfls/images/b45d4ce8c3/1/84c851/54_04e2dce4677f7f63bec169ab1ea4f879.jpeg,3,2016-09-12T11:07:35+03:00,REGIONAL_BRAND_CATALOG_WITH_KAZAKHSTAN_CONTACT,MANUFACTURER_REFERENCE_REQUIRED,https://dentalx.ru/shop/apparat-dlya-stikerov/apparat-dlya-stikerov/
DENTAL-X-REGIONAL-05010024,Dental X,Dental X / NSK Dental Italy S.r.l.,ДЕМИНЕРАЛИЗАТОР DX-425,,,05010024,1,Деминерализаторы,Деминерализатор DX-425 Система обеспечивает быструю и экономичную очистку воды. Деминерализатор оборудован системой контроля качества воды и обладает возможностью настенного крепления. В комплекте: Сменные картриджи DEMX010426,https://dentalx.ru/files_dynamic/client/userfls/images/b45d4ce8c3/1/45c985/51_a7c63f3cb41aebbaf514b81de68982d6.jpeg,4,2018-08-10T09:21:53+03:00,REGIONAL_BRAND_CATALOG_WITH_KAZAKHSTAN_CONTACT,MANUFACTURER_REFERENCE_REQUIRED,https://dentalx.ru/shop/demineralizatory/demineralizator-dx-425/
DENTAL-X-REGIONAL-40100359,Dental X,Dental X / NSK Dental Italy S.r.l.,ДЕМИНЕРАЛИЗАТОР PURITY OR2,,,40100359,1,Деминерализаторы,"Деминерализатор Purity OR2 Позволяет напрямую подключить стерилизатор к центральной системе водоснабжения. Система на основе обратного осмоса полностью совместима с медицинскими автоклавами Dental X (модели Domina Plus B, Aquarius 300 B, Steriline B и Imax B). Ресурс картриджа: 1000-2000 литров (соответствует 2000 – 4000 циклам стерилизации). Система оборудована мощным насосом. В комплекте: Набор сменных картриджей Purity (10026400K) 3 сменных картриджа: 1 картридж для угольного фильтра 1 картридж для осмотической мембраны 1 картридж со смолами",https://dentalx.ru/files_dynamic/client/userfls/images/b45d4ce8c3/1/c0d684/46_1977b10629ebeb883fc3f4da2834df75.jpeg,6,2016-10-08T15:24:53+03:00,REGIONAL_BRAND_CATALOG_WITH_KAZAKHSTAN_CONTACT,MANUFACTURER_REFERENCE_REQUIRED,https://dentalx.ru/shop/demineralizatory/demineralizator-purity-or2/
DENTAL-X-REGIONAL-КАЧЕСТВО-ЗАПЕЧАТЫВАНИЯ-DX,Dental X,Dental X / NSK Dental Italy S.r.l.,КАЧЕСТВО ЗАПЕЧАТЫВАНИЯ DX,,,,1,Термозапечатывающие устройства,"Крафт-пакеты производятся из специальной бумаги и полипропиленовой пленки. Пленка состоит из двух или более слоев с разной температурой плавления. При запечатывании пакета первым оплавляется слой, прижатый к бумаге. В случае, если оплавится и второй слой пленки, возможно возникновение микротрещин, из-за чего пакеты больше не будут обеспечивать надежную антибактериальную защиту. Качественные упаковочные машины оснащены функцией регулировки температуры и давления при запечатывании, что позволяет обеспечить оплавление только первого слоя пленки. При неправильном запечатывании, упаковка не обеспечивает необходимой антибактериальной защиты. Очень важно правильно оценивать качество запечатывания. Неверно отрегулированная температура запечатывания, наличие загрязнителей на роторе или запечатывающем элементе может повлиять на качество запечатывания. Таким образом, очень важно производить ежедневную проверку качества запечатывания. Тест качества запечатывания – простой и доступный способ контроля качества запечатывания в любое желаемое время. Тест качества запечатывания DX Seal подходит для ежедневного тестирования на соответствие стандарту EN ISO 11607-2. Тест позволяет визуально проверить качество запечатывания и наличие минимальной допустимой ширины запайки в 6 мм. Тест очень прост в использовании: Поместите тест в пакет и запечатайте его. Убедитесь, что ширина запайки равна не менее чем 6 мм по всей длине шва. На тесте может быть записана следующая информация: температура запечатывания, давление при запечатывании, скорость запечатывания, номер упаковочной машины, количество запечатанных пакетов, дата, имя и подпись пользователя.",https://dentalx.ru/files_dynamic/client/userfls/images/b45d4ce8c3/1/c9e38a/43_b291c01a6a3e29e526c67b77c6f1eee2.jpeg,2,2016-09-12T11:16:27+03:00,REGIONAL_BRAND_CATALOG_WITH_KAZAKHSTAN_CONTACT,MANUFACTURER_REFERENCE_REQUIRED,https://dentalx.ru/shop/upakovochnye-mashiny/test-kachestva-zapechatyvaniya-dx/
DENTAL-X-REGIONAL-ПРИНТЕР-ДЛЯ-ЭТИКЕТОК,Dental X,Dental X / NSK Dental Italy S.r.l.,ПРИНТЕР ДЛЯ ЭТИКЕТОК,,,,1,Прослеживаемость стерилизации,"В медицинском автоклаве Domina Plus B предусмотрен разъем для подключения принтера для печати этикеток. Использования таких принтеров позволяет значительно упросить протоколирование данных. По окончании цикла стерилизации автоматически будут распечатаны этикетки для каждого из простерилизованных пакетов. На этикетках распечатываются параметры выполненного цикла, которые необходимо прилагать к карте пациента. Также на этикетках печатаются штрихкоды. Обычный сканер штрихкодов позволит быстро считать информацию на этикетке.",https://dentalx.ru/files_dynamic/client/userfls/images/b45d4ce8c3/1/d970e5/63_c566a430f414d344700e44fc11e2d8a7.jpeg,2,2016-09-12T11:07:51+03:00,REGIONAL_BRAND_CATALOG_WITH_KAZAKHSTAN_CONTACT,MANUFACTURER_REFERENCE_REQUIRED,https://dentalx.ru/shop/protokolirovanie-i-podklyuchenie-k-pk/printer-dlya-etiketok/
DENTAL-X-REGIONAL-СИСТЕМА-STERIL-MANAGEMENT,Dental X,Dental X / NSK Dental Italy S.r.l.,СИСТЕМА STERIL MANAGEMENT,,,,1,Прослеживаемость стерилизации,"Позволяет архивировать протоколы проведенных циклов стерилизации непосредственно на ПК. В комплект входят: 1 журнал регистрации данных, рассчитанный на одновременную работу с 2 портами, 1 блок питания 12 В, 1 сетевой интерфейс, 2 параллельных соединения, необходимо подключение к по локальной сети. Опциональные комплектующие: STERIL NET UPGRADE (100258) Для подключения двух дополнительных медицинских автоклавов. Серийный интерфейс (для автоклавов Atoma/Atoma Plus и Aptica) (100259 I)",https://dentalx.ru/files_dynamic/client/userfls/images/b45d4ce8c3/1/318bc3/62_7865f5ba3b1eeadcbc6fbaac3a5f7369.jpeg,2,2016-09-12T11:08:54+03:00,REGIONAL_BRAND_CATALOG_WITH_KAZAKHSTAN_CONTACT,MANUFACTURER_REFERENCE_REQUIRED,https://dentalx.ru/shop/protokolirovanie-i-podklyuchenie-k-pk/sistema-steril-management/
DENTAL-X-REGIONAL-УНИВЕРСАЛЬНЫЕ-ПОДНОСЫ-MX180,Dental X,Dental X / NSK Dental Italy S.r.l.,УНИВЕРСАЛЬНЫЕ ПОДНОСЫ MX180,,,,1,Стерилизационные принадлежности,"Универсальные подносы специально разработаны для эргономичного и безопасного размещения хирургических инструментов. Подносы позволяют быстро и безопасно провести весь процесс очистки, дезинфекции, упаковки и стерилизации медицинского инструмента. Размеры (ДхШхВ): минимальный 180х138х32 мм, максимальный 197х138х38 мм Доступны в следующих цветах: красный, синий, зеленый, розовый, желтый",https://dentalx.ru/files_dynamic/client/userfls/images/b45d4ce8c3/1/31cb21/57_0adf98274a51ab97ea2c54ebf7540896.jpeg,2,2016-08-25T13:20:45+03:00,REGIONAL_BRAND_CATALOG_WITH_KAZAKHSTAN_CONTACT,MANUFACTURER_REFERENCE_REQUIRED,https://dentalx.ru/shop/universalnye-podnosy-mx180/universalnye-podnosy-mx180/
DENTAL-X-REGIONAL-05010002,Dental X,Dental X / NSK Dental Italy S.r.l.,APTICA PLUS B PREMIUM LINE,,,05010002,1,Автоклавы,"Aptica Plus B – медицинский автоклав линейки Premium Более чем 20-летний опыт производства стерилизационного оборудования в сочетании с уникальной технологией быстрой стерилизации стоматологических наконечников позволил компании Dental X предложить новую стерилизационную систему класса B – Aptica Plus B. Автоклав гарантирует быструю и безопасную стерилизацию класса B, полный цикл которой составляет всего 14 минут включая сушку. Представляем вам паровой стерилизатор Aptica Plus B. Этот автоклав является результатом 20-летней опыта создания компанией Dental X стерилизационного оборудования. Использование этого автоклава класса В гарантирует быструю и безопасную стерилизацию, полный цикл которой составляет всего 12 минут. Эта модель отличается компактными размерами и высокими техническими показателями. Этот паровой стерилизатор рассчитан специально для обработки стоматологических наконечников. Габариты камеры обеспечивают обработку до 12 упакованных и до 18 неупакованных динамических инструментов. Электронное микропроцессорное управление рассчитано на семь программ стерилизации, плюс – два тестовых режима – для проверки исправности работы автоклава. Программное обеспечение Aptica Plus B включает также одну программу, параметры которой пользователь может устанавливать самостоятельно. Специально разработанная уникальная система раздельного нагрева обеспечивает строгий контроль соблюдения температурного режима, высокую циркуляцию пара в камере и, как следствие, бережную стерилизацию наконечников. Высокопроизводительная вакуумная помпа полностью удаляет воздух из камеры автоклава и обеспечивает безопасную стерилизацию наконечников и инструментов, которые требуют бережной обработки. Паровой стерилизатор Aptica Plus B оснащен всеми функциями, необходимыми для автоклавов класса В. Системы предвакуума и вакуумной сушки гарантируют качество и максимальную автоматизацию процесса обработки инструментов. Максимально автоматизированный контроль за ходом выполнения цикла и автоматическое отключение системы по завершении стерилизации обеспечивают простое и безопасное использование автоклава. В Aptica Plus B используется независимое водоснабжение с двумя резервуарами для воды, изготовленными из высококачественной стали марки AISI 316. Очевидным преимуществом Aptica Plus B является то, что камера этого парового стерилизатора выполнена из никелированной меди. Больший, в сравнении с нержавеющей сталью, коэффициент теплопроводности меди обеспечивает ускоренный прогрев камеры и сокращает время стерилизации. При необходимости автоклав Aptica Plus B подключается к принтеру или компьютеру для получения протокола стерилизации, его дальнейшей распечатки или сохранения в цифровом формате. Паровой стерилизатор Aptica Plus B - это идеальное решение для тех специалистов, которые заботятся о качестве технического оснащения стоматологических клиник. Вы можете приобрести у нас этот паровой стерилизатор вне зависимости от того, представляете вы торгующую организацию или являетесь конечным покупателем.",https://dentalx.ru/files_dynamic/client/userfls/images/b45d4ce8c3/1/7f877c/10_e3618317010c55ff2593b0697d3b6ea0.jpeg,2,2016-10-08T15:43:39+03:00,REGIONAL_BRAND_CATALOG_WITH_KAZAKHSTAN_CONTACT,MANUFACTURER_REFERENCE_REQUIRED,https://dentalx.ru/shop/avtoklavy-meditsinskie/aptica-plus-b-premium-line/
DENTAL-X-REGIONAL-AQUARIUS-200-S-СО-ВСТРОЕННЫМ-ПРИНТЕРОМ,Dental X,Dental X / NSK Dental Italy S.r.l.,AQUARIUS 200 S СО ВСТРОЕННЫМ ПРИНТЕРОМ,,,,1,Автоклавы,"Преимущества медицинского автоклава Aquarius 200 S: 1. Эксклюзивная система дифференцированного нагрева обеспечивает безопасную стерилизацию любых типов инструментов (включая боры и наконечники). 2. Благодаря уникальным конструкционным особенностям камеры и нагревательной системы, загрузка камеры Aquarius на 20% выше, чем у аналогичных автоклавов конкурирующих производителей. 3. Использование камеры из никелированной меди позволяет не только выполнять циклы стерилизации быстрее, но исключить использование парогенератора. 4. Протоколирование выполненных циклов обеспечивается подключением к ПК и наличием встроенного принтера. 5. Надежная защита гидросистемы с помощью системы фильтрации. 6. Все автоклавы оснащены системой автоматического дренажа отработанной воды и могут быть подключены непосредственно к водопроводу через систему обратного осмоса в соответствии с требованиями стандарта EN1717. 7. Полностью автоматизированный контроль выполнения цикла обеспечивает простое и безопасное и использование автоклава. 8. Эксклюзивное программное обеспечение предоставляет возможность диагностики и устранения неполадок с помощью удаленного доступа. 9. Стекловолоконное покрытие обеспечивает надежную теплоизоляцию дверцы. 10. Вакуумирование обеспечивается с помощью выработки тепла под точным микропроцессорным контролем.",https://dentalx.ru/files_dynamic/client/userfls/images/b45d4ce8c3/1/882922/31_58c9f15efd9e6c886420d73454d74b44.jpeg,2,2016-08-25T12:12:24+03:00,REGIONAL_BRAND_CATALOG_WITH_KAZAKHSTAN_CONTACT,MANUFACTURER_REFERENCE_REQUIRED,https://dentalx.ru/shop/avtoklavy-meditsinskie/aquarius-200-s-so-vstroennym-printerom/
DENTAL-X-REGIONAL-AQUARIUS-300-B-СО-ВСТРОЕННЫМ-ПРИНТЕРОМ,Dental X,Dental X / NSK Dental Italy S.r.l.,AQUARIUS 300 B СО ВСТРОЕННЫМ ПРИНТЕРОМ,,,,1,Автоклавы,"1. Эксклюзивная система дифференцированного нагрева обеспечивает безопасную стерилизацию любых типов инструментов (включая боры и наконечники). 2. Благодаря уникальным конструкционным особенностям камеры и нагревательной системы, загрузка камеры Aquarius на 20% выше, чем у аналогичных автоклавов конкурирующих производителей. 3. Использование камеры из никелированной меди позволяет не только выполнять циклы стерилизации быстрее, но исключить использование парогенератора. 4. Протоколирование выполненных циклов обеспечивается подключением к ПК и наличием встроенного принтера. 5. Надежная защита гидросистемы с помощью системы фильтрации. 6. Все автоклавы оснащены системой автоматического дренажа отработанной воды и могут быть подключены непосредственно к водопроводу через систему обратного осмоса в соответствии с требованиями стандарта EN1717. 7. Подходит для выполнения стерилизации классов B и S. 8. Полностью автоматизированный контроль выполнения цикла обеспечивает простое и безопасное и использование автоклава. 9. Эксклюзивное программное обеспечение предоставляет возможность диагностики и устранения неполадок с помощью удаленного доступа. 10. Стекловолоконное покрытие обеспечивает надежную теплоизоляцию дверцы. 11. Вакуумирование обеспечивается с помощью мощной вакуумной помпы и системы охлаждения. Имеется возможность выполнения 2, 3 или 4 циклов вакуумирования, в зависимости от требований к циклу стерилизации.",https://dentalx.ru/files_dynamic/client/userfls/images/b45d4ce8c3/1/478cca/30_7f27509cf6a2aaaf2d30abcb1d0f7ceb.jpeg,2,2016-08-25T12:13:01+03:00,REGIONAL_BRAND_CATALOG_WITH_KAZAKHSTAN_CONTACT,MANUFACTURER_REFERENCE_REQUIRED,https://dentalx.ru/shop/avtoklavy-meditsinskie/aquarius-300-b-so-vstroennym-printerom/
