officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,imageUrls,imageCount,kzEvidence,status,sourcePageUrl
372333058-122668740251-nakonechnik-charmflex-smesitelnii-zhyolt,DentKist,"DentKist, Inc.","Наконечник-смеситель CharmFlex, жёлтый",,,1,accessories > tproduct,Наконечник стоматологические купить Charmflex с доставкой по Москве ✅. Заказать смесительные наконечники желтые. Цены можно посмотреть в каталоге на сайте ☝.,https://static.tildacdn.com/tild6465-3964-4532-b830-613338666665/236012.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/accessories/tproduct/372333058-122668740251-nakonechnik-charmflex-smesitelnii-zhyolt
372333058-467106872041-nakonechnik-smesitelnii-charmflex-zelyon,DentKist,"DentKist, Inc.","Наконечник-смеситель CharmFlex, зелёный",,,1,accessories > tproduct,Купить наконечники Москва Charmflex с доставкой ✅. Заказать зеленый смесительный стоматологический наконечник. Цены можно посмотреть в каталоге на сайте ☝.,https://static.tildacdn.com/tild3861-3833-4338-a634-663964313337/236005_3.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/accessories/tproduct/372333058-467106872041-nakonechnik-smesitelnii-charmflex-zelyon
372333058-782225361661-kanyulya-intraoralnaya,DentKist,"DentKist, Inc.",Канюля интраоральная DentKist,,,1,accessories > tproduct,Интраоральные канюли купить в Москве с доставкой ✅. Выбрать и заказать одноразовую стоматологическую канюлю. Цены канюль для стоматологии можно посмотреть в каталоге на сайте ☝.,https://static.tildacdn.com/tild3137-3133-4235-b463-663964313563/236005_2.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/accessories/tproduct/372333058-782225361661-kanyulya-intraoralnaya
charmfilplus,DentKist,"DentKist, Inc.",CharmFil Plus - универсальный композит световой полимеризации,,,1,therapy > composits,"Реставрация зубов светоотверждаемыми композитными материалами Charmfil plus ✅. Заказать стоматологический композит световой полимеризации, материалы для восстановления твердых тканей фронтального и бокового зуба, пломбирования кариозных полостей по Блэку.",https://static.tildacdn.com/tild3066-3337-4338-a231-666437616334/charmfil-plus-univer.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/composits/charmfilplus
charmfilplus_2,DentKist,"DentKist, Inc.",Стартовый набор CharmFil® Plus - светоотверждаемый универсальный композит,,,1,therapy > composits,"Стартовый набор купить Москва Charmfil plus с доставкой ✅. Заказать светоотверждаемый нанокомпозит для стоматологии для реставрации жевательной поверхности, фронтальных зубов. Цена на наборы с гелем для протравки эмали для терапевта стоматолога можно посм",https://static.tildacdn.com/tild3733-3930-4234-b462-626435366261/charmfil-plus-starto.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/composits/charmfilplus_2
charmcore,DentKist,"DentKist, Inc.",CharmCore - цемент двойного отверждения для наращивания культи,,,1,therapy > composits,Композитный цемент двойного отверждения купить Charmcore с доставкой по Москве ✅. Заказать стоматологическую композитную смолу для фиксации и наращивания культи зуба. Цены на композитные материалы (смола) в стоматологии указаны в каталоге на сайте ☝.,https://static.tildacdn.com/tild3632-6563-4565-a332-663130383461/charmcorecement-dvoj.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/composits/charmcore
charmfilflow,DentKist,"DentKist, Inc.",Charmfil Flow Жидкотекучий пломбировочный материал,,,1,therapy > compositsflow,"Жидкотекучий светоотверждаемый материал для зубов Charmfil flow купить с доставкой по Москве ✅. Заказать жидкотекучие пломбировочные материалы Чамфил флоу для реставрации и герметизации кариозных полостей 3 и 4 класса, фиссур и ямок зуба. Цена стоматологи",https://static.tildacdn.com/tild6232-3966-4530-a133-303261363531/charmfil-flow-zhidko.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/compositsflow/charmfilflow
charmfilflowhv,DentKist,"DentKist, Inc.",Charmfil flow HV Жидкотекучий пломбировочный материал высокой вязкости,,,1,therapy > compositsflow,Жидкотекучие пломбировочные материалы Charmfil flow hv купить с доставкой по Москве ✅. Заказать жидкотекучий светоотверждаемый пломбировочный материал для стоматологии для восстановления и закрытия клиновидного дефекта зубов. Цена стоматологического компо,https://static.tildacdn.com/tild6564-3266-4863-a461-663837396538/charmfil-flow-hv-zhi.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/compositsflow/charmfilflowhv
charmquicks,DentKist,"DentKist, Inc.","CharmQuicks Временный пломбировочный материал, подходит для молочных зубов",,,1,therapy > timematerials,Временные пломбировочные материалы Charmquicks купить с доставкой по Москве ✅. Заказать материал для временной пломбы для лечения молочного зуба при кариесе. Цены стоматологического материала для временного пломбирования детских зубов ☝.,https://static.tildacdn.com/tild6632-3466-4930-a536-366232386265/charmquicks-vremenny.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/timematerials/charmquicks
charmquicksflow,DentKist,"DentKist, Inc.",CharmQuicks Flow - светоотверждаемый жидкотекучий временный пломбировочный материал,,,1,therapy > timematerials,Материалы для временного пломбирования зубов Charmquicks flow купить с доставкой по Москве ✅. Заказать материал для временной пломбы. Цены на временные светоотверждаемые пломбировочные материалы для пломбирования канала зуба указаны в каталоге на сайте ☝.,https://static.tildacdn.com/tild6635-3766-4638-b430-386334393534/charmquicks-flow-sve.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/timematerials/charmquicksflow
charmbond,DentKist,"DentKist, Inc.",CharmBond Светоотверждаемый бонд на основе нано-частиц,,,1,therapy > bonding,Бонд в стоматологии купить Charmbond с доставкой по Москве ✅. Заказать стоматологический бондинговый материал Чамбонд для обработки эмали зубов и улучшения адгезии. Цена на адгезивные системы указана в каталоге на сайте ☝.,https://static.tildacdn.com/tild3035-3536-4765-a362-663764643663/charmbond-svetootver.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/bonding/charmbond
charmbondrefill,DentKist,"DentKist, Inc.",Charm®Bond Refill 2*5 мл - светоотверждаемый бонд V поколения на основе нано-частиц,,,1,therapy > bonding,Бонд стоматологический Charmbond refill купить в интернет магазине с доставкой по Москве ✅. Заказать бондинговые системы в стоматологии. Цены на бондинговый материал указаны в каталога на сайте ☝.,https://static.tildacdn.com/tild6132-3133-4437-b964-353937643337/charmbond-refill-sve.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/bonding/charmbondrefill
charmetch,DentKist,"DentKist, Inc.",CharmEtch Протравочный гель стоматологический,,,1,therapy > bonding,Протравочный гель купить Charmetch с доставкой по Москве ✅. Заказать гели для травления эмали и дентина в стоматологии. Цена на стоматологический протравливающий препарат с фосфорной кислотой указана в каталоге на сайте ☝.,https://static.tildacdn.com/tild3839-3961-4737-b861-306536396662/charmetch-protravoch.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/bonding/charmetch
charmseal_2,DentKist,"DentKist, Inc.",CharmSeal Герметизация ямок и фиссур для профилактики кариеса,,,1,therapy > profilaktica,Материалы для герметизации фиссур зубов Charmseal купить с доставкой по Москве ✅. Заказать герметики светового отверждения для профилактики зубного кариеса. Цены на материал стоматологический для запечатывания слепых ямок и покрытия эмали зуба указаны в к,https://static.tildacdn.com/tild6461-6333-4265-b531-653936626432/charmseal-germetizac.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/profilaktica/charmseal_2
charmsensy,DentKist,"DentKist, Inc.",CharmSensy для лечения чувствительности зубов,,,1,therapy > profilaktica,Сильная чувствительность зубов лечение Charmsensy купить с доставкой по Москве ✅. Заказать препараты для снижения гиперчувствительности шейки зуба и эмали. Цены на препарат для снятия и лечения чувствительности зубной ткани указаны в каталоге на сайте ☝.,https://static.tildacdn.com/tild3338-6561-4365-a634-333634306131/charmsensy-dlya-lech.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/profilaktica/charmsensy
charmflex_putty,DentKist,"DentKist, Inc.","CharmFlex® Putty - слепочный материал, А-силикон",,,1,orthopedics,"Силиконовые слепочные материалы купить Charmflex putty с доставкой по Москве ✅. Заказать слепочный материал для ортопедической стоматологии Чамфлекс путти. Цены стоматологического зуботехнического материала, массы для снятия слепков зубов указаны в катало",https://static.tildacdn.com/tild6638-3263-4737-b132-393663363131/charmflex-putty-slep.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/orthopedics/charmflex_putty
charmflex_regular,DentKist,"DentKist, Inc.",CharmFlex®Regular уточняющий А-силикон,,,1,orthopedics,Массы для слепков купить Charmflex regular с доставкой по Москве ✅. Заказать слепочный материал для ортопедической стоматологии. Цены на стоматологическую корригирующую массу для снятия слепка для коронки зуба указаны в каталоге на сайте ☝.,https://static.tildacdn.com/tild6562-3565-4734-b766-353831636631/charmflex-regular-ut.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/orthopedics/charmflex_regular
