officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
DENTSPLY-SIRONA-LUCITONE-DIGITAL-PRINT-DENTURE-SYSTEM,Dentsply Sirona,Dentsply Sirona Inc.,3D Printed Dentures: Lucitone Digital Print,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/product-procedure-brand-categories/procedures/dental-lab/removable-prosthetics/lucitone-digital-print-denture-system/images/LAB-Image-Product-Family%20Render-No%20Background.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/dental-lab/brands/lucitone/lucitone-digital-print-denture-system.html
DENTSPLY-SIRONA-ACURIS-CONOMETRIC-CONCEPT,Dentsply Sirona,Dentsply Sirona Inc.,Acuris Conometric Implant Abutment,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/product-procedure-brand-categories/implant-dentistry/product-categories/cover-screws---healing-abutments/healing-abutments/acuris-conometric-healing-cap/images/IMP-Image-Acuris-cap-crown-Xive-with-grid-background.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/implant-dentistry/brands/other-products/acuris-conometric-concept.html
DENTSPLY-SIRONA-AH-PLUS-RIBBON,Dentsply Sirona,Dentsply Sirona Inc.,AH Plus Ribbon: Endodontic sealing with proven clinical success,,,1,Dentsply Sirona / Current product brands and systems,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.dentsplysirona.com/en-us/explore/endodontics/brands/ah-plus-ribbon.html
DENTSPLY-SIRONA-ALGIN_X-ULTRA,Dentsply Sirona,Dentsply Sirona Inc.,Algin•X Ultra Alginate Alternative I Dentsply Sirona,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/product-procedure-brand-categories/restorative/product-categories/indirect-restoration/overarching-clinical-images/RES-image-alginx-dispensing-white-575x375.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/restorative/brands/algin_x-ultra.html
DENTSPLY-SIRONA-ANKYLOS,Dentsply Sirona,Dentsply Sirona Inc.,Ankylos Implants,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/product-procedure-brand-categories/implant-dentistry/product-categories/implants/ankylos-c-x-implant/images/IMP-Image-Ankylos-implant-range-atlantis-abutments.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/implant-dentistry/brands/ankylos.html
DENTSPLY-SIRONA-AQUASIL-ULTRA--,Dentsply Sirona,Dentsply Sirona Inc.,Aquasil Smart+ Wetting Impression Material,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/product-procedure-brand-categories/restorative/product-categories/indirect-restoration/impression-taking/silicones-vps/aquasil-ultra-plus/images/RES-Product-Image-AquasilUltraPlus-LV-Regular-Set-Cartridge-Refill-NCIS-678671.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/restorative/brands/aquasil-ultra--.html
DENTSPLY-SIRONA-ASTRA-TECH,Dentsply Sirona,Dentsply Sirona Inc.,Astra Tech Implant System,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/product-procedure-brand-categories/implant-dentistry/product-categories/implants/astra-tech-implant-system-ev-astra-tech-implant-ev/images/IMP-Image-Hero-Astra-Tech-Implant_System.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/implant-dentistry/brands/other-products/astra-tech.html
DENTSPLY-SIRONA-ASTRA-TECH-IMPLANT-SYSTEM-EV,Dentsply Sirona,Dentsply Sirona Inc.,Astra Tech Implant System EV,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/product-procedure-brand-categories/implant-dentistry/product-categories/implants/astra-tech-implant-system-ev-astra-tech-implant-ev/images/IMP-tile-square-ATIS-EV.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/implant-dentistry/brands/astra-tech-implant-system-ev.html
DENTSPLY-SIRONA-ATLANTIS-ABUTMENT,Dentsply Sirona,Dentsply Sirona Inc.,Atlantis Patient-Specific Abutments: Customized Solutions,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/product-procedure-brand-categories/implant-dentistry/product-categories/impression/digital-impression-components/atlantis-io-flo-for-intraoral-scanning-(atlantis-abutments)/images/base-product-image/IMP-Image-Atlantis-cement-retained.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/implant-dentistry/brands/atlantis/atlantis-abutment.html
DENTSPLY-SIRONA-ATLANTIS,Dentsply Sirona,Dentsply Sirona Inc.,Atlantis Patient-Specific Solutions,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/flagship/fr_fr/explore/implantology/garantie/FR-hero-richtext-small-Warranty.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/implant-dentistry/brands/atlantis.html
DENTSPLY-SIRONA-ATLANTIS-SUPRASTRUCTURES,Dentsply Sirona,Dentsply Sirona Inc.,Atlantis Suprastructures,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/product-procedure-brand-categories/implant-dentistry/product-categories/prosthetics/patient-specific-abutment/atlantis/IMP-Image-Atlantis-BridgeBase-Full-layer.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/implant-dentistry/brands/atlantis/atlantis-suprastructures.html
DENTSPLY-SIRONA-AXEOS,Dentsply Sirona,Dentsply Sirona Inc.,Axeos CBCT Machine,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/product-procedure-brand-categories/treatment-centers/product-categories/axano/images/TRE-product-image-axano-innovation-meets-fascination.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/x-ray-solutions/brands/axeos.html
DENTSPLY-SIRONA-AZENTO,Dentsply Sirona,Dentsply Sirona Inc.,Azento: Dental Implant Procedure,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/regions-countries/north-america/product-procedure-brand/implants/implant-systems/image/image2/IMP-Hero-Image-AzentoBox-open.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/implant-dentistry/brands/azento.html
DENTSPLY-SIRONA-OSSIX,Dentsply Sirona,Dentsply Sirona Inc.,Bone regeneration in implants,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/regions-countries/north-america/product-procedure-brand/implants/bone-grafts/IMP-Product-Image-Ossix-Bone-BP-127655%20cropped.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/implant-dentistry/brands/ossix.html
DENTSPLY-SIRONA-CAD---CAM-BLOCKS,Dentsply Sirona,Dentsply Sirona Inc.,CAD/CAM Materials | Dental Ceramic,,,1,Dentsply Sirona / Current product brands and systems,https://career.dentsplysirona.com/content/dam/master/regions-countries/north-america/usa/product-categories/cad-cam-chairside-dentistry/images/CER-EN-US-Image-CAD-Primescan-48-Resto-Design.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.dentsplysirona.com/en-us/explore/restorative/brands/cad---cam-blocks.html
