officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceDocumentPage,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
DENU-HDI-DENU-LIGHT-BODY,DENU,HDI Inc.,Denu Light Body,,,4,Слепочные материалы,5,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-HEAVY-BODY,DENU,HDI Inc.,Denu Heavy Body,,,4,Слепочные материалы,6,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-MEDIUM-BODY,DENU,HDI Inc.,Denu Medium Body,,,2,Слепочные материалы,7,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-PUTTY-SET,DENU,HDI Inc.,Denu Putty Set,,,2,Слепочные материалы,7,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-ALGINATE,DENU,HDI Inc.,Denu Alginate,,,2,Слепочные материалы,8,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-TRAY-CLEANER,DENU,HDI Inc.,Denu Tray Cleaner,,,1,Очистка слепочных ложек,8,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-BITE-SIL,DENU,HDI Inc.,Denu Bite Sil,,,1,Регистрация прикуса,9,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-TRANS-SIL,DENU,HDI Inc.,Denu Trans Sil,,,1,Слепочные материалы,9,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-GINGICORD,DENU,HDI Inc.,Denu GingiCord,,,5,Ретракционные материалы,10,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-SPEEDYSTAT,DENU,HDI Inc.,Denu SpeedyStat,,,1,Гемостатические материалы,10,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-COMPOSITE-RESIN,DENU,HDI Inc.,Denu Composite Resin,,,9,Реставрационные материалы,12,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-COMPOSITE-RESIN-KIT,DENU,HDI Inc.,Denu Composite Resin Kit,,,2,Реставрационные материалы,12,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-FLOW-RESIN,DENU,HDI Inc.,Denu Flow Resin,,,9,Жидкотекучие композиты,13,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-TEMP-FLOW,DENU,HDI Inc.,Denu Temp Flow,,,3,Временные пломбировочные материалы,13,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-TEMTOOTH,DENU,HDI Inc.,Denu TemTooth,,,2,Временные коронки и зубы,14,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
