officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
DIO-FAMILY-46,DIO,DIO Corporation,Bone Level - SICON,,,0,Implant System,,https://www.dioimplant.com/assets/images/product/product_thumb_Sicon.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/46?mseq=165
DIO-FAMILY-39,DIO,DIO Corporation,Bone Level - UNICON,,,0,Implant System,,https://www.dioimplant.com/assets/images/product/product_thumb_Unicon.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/39?mseq=139
DIO-FAMILY-2,DIO,DIO Corporation,Bone Level - UFII,,,0,Implant System,,https://www.dioimplant.com/assets/images/product/product_thumb_ufIIRegular.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/2?mseq=28
DIO-FAMILY-4,DIO,DIO Corporation,Bone Level - UFIII,,,0,Implant System,,https://www.dioimplant.com/assets/images/product/product_thumb_ufIIIRegular.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/4?mseq=29
DIO-FAMILY-5,DIO,DIO Corporation,Bone Level - FTN,,,0,Implant System,,https://www.dioimplant.com/assets/images/product/product_thumb_ftn.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/5?mseq=30
DIO-FAMILY-6,DIO,DIO Corporation,Tissue Level - UFII Internal,,,0,Implant System,,https://www.dioimplant.com/assets/images/product/product_thumb_UFIIInternal.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/6?mseq=31
DIO-FAMILY-10,DIO,DIO Corporation,Onebody - Protem,,,0,Implant System,,https://www.dioimplant.com/assets/images/product/product_thumb_protem.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/10?mseq=32
DIO-FAMILY-47,DIO,DIO Corporation,SICON Kit,,,0,Surgical Kits,,https://www.dioimplant.com/assets/images/product/product_thumb_Kits_sicon.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/47?mseq=166
DIO-FAMILY-40,DIO,DIO Corporation,UNICON Kit,,,0,Surgical Kits,,https://www.dioimplant.com/assets/images/product/product_thumb_Kits_unicon.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/40?mseq=140
DIO-FAMILY-13,DIO,DIO Corporation,Implant Surgery,,,0,Surgical Kits,,https://www.dioimplant.com/assets/images/product/product_thumb_Kits_implant.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/13?mseq=37
DIO-FAMILY-14,DIO,DIO Corporation,Sinus Surgery,,,0,Surgical Kits,,https://www.dioimplant.com/assets/images/product/product_thumb_Kits_sinus.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/14?mseq=38
DIO-FAMILY-15,DIO,DIO Corporation,Guided Surgery,,,0,Surgical Kits,,https://www.dioimplant.com/assets/images/product/product_thumb_Kits_guided.png,1,OFFICIAL_DIO_GLOBAL_ORDER_DIRECTORY_INCLUDES_KAZAKHSTAN,MANUFACTURER_REFERENCE_REQUIRED,https://www.dioimplant.com/product/15?mseq=39
