officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,ambiguousManufacturerRef,modelSeries,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
DOCTOR-SMILE-WISER-2,Doctor Smile,Lambda S.p.A.,WISER 2,,LA8D0001.3 | LA8D0002.2,,LA8D,2,Стоматологические лазеры,"Wiser laser diode: faster treatments, faster healing time, bloodless operations, less anesthesia, less pain. Welcome to the perfect dental practice!",https://www.doctor-smile.com/wp-content/uploads/2021/03/WISER-1.jpeg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.doctor-smile.com/en/wiser-diode-laser/
DOCTOR-SMILE-WISER-3,Doctor Smile,Lambda S.p.A.,WISER 3,,LA12D001.4 | LA12D001.5,,LA12D,2,Стоматологические лазеры,"Wiser 3 with the new and intuitive graphic interface allows three different modes of use: Assisted, Advanced and Effect, accompanying you day after day in the discovery of the infinite possibilities of laser technology.",https://www.doctor-smile.com/wp-content/uploads/2021/03/WISER3-1.jpeg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.doctor-smile.com/en/wiser-3/
DOCTOR-SMILE-PLUSER,Doctor Smile,Lambda S.p.A.,PLUSER,LAERT001.1,LAERT001.1,,,1,Стоматологические лазеры,Pluser is a high-tech medical device that will launch the traditional dental practice into the future: dental laser that allows applications in the dental field with a wide range of handpieces that can be adopted for simple and effective applications.,https://www.doctor-smile.com/wp-content/uploads/2021/03/PLUSER-1.jpeg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.doctor-smile.com/en/laser-erbium-pluser/
DOCTOR-SMILE-PLUSER-KOMBI,Doctor Smile,Lambda S.p.A.,PLUSER KOMBI,,,LAERT001.1,,1,Стоматологические лазеры,Pluser is a high-tech medical device that will launch the traditional dental practice into the future: dental laser that allows applications in the dental field with a wide range of handpieces that can be adopted for simple and effective applications.,https://www.doctor-smile.com/wp-content/uploads/2022/09/PLUSER-KOMBI-_sito.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.doctor-smile.com/en/pluser-kombi/
DOCTOR-SMILE-SIMPLER,Doctor Smile,Lambda S.p.A.,SIMPLER,,,,LA9D,1,Стоматологические лазеры,,https://www.doctor-smile.com/wp-content/uploads/2021/05/SIMPLER2.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.doctor-smile.com/en/simpler-2/
DOCTOR-SMILE-LWS-LASER-WHITENING-SYSTEM,Doctor Smile,Lambda S.p.A.,LWS Laser Whitening System,,,,,1,Материалы для отбеливания,"The LWS Laser Whitening System is a professional product for dental bleaching, for use with Doctor Smile 980nm lasers.",https://www.doctor-smile.com/wp-content/uploads/2024/12/LWS-NEW.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.doctor-smile.com/en/lws-laser-whitening-system/
DOCTOR-SMILE-SEALVER-GEL,Doctor Smile,Lambda S.p.A.,Sealver GEL,,,,,1,Лазерные расходные материалы,Sealver gel is suitable for those who are sensitive. With the Sealver gel desensitizing treatment you can bite into anything!,https://www.doctor-smile.com/wp-content/uploads/2024/12/SEALVER-NEW.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.doctor-smile.com/en/sealver-gel/
DOCTOR-SMILE-SIOXYL,Doctor Smile,Lambda S.p.A.,SIOXYL,,,,,1,Лазерные расходные материалы,"Sioxyl is the ultra-concentrated solution based on hydrogen peroxide that reclaims the periodontal pockets, freeing them from the bacterial load.",https://www.doctor-smile.com/wp-content/uploads/2021/03/SIOXYL-3.jpeg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.doctor-smile.com/en/sioxyl/
DOCTOR-SMILE-DIODE-LASER-TIPS,Doctor Smile,Lambda S.p.A.,Diode laser tips,,,,,5,Насадки для лазеров,"The doctor smile lasers are equipped with numerous accessories, designed for a quick and easy application to the device. Various types of tips and fibres are available for diode and erbium lasers.",https://www.doctor-smile.com/wp-content/uploads/2021/03/TIP-DIODO-2.jpeg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.doctor-smile.com/en/fibre-and-tips/
DOCTOR-SMILE-ERBIUM-LASER-TIPS,Doctor Smile,Lambda S.p.A.,Erbium laser tips,,LAEH4008.1 | LAEH4012.1 | LAEH6008.1 | LAEH6012.1 | LAEH8004.1 | LAEH8008.1 | LAEH8012.1 | LAEH8081.1,,,8,Насадки для лазеров,"The doctor smile lasers are equipped with numerous accessories, designed for a quick and easy application to the device. Different fibers and tips are available for each type of application.",https://www.doctor-smile.com/wp-content/uploads/2021/03/TIP-ERBIO-2.jpeg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.doctor-smile.com/en/tips-erbium/
DOCTOR-SMILE-DIODE-LASER-HANDPIECES,Doctor Smile,Lambda S.p.A.,Diode laser handpieces,,,,,6,Манипулы для лазеров,In this page we will go to see the doctor-smile diode laser handpieces; you will find images and features of each single product.,https://www.doctor-smile.com/wp-content/uploads/2021/03/MANIPOLI-DIODO-1.jpeg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.doctor-smile.com/en/handpieces/
DOCTOR-SMILE-ERBIUM-LASER-HANDPIECES,Doctor Smile,Lambda S.p.A.,Erbium laser handpieces,,,,,6,Манипулы для лазеров,In this page we will go to see the doctor-smile erbium laser handpieces; you will find images and features of each single product.,https://www.doctor-smile.com/wp-content/uploads/2021/03/MANIPOLI-ERBIO-1.jpeg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.doctor-smile.com/en/erbium-handpieces/
DOCTOR-SMILE-FLAT-TOP-HANDPIECE,Doctor Smile,Lambda S.p.A.,FLAT TOP handpiece,,,,,1,Манипулы для лазеров,"Flat Top: flat wave accessory handpiece that allows photobiomodulation of tissues to provide relief from inflammation, neurogenic pain and neurological problems.",https://www.doctor-smile.com/wp-content/uploads/2021/03/MOP-3.jpeg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.doctor-smile.com/en/flat-top-handpiece/
DOCTOR-SMILE-REVIVE-HANDPIECE,Doctor Smile,Lambda S.p.A.,REVIVE handpiece,,,,,1,Манипулы для лазеров,"With REVIVE you expand the possibilities of treatments carried out in your clinic, and patients will benefit from specific extra services for their health and beauty.",https://www.doctor-smile.com/wp-content/uploads/2021/03/REVIVE-3.jpeg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.doctor-smile.com/en/revive/
