officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl,additionalSourceUrls
DRAEGER-ATLAN-A300,Dräger,Drägerwerk AG & Co. KGaA,Наркозный аппарат Dräger Atlan A300/A300 XL,,,Atlan,2,Анестезиология / Наркозные аппараты,"Текущая модель подтверждена официальным каталогом Dräger. Заводской артикул и точная фотография оставлены на проверку, чтобы не подставлять неверные данные.",,0,BRAND_AND_ANESTHESIA_RANGE_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.draeger.com/ru_ru/Products/Atlan-A300-A300-XL,https://www.draeger.com/ru_ru/Productfinder/Anaesthesia | https://medconcept.kz/apparaty_dlya_narkoza1
DRAEGER-ATLAN-A350,Dräger,Drägerwerk AG & Co. KGaA,Наркозный аппарат Dräger Atlan A350/A350 XL,,,Atlan,2,Анестезиология / Наркозные аппараты,"Текущая модель подтверждена официальным каталогом Dräger. Заводской артикул и точная фотография оставлены на проверку, чтобы не подставлять неверные данные.",,0,EXACT_KZ_MODEL_LISTING,PHOTO_REQUIRED,https://www.draeger.com/ru_ru/Products/Atlan-A350-A350-XL,https://www.draeger.com/ru_ru/Productfinder/Anaesthesia | https://medsyst.kz/catalog/narkozno-dykhatelnye-apparaty/narkozno-dykhatelnyy-apparat-a350-a350-xl/ | https://medconcept.kz/apparaty_dlya_narkoza1
DRAEGER-PERSEUS-A500,Dräger,Drägerwerk AG & Co. KGaA,Анестезиологический комплекс Dräger Perseus A500,,,Perseus,1,Анестезиология / Наркозные аппараты,"Текущая модель подтверждена официальным каталогом Dräger. Заводской артикул и точная фотография оставлены на проверку, чтобы не подставлять неверные данные.",,0,BRAND_AND_ANESTHESIA_RANGE_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.draeger.com/ru_ru/Products/Perseus-A500,https://www.draeger.com/ru_ru/Productfinder/Anaesthesia | https://medconcept.kz/apparaty_dlya_narkoza1
DRAEGER-ZEUS-INFINITY,Dräger,Drägerwerk AG & Co. KGaA,Анестезиологический комплекс Dräger Zeus Infinity Empowered,,,Zeus Infinity,1,Анестезиология / Наркозные аппараты,"Текущая модель подтверждена официальным каталогом Dräger. Заводской артикул и точная фотография оставлены на проверку, чтобы не подставлять неверные данные.",,0,BRAND_AND_ANESTHESIA_RANGE_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.draeger.com/ru_ru/Products/Zeus-Infinity-Empowered,https://www.draeger.com/ru_ru/Productfinder/Anaesthesia | https://medconcept.kz/apparaty_dlya_narkoza1
DRAEGER-FABIUS-MRI,Dräger,Drägerwerk AG & Co. KGaA,Наркозный аппарат Dräger Fabius MRI,,,Fabius,1,Анестезиология / Наркозные аппараты,"Текущая модель подтверждена официальным каталогом Dräger. Заводской артикул и точная фотография оставлены на проверку, чтобы не подставлять неверные данные.",,0,BRAND_AND_ANESTHESIA_RANGE_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.draeger.com/ru_ru/Products/Fabius-MRI,https://www.draeger.com/ru_ru/Productfinder/Anaesthesia | https://medconcept.kz/apparaty_dlya_narkoza1
DRAEGER-FABIUS-PLUS-XL,Dräger,Drägerwerk AG & Co. KGaA,Наркозный аппарат Dräger Fabius Plus XL,,,Fabius,1,Анестезиология / Наркозные аппараты,"Текущая модель подтверждена официальным каталогом Dräger. Заводской артикул и точная фотография оставлены на проверку, чтобы не подставлять неверные данные.",,0,BRAND_AND_ANESTHESIA_RANGE_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.draeger.com/ru_ru/Products/Fabius-plus-XL,https://www.draeger.com/ru_ru/Productfinder/Anaesthesia | https://medconcept.kz/apparaty_dlya_narkoza1
DRAEGER-VAPOR-2000,Dräger,Drägerwerk AG & Co. KGaA,Испарители анестетиков Dräger Vapor 2000 и D-Vapor,,,Vapor,2,Анестезиология / Испарители анестетиков,"Текущая модель подтверждена официальным каталогом Dräger. Заводской артикул и точная фотография оставлены на проверку, чтобы не подставлять неверные данные.",,0,BRAND_AND_ANESTHESIA_RANGE_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.draeger.com/ru_ru/Products/D-Vapor-Vapor-2000,https://www.draeger.com/ru_ru/Productfinder/Anaesthesia | https://medconcept.kz/apparaty_dlya_narkoza1
DRAEGER-VAPOR-3000,Dräger,Drägerwerk AG & Co. KGaA,Испарители анестетиков Dräger Vapor 3000 и D-Vapor 3000,,,Vapor,2,Анестезиология / Испарители анестетиков,"Текущая модель подтверждена официальным каталогом Dräger. Заводской артикул и точная фотография оставлены на проверку, чтобы не подставлять неверные данные.",,0,BRAND_AND_ANESTHESIA_RANGE_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.draeger.com/ru_ru/Products/D-Vapor-3000,https://www.draeger.com/ru_ru/Productfinder/Anaesthesia | https://medconcept.kz/apparaty_dlya_narkoza1
DRAEGER-SCIO-FOUR,Dräger,Drägerwerk AG & Co. KGaA,Газоанализатор Dräger Scio Four,,,Scio,1,Анестезиология / Газоанализаторы,"Текущая модель подтверждена официальным каталогом Dräger. Заводской артикул и точная фотография оставлены на проверку, чтобы не подставлять неверные данные.",,0,BRAND_AND_ANESTHESIA_RANGE_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.draeger.com/ru_ru/Products/Scio,https://www.draeger.com/ru_ru/Productfinder/Anaesthesia | https://medconcept.kz/apparaty_dlya_narkoza1
DRAEGER-SET2GO-PACK2GO,Dräger,Drägerwerk AG & Co. KGaA,Комплекты дыхательных контуров Dräger Set2Go и Pack2Go,,,Дыхательные контуры,2,Анестезиология / Дыхательные контуры,"Текущая модель подтверждена официальным каталогом Dräger. Заводской артикул и точная фотография оставлены на проверку, чтобы не подставлять неверные данные.",,0,BRAND_AND_ANESTHESIA_RANGE_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.draeger.com/ru_ru/Products/Set2Go-and-Pack2Go,https://www.draeger.com/ru_ru/Productfinder/Anaesthesia | https://medconcept.kz/apparaty_dlya_narkoza1
