officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
DURR-AMALGAM-SEPARATOR,Dürr Dental,DÜRR DENTAL SE,Amalgam separator,,,3,Suction,"No amalgam into the waste water The process that starts with the separation unit is completed by the amalgam separator. By law, amalgam must be filtered out of the waste water produced by the treatment unit, separated and collected. As a pioneer and premium manufacturer in dental suction systems , DÜRR DENTAL has been working on the development of high-performance amalgam separators since the start of the 1980s. It goes without saying that all of our systems bear the quality promise ""Made in Germany"". They also meet the requirements defined for the whole of Europe in ISO standard 11143:2008. Discover the amalgam separators by DÜRR DENTAL – The best. By design.",https://www.duerrdental.com/fileadmin/moved_assets/Absaugung/Header_Amalgamabscheider.jpg,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.duerrdental.com/en/products/suction/devices/amalgam-separator/
DURR-CANNULAS,Dürr Dental,DÜRR DENTAL SE,Cannulas,,,2,Suction,"The DÜRR DENTAL range of suction cannulas and handpieces The right cannulas enable you to effectively reduce germ-laden aerosols. The powerful range of cannulas from DÜRR DENTAL protects the entire practice team. All cannulas in the DÜRR DENTAL range share the same basic quality features: they are ergonomically designed and have no edges, making them extremely comfortable for both patients and therapists alike. At the same time, it provides the therapist with optimum grip. All cannulas deliver highly efficient suction performance to remove saliva, blood and micro-particles from the patient's mouth and are therefore well-suited to all types and areas of treatment.",https://media.duerrdental.com/asset/845f7535-1d7a-45ba-a43b-68d796549ad9/thumbnail/mini-Absaugkanulen-Header-Webseite,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.duerrdental.com/en/products/suction/materials-and-accessories/cannulas/
DURR-CLINIC-SYSTEMS,Dürr Dental,DÜRR DENTAL SE,Clinic systems,,,3,Compressed air,"Powerful compressed air solutions for day-to-day clinic operations Dental clinics and universities require an uncompromising compressed air supply that offers top performance and reliable reserves. Dürr Dental offers central pressure stations with refrigerant type dryers and cyclone separators for up to 80 therapists. The sophisticated system structure ensures efficient planning, economical operation and long-term supply reliability.",https://media.duerrdental.com/asset/34fe3c6b-8833-42eb-859e-7c8ea9fdd902/thumbnail/mini-Druckluft-Kliniken-Header-2026,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.duerrdental.com/en/products/compressed-air/devices/clinic-systems/
DURR-COMPONENTS,Dürr Dental,DÜRR DENTAL SE,Components for system integration,,,3,Suction,"Everything from a single source For the industrial sector, DÜRR DENTAL offers an entire dental unit portfolio to meet the requirements of system integration. The components are integrated ex-works in the treatment units of leading manufacturers and ensure efficient and trouble-free operation.",https://www.duerrdental.com/fileadmin/moved_assets/Absaugung/Komponenten_Systemintegration_header.jpg,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.duerrdental.com/en/products/suction/system-integration/components/
DURR-DUERRCONNECT,Dürr Dental,DÜRR DENTAL SE,DürrConnect,,,1,Suction,"DÜRR DENTAL suction units have an intelligent design. This makes them easier and more flexible to install. Nonetheless, every surgery is different in its own way. The solution: DürrConnect.",https://media.duerrdental.com/asset/852adcb4-c887-4cb4-922f-b18ec8f24914/thumbnail/mini-Service-Image-Campaign-03,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.duerrdental.com/en/products/suction/system-integration/duerrconnect/
DURR-FD-300-SURFACE-DISINFECTION,Dürr Dental,DÜRR DENTAL SE,FD 300 Surface disinfection,,,0,Hygiene > Surfaces,"Fully virucidal and alcohol-free concentrate for cleaning and disinfecting surfaces of non-invasive medical devices and medical fixtures Especially fast reaction time Economical application: Up to 250 l of ready-to-use solution at 1% Good material compatibility Spectrum of activity 1 : Bactericidal, yeasticidal, tuberculocidal, limited virucidal (enveloped viruses incl. HBV, HCV, HIV and coronaviruses), limited virucidal PLUS (incl. rotaviruses, adenoviruses, noroviruses), virucidal (enveloped and non-enveloped viruses) Active ingredients: Alkylamines, quaternary ammonium compounds Units: 2.5 litres Ideal for: Dry wipes from DÜRR DENTAL 1 FD 300 has been tested under high loads in accordance with EN 13727, EN 13624, EN 14348, EN 14476, EN 16615 (4-field test) and the DVV/RKI guideline.",https://media.duerrdental.com/asset/769527c9-5b83-4873-bd4f-27f8f8b2cf5f/L/FD300.jpg,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.duerrdental.com/en/products/hygiene/hygiene-preparations/concentrates-and-ready-to-use-solutions/fd-300-surface-disinfection/
DURR-FD-312-SURFACE-DISINFECTION,Dürr Dental,DÜRR DENTAL SE,FD 312 Surface disinfection*,,,0,Hygiene > Surfaces,"Alcohol-free concentrate for cleaning and disinfecting surfaces of non-invasive medical devices, fixtures and floors Economical application: Up to 250 l of ready-to-use solution at 1% Good material compatibility Pleasant scent Spectrum of activity 1 : Bactericidal, yeasticidal, limited virucidal (enveloped viruses incl. HBV, HCV, HIV and coronaviruses), limited virucidal PLUS (incl. rotaviruses, adenoviruses, noroviruses) Active ingredients: Alkyl(C12-18)dimethylbenzylammonium chloride (quaternary ammonium compounds) Units: 2.5 litres Ideal for: Dry wipes from DÜRR DENTAL 1 FD 312 has been tested under high loads in accordance with EN 13727, EN 13624, EN 14476, EN 16615 (4-field test) and the DVV/RKI guideline.",EN,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.duerrdental.com/en/products/hygiene/hygiene-preparations/concentrates-and-ready-to-use-solutions/fd-312-surface-disinfection/
DURR-FD-312-WET-WIPES-SURFACE-DISINFECTION,Dürr Dental,DÜRR DENTAL SE,FD 312 wet wipes Surface disinfection*,,,0,Hygiene > Surfaces,"Alcohol-free disinfection and cleaning wipes for floors, surgery inventory etc. High-yield surface coverage Wipes with tear-resistant honeycomb structure Pleasant scent Spectrum of activity 1 : Bactericidal, yeasticidal, limited virucidal (enveloped viruses incl. HBV, HCV, HIV and coronaviruses) Active ingredients: Alkyl(C12-18)dimethylbenzylammonium chloride (quaternary ammonium compounds) Units: Package with 15 wipes Wipe size: 22 x 42 cm 1 The FD 312 wet wipes have been tested under high loads in accordance with EN 13727, EN 13624, EN 16615 (4-field test).",https://media.duerrdental.com/asset/90e61dc8-32d1-4d9c-bafb-d6a1fa75f372/L/FD312_wetwipes.jpg,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.duerrdental.com/en/products/hygiene/hygiene-preparations/disinfection-wipes/fd-312-wet-wipes-surface-disinfection/
DURR-FD-322-PERFUME-FREE-QUICK-ACTING-DISINFECTION,Dürr Dental,DÜRR DENTAL SE,FD 322 Perfume-free quick-acting disinfection,,,0,Hygiene > Surfaces,"Fast-acting, ready-to-use solution for disinfecting and cleaning surfaces of medical devices and fixtures Very short reaction time Dries without residue Good material compatibility Perfume-free Spectrum of activity 1 : Bactericidal, tuberculocidal, yeasticidal, fungicidal, limited virucidal PLUS (enveloped viruses incl. HBV, HCV, HIV and coronaviruses, as well as non-enveloped adenoviruses and noroviruses) Active ingredients: Alcohols Units: 2.5 litres, 10 litres Ideal for: Dry wipes from DÜRR DENTAL, 500 ml spray bottle, spray head 1 The active ingredient solution of the product is based on a quick-acting combination of alcohols and is tested in accordance with current VAH methods, the DVV/RKI guideline and European standards (testing under high loads in accordance with EN 13727, EN 13624, EN 14348, EN 14476, EN 16615 – 4 field test).",https://media.duerrdental.com/asset/378c3cc1-bfac-473b-924a-5a8554b593ed/L/FD322perfumefree.jpg,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.duerrdental.com/en/products/hygiene/hygiene-preparations/concentrates-and-ready-to-use-solutions/fd-322-perfume-free-quick-acting-disinfection/
DURR-FD-322-PREMIUM-WIPES-QUICK-ACTING-DISINFECTION,Dürr Dental,DÜRR DENTAL SE,FD 322 premium wipes Quick-acting disinfection,,,0,Hygiene > Surfaces,"Disinfection wipes for the quick disinfection of alcohol-resistant surfaces of invasive and non-invasive medical devices and fixtures Spectrum of activity 1 : Bactericidal, tuberculocidal, fungicidal, limited virucidal (enveloped viruses incl. HBV, HCV, HIV and coronaviruses), limited virucidal PLUS (incl. rotaviruses, adenoviruses, noroviruses), polyomaviruses SV40 Active ingredients: Alcohols Units: Dispenser box of 80 wipes, refill pack of 80 wipes Wipe size: 14 x 19 cm 1 FD 322 as active ingredient solution of FD 322 premium wipes is based on a fast-acting combination of alcohols. The active ingredient solution has been tested under high loads in accordance with EN 13727, EN 13624, EN 14348, EN 14476, EN 16615 and the DVV/RKI guideline. FD 322 premium wipes have been tested and certified as ready-to-use wipes based on the 4-field test in accordance with VAH/EN 16615.",https://media.duerrdental.com/asset/6cbcb0d8-8d6a-4f60-ad8e-5e571e13107b/L/FD322_premiumwipes.jpg,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.duerrdental.com/en/products/hygiene/hygiene-preparations/disinfection-wipes/fd-322-premium-wipes-quick-acting-disinfection/
