officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
FALCON-BD-010-150,Falcon,Falcon Medical Polska Sp. z o.o.,Titanium De Bakey atraumatic forceps 2mm 150mm,BD.010.150,BD.010.150,1,Titanium dissecting and tissue forceps / Titanium atraumatic forceps / Dissecting and tissue forceps,,https://falconmedical.pl/app/uploads/2021/10/26581-Penseta-atraumatyczna-tytanowa-De-Bakey-2mm150mm.jpg,2,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/titanium-de-bakey-atraumatic-forceps-2mm-150mm/
FALCON-BD-013-150,Falcon,Falcon Medical Polska Sp. z o.o.,Titanium De Bakey atraumatic forceps 2.5mm 150mm,BD.013.150,BD.013.150,1,Titanium dissecting and tissue forceps / Titanium atraumatic forceps / Dissecting and tissue forceps,,https://falconmedical.pl/app/uploads/2021/10/26582-Penseta-atraumatyczna-tytanowa-De-Bakey-zagieta-2.5mm150mm.jpg,2,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/titanium-de-bakey-atraumatic-forceps-2-5mm-150mm/
FALCON-BD-054-120,Falcon,Falcon Medical Polska Sp. z o.o.,Titanium Forceps dissecting Adson serrated 120mm,BD.054.120,BD.054.120,1,Titanium micro forceps / Titanium dissecting and tissue forceps / Titanium dissecting and tissue forceps / Dissecting and tissue forceps,,https://falconmedical.pl/app/uploads/2021/10/bd054120.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/titanium-forceps-dissecting-adson-serrated-120mm/
FALCON-BD-055-120,Falcon,Falcon Medical Polska Sp. z o.o.,Titanium Forceps dissecting Adson TC 120mm,BD.055.120,BD.055.120,1,Titanium micro forceps / Titanium dissecting and tissue forceps / Titanium dissecting and tissue forceps / Dissecting and tissue forceps,,https://falconmedical.pl/app/uploads/2021/10/bd055120.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/titanium-forceps-dissecting-adson-tc-120mm/
FALCON-BD-104-120,Falcon,Falcon Medical Polska Sp. z o.o.,Titanium Forceps tissue Adson 1x2th 120mm,BD.104.120,BD.104.120,1,Titanium micro forceps / Titanium dissecting and tissue forceps / Titanium dissecting and tissue forceps / Dissecting and tissue forceps,,https://falconmedical.pl/app/uploads/2021/10/bd104120.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/titanium-forceps-tissue-adson-1x2th-120mm/
FALCON-BD-200-120,Falcon,Falcon Medical Polska Sp. z o.o.,Falcon-Grip Forceps dissecting Adson TC 120mm,BD.200.120,BD.200.120,1,Dissecting forceps with tungsten carbide insert / Dissecting and tissue forceps with tungsten carbide tips / Dissecting and tissue forceps,"Made of medical grade stainless steel Non-Sterile must be inspected cleaned and sterilized before first use Autoclavable at temperature up to 135° C Reusable Corrosion resistant STERILIZATION, CARE & MAINTENANCE INSTRUCTIONS",https://falconmedical.pl/app/uploads/2021/10/23138-Falcon-Grip-Penseta-anatomiczna-Adson-120mm-TC.jpg,2,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/falcon-grip-forceps-dissecting-adson-tc-120mm/
FALCON-BD-214-150,Falcon,Falcon Medical Polska Sp. z o.o.,Falcon-Grip Forceps dissecting Potts-Smith TC 150mm,BD.214.150,BD.214.150,1,Dissecting forceps with tungsten carbide insert / Dissecting and tissue forceps with tungsten carbide tips / Dissecting and tissue forceps,"Made of medical grade stainless steel Non-Sterile must be inspected cleaned and sterilized before first use Autoclavable at temperature up to 135° C Reusable Corrosion resistant STERILIZATION, CARE & MAINTENANCE INSTRUCTIONS",https://falconmedical.pl/app/uploads/2021/10/23146-Falcon-Grip-Penseta-anatomiczna-Potts-Smith-150mm-TC.jpg,2,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/falcon-grip-forceps-dissecting-potts-smith-tc-150mm/
FALCON-BD-214-180,Falcon,Falcon Medical Polska Sp. z o.o.,Falcon-Grip Forceps dissecting Potts-Smith TC 180mm,BD.214.180,BD.214.180,1,Dissecting forceps with tungsten carbide insert / Dissecting and tissue forceps with tungsten carbide tips / Dissecting and tissue forceps,"Made of medical grade stainless steel Non-Sterile must be inspected cleaned and sterilized before first use Autoclavable at temperature up to 135° C Reusable Corrosion resistant STERILIZATION, CARE & MAINTENANCE INSTRUCTIONS",https://falconmedical.pl/app/uploads/2021/10/23145-Falcon-Grip-Penseta-anatomiczna-Potts-Smith-180mm-TC.jpg,2,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/falcon-grip-forceps-dissecting-potts-smith-tc-180mm/
FALCON-BD-214-200,Falcon,Falcon Medical Polska Sp. z o.o.,Falcon-Grip Forceps dissecting Potts-Smith TC 200mm,BD.214.200,BD.214.200,1,Dissecting forceps with tungsten carbide insert / Dissecting and tissue forceps with tungsten carbide tips / Dissecting and tissue forceps,"Made of medical grade stainless steel Non-Sterile must be inspected cleaned and sterilized before first use Autoclavable at temperature up to 135° C Reusable Corrosion resistant STERILIZATION, CARE & MAINTENANCE INSTRUCTIONS",https://falconmedical.pl/app/uploads/2021/10/23144-Falcon-Grip-Penseta-anatomiczna-Potts-Smith-200mm-TC.jpg,2,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/falcon-grip-forceps-dissecting-potts-smith-tc-200mm/
FALCON-BD-230-145,Falcon,Falcon Medical Polska Sp. z o.o.,Falcon-Grip Forceps dissecting Standard TC 145mm,BD.230.145,BD.230.145,1,Dissecting forceps with tungsten carbide insert / Dissecting and tissue forceps with tungsten carbide tips / Dissecting and tissue forceps,"Made of medical grade stainless steel Non-Sterile must be inspected cleaned and sterilized before first use Autoclavable at temperature up to 135° C Reusable Corrosion resistant STERILIZATION, CARE & MAINTENANCE INSTRUCTIONS",https://falconmedical.pl/app/uploads/2021/10/23143-Falcon-Grip-Penseta-anatomiczna-Standard-145mm-TC.jpg,2,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/falcon-grip-forceps-dissecting-standard-tc-145mm/
FALCON-BD-230-160,Falcon,Falcon Medical Polska Sp. z o.o.,Falcon-Grip Forceps dissecting Standard TC 160mm,BD.230.160,BD.230.160,1,Dissecting forceps with tungsten carbide insert / Dissecting and tissue forceps with tungsten carbide tips / Dissecting and tissue forceps,"Made of medical grade stainless steel Non-Sterile must be inspected cleaned and sterilized before first use Autoclavable at temperature up to 135° C Reusable Corrosion resistant STERILIZATION, CARE & MAINTENANCE INSTRUCTIONS",https://falconmedical.pl/app/uploads/2021/10/23142-Falcon-Grip-Penseta-anatomiczna-Standard-160mm-TC.jpg,2,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/falcon-grip-forceps-dissecting-standard-tc-160mm/
