officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
FOMOS-18,FOMOS,"Fomos Medical Technology Co., Ltd.",AQUA,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/e3b9af5e-5eef-4a2c-9421-873f397181d6.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/18.html
FOMOS-20,FOMOS,"Fomos Medical Technology Co., Ltd.",Foclean-25,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/4a4da601-125d-4fd0-b932-ee7626747bd8.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/20.html
FOMOS-21,FOMOS,"Fomos Medical Technology Co., Ltd.",Foclean-60,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/e330e6d7-aad6-4a20-87d7-7298b376107f.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/21.html
FOMOS-22,FOMOS,"Fomos Medical Technology Co., Ltd.",Folub,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/9cf3707e-dc16-4a55-9373-bd9831f9e7a6.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/22.html
FOMOS-6,FOMOS,"Fomos Medical Technology Co., Ltd.",Foseal,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/7f9085e5-f1f9-4ed2-9529-934af73d511a.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/6.html
FOMOS-13,FOMOS,"Fomos Medical Technology Co., Ltd.",FoSeal-01,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/25306edf-1159-4bf2-ac3d-42062f32726f.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/13.html
FOMOS-14,FOMOS,"Fomos Medical Technology Co., Ltd.",FoSeal-02,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/cf1cf3d3-ae3e-462f-b539-c559dc082b7e.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/14.html
FOMOS-15,FOMOS,"Fomos Medical Technology Co., Ltd.",FoSeal-02A,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/afa21598-b73d-441f-acd9-f237a28bbbee.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/15.html
FOMOS-16,FOMOS,"Fomos Medical Technology Co., Ltd.",FoSeal-AC,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/3f621a64-2b7f-40c8-a54e-e92686a0ec8a.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/16.html
FOMOS-17,FOMOS,"Fomos Medical Technology Co., Ltd.",FoSeal-AP,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/fd31a134-1011-4e24-b8e9-abe609586af5.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/17.html
FOMOS-8,FOMOS,"Fomos Medical Technology Co., Ltd.",Foster 17LB / 22LB,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/b8f7ceb5-c830-4fcd-a864-d6068541428f.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/8.html
FOMOS-7,FOMOS,"Fomos Medical Technology Co., Ltd.",Foster 8LB / 12LB,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/93fc2892-fd89-4108-8774-712f0889456d.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/7.html
FOMOS-12,FOMOS,"Fomos Medical Technology Co., Ltd.",Foster Plus,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/f4ff05b4-29cf-4fb7-adf6-4cb11bc0991f.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/12.html
FOMOS-5,FOMOS,"Fomos Medical Technology Co., Ltd.",Foster Plus,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/ed86d5a1-d183-4c2e-b8b4-88b7000573a2.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/5.html
FOMOS-10,FOMOS,"Fomos Medical Technology Co., Ltd.",Foster S,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/0595d0fb-f018-4b71-833f-ede5e73e21ca.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/10.html
FOMOS-26,FOMOS,"Fomos Medical Technology Co., Ltd.",FoVac,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/df5064f4-402d-4205-b148-20e3d0472970.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/26.html
FOMOS-23,FOMOS,"Fomos Medical Technology Co., Ltd.",IMIX-M3,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/55032b8b-30d0-40fe-af18-8c4d388cf6ba.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/23.html
FOMOS-25,FOMOS,"Fomos Medical Technology Co., Ltd.",IMIX-M6,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/693a3cb8-e77d-47a3-991f-8c87821971a8.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/25.html
FOMOS-9,FOMOS,"Fomos Medical Technology Co., Ltd.",Linea 17L B / 22L B,,,1,FOMOS / Dental sterilization equipment,https://omo-oss-image1.thefastimg.com/portal-saas/pg2024062417342775197/cms/image/68e9a150-1450-4d0d-90f3-8110b060d035.jpg?vf=B7gH3s,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ifomos.com/products_detail/9.html
