officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
GAPADENT-ABSORBENT-PAPER-POINTS-KZ,Gapadent,"Tianjin Gapadent Co., Ltd.",Абсорбирующие бумажные штифты Gapadent,,,,6,Абсорбирующие бумажные штифты,Шесть вариантов фактически представлены в каталоге СТОМир Казахстан. Артикул CKT-111 сохранён только как артикул продавца и не выдается за заводской код.,https://stomir.kz/user_uploads/products/85-00003_35.jpg,6,EXACT_KZ_LISTING_AND_VARIANTS,MANUFACTURER_REFERENCE_REQUIRED,https://stomir.kz/catalog/rashodnye_materialy_i_akssesuary_terapevticheskie/170216043611
GAPADENT-GP-ENDO-AIDE,Gapadent,"Tianjin Gapadent Co., Ltd.",Гуттаперчевые штифты Endo Aide,,,,3,Эндодонтические штифты,Варианты подтверждены специализированным каталогом линейки Gapadent; заводской артикул требует сверки с актуальным прайсом производителя или поставщика.,,0,BRAND_AND_ABSORBENT_PAPER_POINTS_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.pearsondental.com/flyers/Gapadent%20Page.pdf
GAPADENT-PAPER-ENDO-AIDE,Gapadent,"Tianjin Gapadent Co., Ltd.",Бумажные штифты Endo Aide,,,,3,Эндодонтические штифты,Варианты подтверждены специализированным каталогом линейки Gapadent; заводской артикул требует сверки с актуальным прайсом производителя или поставщика.,,0,BRAND_AND_ABSORBENT_PAPER_POINTS_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.pearsondental.com/flyers/Gapadent%20Page.pdf
GAPADENT-ENDO-AIDE-COMBO,Gapadent,"Tianjin Gapadent Co., Ltd.",Набор Endo Aide с гуттаперчевыми и бумажными штифтами,,,,2,Эндодонтические наборы,Варианты подтверждены специализированным каталогом линейки Gapadent; заводской артикул требует сверки с актуальным прайсом производителя или поставщика.,,0,BRAND_AND_ABSORBENT_PAPER_POINTS_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.pearsondental.com/flyers/Gapadent%20Page.pdf
GAPADENT-GP-WAVE-ONE,Gapadent,"Tianjin Gapadent Co., Ltd.",Гуттаперчевые штифты для файлов WaveOne,,,,4,Эндодонтические штифты,Варианты подтверждены специализированным каталогом линейки Gapadent; заводской артикул требует сверки с актуальным прайсом производителя или поставщика.,,0,BRAND_AND_ABSORBENT_PAPER_POINTS_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.pearsondental.com/flyers/Gapadent%20Page.pdf
GAPADENT-GP-TAPER-04-06,Gapadent,"Tianjin Gapadent Co., Ltd.",Гуттаперчевые штифты конусности 04 и 06,,,,14,Эндодонтические штифты,Варианты подтверждены специализированным каталогом линейки Gapadent; заводской артикул требует сверки с актуальным прайсом производителя или поставщика.,,0,BRAND_AND_ABSORBENT_PAPER_POINTS_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.pearsondental.com/flyers/Gapadent%20Page.pdf
GAPADENT-GP-GREATER-TAPER,Gapadent,"Tianjin Gapadent Co., Ltd.",Гуттаперчевые штифты повышенной конусности,,,,5,Эндодонтические штифты,Варианты подтверждены специализированным каталогом линейки Gapadent; заводской артикул требует сверки с актуальным прайсом производителя или поставщика.,,0,BRAND_AND_ABSORBENT_PAPER_POINTS_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.pearsondental.com/flyers/Gapadent%20Page.pdf
GAPADENT-GP-PROTAPER,Gapadent,"Tianjin Gapadent Co., Ltd.",Гуттаперчевые штифты для файлов ProTaper,,,,6,Эндодонтические штифты,Варианты подтверждены специализированным каталогом линейки Gapadent; заводской артикул требует сверки с актуальным прайсом производителя или поставщика.,,0,BRAND_AND_ABSORBENT_PAPER_POINTS_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.pearsondental.com/flyers/Gapadent%20Page.pdf
GAPADENT-PAPER-TAPER-04-06,Gapadent,"Tianjin Gapadent Co., Ltd.",Бумажные штифты конусности 04 и 06,,,,14,Эндодонтические штифты,Варианты подтверждены специализированным каталогом линейки Gapadent; заводской артикул требует сверки с актуальным прайсом производителя или поставщика.,,0,BRAND_AND_ABSORBENT_PAPER_POINTS_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.pearsondental.com/flyers/Gapadent%20Page.pdf
GAPADENT-PAPER-PROTAPER,Gapadent,"Tianjin Gapadent Co., Ltd.",Бумажные штифты для файлов ProTaper,,,,6,Эндодонтические штифты,Варианты подтверждены специализированным каталогом линейки Gapadent; заводской артикул требует сверки с актуальным прайсом производителя или поставщика.,,0,BRAND_AND_ABSORBENT_PAPER_POINTS_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.pearsondental.com/flyers/Gapadent%20Page.pdf
GAPADENT-ENDO-AIDE-ORGANIZER,Gapadent,"Tianjin Gapadent Co., Ltd.",Органайзер Endo Aide,,,,2,Эндодонтические принадлежности,Варианты подтверждены специализированным каталогом линейки Gapadent; заводской артикул требует сверки с актуальным прайсом производителя или поставщика.,,0,BRAND_AND_ABSORBENT_PAPER_POINTS_OBSERVED_IN_KAZAKHSTAN,PHOTO_REQUIRED,https://www.pearsondental.com/flyers/Gapadent%20Page.pdf
