officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
GC-AADVAIOS,GC,GC Corporation,Aadva IOS,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/aadvaios_packshot.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/aadvaios
GC-AADVAIOS100P,GC,GC Corporation,Aadva IOS 100 P,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/aadvaios100p_packshot.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/aadvaios100p
GC-AADVALABSCANNER3,GC,GC Corporation,Aadva Lab Scanner 3,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/Scanner%2013.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/aadvalabscanner3
GC-ACRYLICPRIMER,GC,GC Corporation,Acrylic Primer,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/acrylicprimer_packshot.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/acrylicprimer
GC-AROMAFINEPLUS,GC,GC Corporation,AROMA FINE PLUS,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/aromafineplus_packshot.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/aromafineplus
GC-BASESTONE,GC,GC Corporation,BASE STONE,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/basestone_packshot.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/basestone
GC-BITECOMPOUND,GC,GC Corporation,Bite Compound,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/bitecompound_packshot.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/bitecompound
GC-CAPSULEAPPLIER3,GC,GC Corporation,Capsule Applier III,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/capsuleapplier3_packshot.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/capsuleapplier3
GC-CAPSULEAPPLIER4,GC,GC Corporation,Capsule Applier IV,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/capsuleapplier4_packshot.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/capsuleapplier4
GC-CAPSULEMIXERCM2,GC,GC Corporation,Capsule Mixer CM-II,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/capsulemixercm2_packshot.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/capsulemixercm2
GC-CARTRIDGEDISPENSER2,GC,GC Corporation,Cartridge Dispenser II,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/cartridgedispenser2_packshot.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/cartridgedispenser2
GC-CASTINGRINGLINER,GC,GC Corporation,CASTING RING LINER,,,1,GC Europe / Dental products,https://www.gc.dental/europe/sites/europe.gc.dental/files/products/images/castingringliner_packshot.jpg,1,OFFICIAL_EUROPE_RANGE_AND_BRAND_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.gc.dental/europe/en/products/castingringliner
