officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
GOOD-DOCTORS-IC-DCAU71,Good Doctors,"Good Doctors Co., Ltd.",Dr’s cam (Wired),IC-DCAU71,IC-DCAU71,1,Intraorale Kameras,Good Doctors Ihr Partner für Intraorale Kameras und Kleingeräte.,https://www.gooddrs.de/wp-content/uploads/1-29.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/drs-cam-kabelgebunden
GOOD-DOCTORS-DIRECT-M-IC-WM-,Good Doctors,"Good Doctors Co., Ltd.",Wirelesspack for Whicam M & Inspire,Direct M (IC-WM),Direct M (IC-WM),1,Intraorale Kameras,Wirelesspack um die Metall-Kameras (Whicam M oder Inspire) drahtlos zu machen. Vebindungsaufbau innerhalb von Sekunden und Störungsfrei.,https://www.gooddrs.de/wp-content/uploads/Inspire-mit-Ladestation.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/wireless-pack-fuer-inspire-oder-whicam-m
GOOD-DOCTORS-IC-AD,Good Doctors,"Good Doctors Co., Ltd.",Receiver Direct V,IC-AD,IC-AD,1,Intraorale Kameras,Good Doctors Ihr Partner für Intraorale Kameras und Kleingeräte.,https://www.gooddrs.de/wp-content/uploads/air-direct.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/produkte/receiver-direct-v-fuer-air-direct-kameras/
GOOD-DOCTORS-CL-DP40,Good Doctors,"Good Doctors Co., Ltd.",Dr’s Light PRIME,CL-DP40,CL-DP40,1,Intraorale Kameras,Good Doctors Ihr Partner für Intraorale Kameras und Kleingeräte.,https://www.gooddrs.de/wp-content/uploads/Curingligthprime-2.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/drs-light-prime-2
GOOD-DOCTORS-IC-DCAM70,Good Doctors,"Good Doctors Co., Ltd.",Dr’s Cam Air,IC-DCAM70,IC-DCAM70,1,Intraorale Kameras,Good Doctors Ihr Partner für Intraorale Kameras und Kleingeräte.,https://www.gooddrs.de/wp-content/uploads/dcam70-3-ad-copy-1.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/drs-cam-air-2
GOOD-DOCTORS-IC-WHT60,Good Doctors,"Good Doctors Co., Ltd.",Kabellose Freiheit mit der Whicam AIR,IC-WHT60,IC-WHT60,1,Intraorale Kameras,"Wireless freedom with the Whicam AIR. Thanks to its own developed WLAN, the Whicam runs smoothly in all rooms without interference.",https://www.gooddrs.de/wp-content/uploads/Whicam-AIR-01-copy.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/whicam-air
GOOD-DOCTORS-IC-WHW61,Good Doctors,"Good Doctors Co., Ltd.",Whicam Story3 CS (Wired),IC-WHW61,IC-WHW61,1,Intraorale Kameras,Good Doctors Ihr Partner für Intraorale Kameras und Kleingeräte.,https://www.gooddrs.de/wp-content/uploads/1-28.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/whicam-story-3-kabelgebunden
GOOD-DOCTORS-DR-S-FINDER-PART-NO-AL01006010-DR-S-FINDER-NEO-PART-NO-AL02006010,Good Doctors,"Good Doctors Co., Ltd.",Calibration jig,Dr's Finder - Part No. AL01006010 Dr's Finder Neo - Part No. AL02006010,Dr's Finder - Part No. AL01006010 Dr's Finder Neo - Part No. AL02006010,1,Intraorale Kameras,Good Doctors Ihr Partner für Intraorale Kameras und Kleingeräte.,https://www.gooddrs.de/wp-content/uploads/Kalibrierungsstick-fuer-DrsFinder-NEO.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/kalibrierungs-jig-fuer-drsfinder
GOOD-DOCTORS-PART-NO-AL01002010,Good Doctors,"Good Doctors Co., Ltd.",Probe cord for Dr’s Finder,Part No. AL01002010,Part No. AL01002010,1,Intraorale Kameras,Good Doctors Ihr Partner für Intraorale Kameras und Kleingeräte.,https://www.gooddrs.de/wp-content/uploads/DrsFinder-Messkabel-1.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/messkabel-fuer-drsfinder
GOOD-DOCTORS-PART-NO-AL02002020,Good Doctors,"Good Doctors Co., Ltd.",Probe cord for Dr’s Finder Neo,Part No. AL02002020,Part No. AL02002020,1,Intraorale Kameras,Good Doctors Ihr Partner für Intraorale Kameras und Kleingeräte.,https://www.gooddrs.de/wp-content/uploads/Messkabel-DrsFinder-NEO-1.jpg,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/messkabel-fuer-drsfinder-neo
GOOD-DOCTORS-PART-NO-AL01004010,Good Doctors,"Good Doctors Co., Ltd.",File hook for Drs´Finder,Part No. AL01004010,Part No. AL01004010,1,Intraorale Kameras,Good Doctors Ihr Partner für Intraorale Kameras und Kleingeräte.,https://www.gooddrs.de/wp-content/uploads/Feilenclip-1.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/feilenclip-fuer-drsfinder
GOOD-DOCTORS-PART-NO-AL01004010,Good Doctors,"Good Doctors Co., Ltd.",Lip hook for DrsFinder,Part No. AL01004010,Part No. AL01004010,1,Intraorale Kameras,Good Doctors Ihr Partner für Intraorale Kameras und Kleingeräte.,https://www.gooddrs.de/wp-content/uploads/Lip-Hook-1.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/schleimhaut-elektrode-fuer-drsfinder
GOOD-DOCTORS-WHITE-PART-NO-AL01005010-BLACK-PART-NO-AL02005010,Good Doctors,"Good Doctors Co., Ltd.",Stand for Drs´Finder,White - Part No. AL01005010 Black - Part No. AL02005010,White - Part No. AL01005010 Black - Part No. AL02005010,1,Intraorale Kameras,Good Doctors Ihr Partner für Intraorale Kameras und Kleingeräte.,https://www.gooddrs.de/wp-content/uploads/Stand-1.jpg,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.gooddrs.de/en/produkte/staender-fuer-drs-finder
