officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
HANDY-DIGITAL-DENTAL-X-RAY-IMAGING-SYSTEM-HDR-380-PRODUCT,Handy,"Shanghai Handy Medical Equipment Co., Ltd.",Wholesale Digital Dental X,,,,1,Интраоральные рентгеновские датчики,"- Direct USB Helps to make it more convenient to use and carry, and offer faster transmission speed, lower power consumption, and longer service life. - FOP and low power consumption The built-in FOP and low power consumption design effectively prolong the sensor’s service life. As shown in ...",https://www.handyimaging.com/uploads/1.-HDR-380-sensor.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.handyimaging.com/digital-dental-x-ray-imaging-system-hdr-380-product/
HANDY-DIGITAL-IMAGING-PLATE-SCANNER-HDS-500-PRODUCT,Handy,"Shanghai Handy Medical Equipment Co., Ltd.",Wholesale Digital Imaging Plate Scanner HDS,,,,1,Сканеры фосфорных пластин,"- One-click imaging Convenient operation, fast response, efficient and easy - Quick scanning Advanced galvanometer scanning technology, high-speed scanning, high-precision, stable performance, output image within 5s. - Mini-size and portable With weight less than 1.5kg, it is highly integrated...",https://www.handyimaging.com/uploads/Digital-Imaging-Plate-Scanner-HDS-500-11.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.handyimaging.com/digital-imaging-plate-scanner-hds-500-product/
HANDY-HANDY-AI-PRODUCT,Handy,"Shanghai Handy Medical Equipment Co., Ltd.",Wholesale Handy AI Manufacturer and Supplier,,,,1,Программное обеспечение для рентгенодиагностики,"As the latest feature of HandyDentist Imaging Management Software, AI Edit transforms dental X-rays into color-coded visual insights with a single click, highlighting anatomy, potential pathologies, and restorations to support faster interpretation and clearer clinical communication. - AI-Po...",https://www.handyimaging.com/uploads/HandyDentist-AI.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.handyimaging.com/handy-ai-product/
HANDY-INTRAORAL-CAMERA-HDI-712D-PRODUCT,Handy,"Shanghai Handy Medical Equipment Co., Ltd.",Wholesale HDI,,,,1,Интраоральные камеры,"- Larger view With focusing and shooting integrated patented technology and a focusing range from 5mm to infinity, it features 1080P full HD and can realize the imaging of patients&#8217; root canals, double teeth, full mouth and face portrait. - Ultra-low distortion optical lens The lowes...",https://www.handyimaging.com/uploads/Intraoral-Camera-HDI-712D-2.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.handyimaging.com/intraoral-camera-hdi-712d-product/
HANDY-DIGITAL-DENTAL-X-RAY-IMAGING-SYSTEM-HDR-360460-PRODUCT,Handy,"Shanghai Handy Medical Equipment Co., Ltd.",Wholesale HDR,,,,2,Интраоральные рентгеновские датчики,"- Direct USB Helps to make it more convenient to use and carry, and offer faster transmission speed, lower power consumption, and longer service life. - FOP and low power consumption The built-in FOP and low power consumption design effectively prolong the sensor’s service life. As shown i...",https://www.handyimaging.com/uploads/Digital-Dental-Intraoral-Sensor-HDR-360460-1.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.handyimaging.com/digital-dental-x-ray-imaging-system-hdr-360460-product/
HANDY-DIGITAL-DENTAL-X-RAY-IMAGING-SYSTEM-HDR-500600-PRODUCT,Handy,"Shanghai Handy Medical Equipment Co., Ltd.",Wholesale HDR,,,,2,Интраоральные рентгеновские датчики,"- FOP The built-in FOP reduces X-ray radiation and effectively prolongs the sensor’s service life. As shown in the picture, the red X-rays from A are converted into yellow visible light after flashing, but there are still some red X-rays. After passing through FOP, there’s no red X-ray left....",https://www.handyimaging.com/uploads/1.-HDR-500.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.handyimaging.com/digital-dental-x-ray-imaging-system-hdr-500600-product/
HANDY-INTRAORAL-CAMERA-HDI-210-PRODUCT,Handy,"Shanghai Handy Medical Equipment Co., Ltd.",Wholesale High Quality Oral Endoscope HDI,,,,1,Интраоральные камеры,"- Double-side freeze button design The ergonomic design of the freeze button on both sides provides more comfort for the dentist. - High Definition The image quality of 720P, with distortion lower than 5%, can perfectly present cracked teeth. - Imaging sensors for industrial use ...",https://www.handyimaging.com/uploads/Intraoral-Camera-HDI-210-2.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.handyimaging.com/intraoral-camera-hdi-210-product/
HANDY-INTRAORAL-CAMERA-HDI-220C-PRODUCT,Handy,"Shanghai Handy Medical Equipment Co., Ltd.",Wholesale Intraoral Camera HDI,,,,1,Интраоральные камеры,"- HD The image quality of 1080P FHD, with distortion lower than 5%, can perfectly present cracked teeth. - Sturdy metal body The electroplated aluminum alloy shell is easy to clean and durable. As its hand feel is close to that of a dental handpiece, it is easier for doctors to operate. - Nat...",https://www.handyimaging.com/uploads/1.-HDI-220D-intraoral-camera.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.handyimaging.com/intraoral-camera-hdi-220c-product/
HANDY-INTRAORAL-CAMERA-HDI-200A-USB-2-0-100A-TV-PRODUCT,Handy,"Shanghai Handy Medical Equipment Co., Ltd.",Wholesale Intraoral Camera HDI,,,,2,Интраоральные камеры,"- CMOS medical-grade sensor CMOS medical-grade sensor guarantees images’ color saturation and fidelity. The obtained hyperspectral image can provide a continuous spectral curve and improve the accuracy of tooth color judgment. Therefore, the colorimetric results are more scientific and reas...",https://www.handyimaging.com/uploads/Intraoral-Camera-HDI-200A-USB-2.0-100A-TV-1.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.handyimaging.com/intraoral-camera-hdi-200a-usb-2-0-100a-tv-product/
HANDY-PORTABLE-HIGH-FREQUENCY-X-RAY-UNIT-HDX-7030-PRODUCT,Handy,"Shanghai Handy Medical Equipment Co., Ltd.",Wholesale Portable High,,,,1,Портативные рентген-аппараты,"User-friendly Design Radiation well-controlled, real-time monitor of radiation dose. Childproof lock, safety protection for children, prevents misuse. Power-on self-test, easy troubleshooting. Digital display, easy to operate. Advantages of 70kV 2mA Fast exposure time Increased X-ray penetration...",https://www.handyimaging.com/uploads/x光机.背面.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.handyimaging.com/portable-high-frequency-x-ray-unit-hdx-7030-product/
