officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
HUMANCHEMIE-24,Humanchemie,Humanchemie GmbH,(Wangen-) Hakenelektrode,24,24,,1,Эндодонтические принадлежности,(Wangen-) Hakenelektrode für Depotphorese®-Geräte Magis® oder Original II,https://www.humanchemie.de/shop/media/images/info/depotphorese-hakenelektrode.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/zubehoer/wangen-hakenelektrode
HUMANCHEMIE-41,Humanchemie,Humanchemie GmbH,(Wangen-) Klemmelektrode,41,41,,1,Эндодонтические принадлежности,(Wangen-) Klemmelektrode für Depotphorese®-Geräte Magis® oder Original II,https://www.humanchemie.de/shop/media/images/info/depotphorese-klemmelektrode.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/zubehoer/wangen-klemmelektrode
HUMANCHEMIE-22,Humanchemie,Humanchemie GmbH,(Wurzelkanal-) Nadelelektrode,22,22,,1,Эндодонтические принадлежности,(Wurzelkanal-) Nadelelektrode für Depotphorese®-Geräte Magis® oder Original II,https://www.humanchemie.de/shop/media/images/info/depotphorese-nadelelektrode.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/zubehoer/wurzelkanal-nadelelektrode
HUMANCHEMIE-1,Humanchemie,Humanchemie GmbH,Atacamit-Wurzelfüllzement,1,1,,1,Эндодонтические препараты,"Zur definitiven Abfüllung nach jeder Methode der Wurzelbehandlung, insbesondere nach Wurzelbehandlung mittels Depotphorese®. Auch zur Füllung von Wurzeln ohne Wurzel(kanal)spitze geeignet, sofern nicht überstopft wird.",https://www.humanchemie.de/shop/media/images/info/AWZ.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/praeparate/atacamit-wurzelfuellzement
HUMANCHEMIE-2,Humanchemie,Humanchemie GmbH,Calciumhydroxid-hochdispers 15 g Paste im Fläschen,2,2,,1,Эндодонтические препараты,"Zur direkten Pulpenüberkappung. Zur Wurzelbehandlung mit oder ohne Depotphorese®, auch von Milchzähnen. Auch als temporäre Zwischeneinlage. Zur Herstellung einer Calciumhydroxid-Milch zum Spülen von Wurzelkanälen.",https://www.humanchemie.de/shop/media/images/info/Calciumpaste.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/praeparate/calciumhydroxid-hochdispersbr15-g-paste-flaeschen
HUMANCHEMIE-79,Humanchemie,Humanchemie GmbH,"Calciumhydroxid-hochdispers Dosierspritze mit 1,7 g Paste und 5 Kanülen",79,79,,1,Эндодонтические препараты,"Zur direkten Pulpenüberkappung. Zur Wurzelbehandlung mit oder ohne Depotphorese®, auch von Milchzähnen. Auch als temporäre Zwischeneinlage.Zur Herstellung einer Calciumhydroxid-Milch zum Spülen von Wurzelkanälen.",https://www.humanchemie.de/shop/media/images/info/CalciumspritzekomplettHintergrund.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/praeparate/calciumhydroxid-hochdispersbrdosierspritze-1-8-g-paste-5-kanuelen1
HUMANCHEMIE-12,Humanchemie,Humanchemie GmbH,Cupral® 15 g Paste im Fläschchen,12,12,,1,Эндодонтические препараты,Zur Wurzelbehandlung mit oder ohne Depotphorese®. Auch als medikamentöse Zwischeneinlage. Zur indirekten Pulpenüberkappung. Zur augmentativen Behandlung von Parodontopathien.,https://www.humanchemie.de/shop/media/images/info/Cupral15g.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/praeparate/cupralbr-15-g-paste-flaeschchen
HUMANCHEMIE-14,Humanchemie,Humanchemie GmbH,Cupral® 5 g Paste im Fläschchen,14,14,,1,Эндодонтические препараты,Zur Wurzelbehandlung mit und ohne Depotphorese®. Auch als medikamentöse Zwischeneinlage. Zur indirekten Pulpenüberkappung. Zur augmentativen Behandlung von Parodontopathien.,https://www.humanchemie.de/shop/media/images/info/Cupral5gflascheundschachtel.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/praeparate/cupralbr-5-g-paste-flaeschchen
HUMANCHEMIE-80,Humanchemie,Humanchemie GmbH,"Cupral® Dosierspritze mit 1,7 g Paste und 5 Kanülen",80,80,,1,Эндодонтические препараты,Zur Wurzelbehandlung mit und ohne Depotphorese®. Auch als medikamentöse Zwischeneinlage. Zur indirekten Pulpenüberkappung. Zur augmentativen Behandlung von Parodontopathien.,https://www.humanchemie.de/shop/media/images/info/CupralspritzeschachteHintergrund.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/praeparate/cupralbr-dosierspritze-1-8-g-paste-5-kanuelen1
HUMANCHEMIE-70,Humanchemie,Humanchemie GmbH,Cupral® liquid,70,70,,1,Эндодонтические препараты,"Zur Wurzelbehandlung (Kanalspülung vor und nach der Aufbereitung) aller Zahntypen, insbesondere auch bei der Depotphorese-Behandlung. Zur Spülung von parodontalen Taschen und/oder zur Behandlung von gingivitis simplex.",https://www.humanchemie.de/shop/media/images/info/Cupralliquid.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/praeparate/cupral-liquid
HUMANCHEMIE-4,Humanchemie,Humanchemie GmbH,Dentin-Versiegelungsliquid Großsparpackung 2 x 20 ml,4,4,,1,Обработка полостей и культей,Zur Verhinderung von Sensibilitäten. Zur Sekundärkariesprophylaxe. Erübrigt bei Kunststofffüllungen eine Unterfüllung.,https://www.humanchemie.de/shop/media/images/info/Dentin.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/kavitaeten-stumpfversorgung/dentin-versiegelungsliquidbrgross-sparpackungbr2-x-20-ml
HUMANCHEMIE-5,Humanchemie,Humanchemie GmbH,Dentin-Versiegelungsliquid Probierpackung 2 x 5 ml,5,5,,1,Обработка полостей и культей,Zur Verhinderung von Sensibilitäten. Zur Sekundärkariesprophylaxe. Erübrigt bei Kunststofffüllungen eine Unterfüllung.,https://www.humanchemie.de/shop/media/images/info/Dentinklein.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/kavitaeten-stumpfversorgung/dentin-versiegelungsliquidbrprobierpackungbr2-x-5-ml
HUMANCHEMIE-36,Humanchemie,Humanchemie GmbH,Ersatzkanülen 100 Stück,36,36,,1,Эндодонтические препараты,für Cupral®- und Calciumhydroxid-hochdispers-Spritzen.,https://www.humanchemie.de/shop/media/images/info/ersatzkanuelen.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/praeparate/ersatzkanuelenbr100-stueck
HUMANCHEMIE-26,Humanchemie,Humanchemie GmbH,Galvanisches Stiftelement,26,26,,1,Эндодонтические аппараты,Zur langfristigen Wurzelbehandlung mittels Depotphorese® mit Cupral®,https://www.humanchemie.de/shop/media/images/info/galvanisches-stiftelement.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.humanchemie.de/shop/de/endodontie-depotphorese/geraete/galvanisches-stiftelement
