officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
IVOCLAR-IPS-E.MAX-GUARANTEE,Ivoclar,Ivoclar Vivadent AG,10-year IPS e.max guarantee,,,1,Ivoclar / metal-free-ceramics,https://www.ivoclar.com/cache-buster-5/GLOBAL%20-%20MEDIA/Products/Metal%20free%20ceramics/IPS%20e.max%20Press%20Lab/23245/image-thumb__23245__cms_teaser_1/IPS_e.max_Garantie_1920x1440px.b6686a05.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ivoclar.com/ru_ru/products/metal-free-ceramics/ips-e.max-guarantee
IVOCLAR-3D-PRINTING-MATERIALS,Ivoclar,Ivoclar Vivadent AG,3D printing materials,,,1,Ivoclar / digital-processes,https://www.ivoclar.com/cache-buster-2/GLOBAL%20-%20MEDIA/Products/Digital%20Processes/3D%20printing%20materials/113487/image-thumb__113487__cms_teaser_1/Print-bottles_7127-1_1920x1220px.5ce1e914.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ivoclar.com/ru_ru/products/digital-processes/3d-printing-materials
IVOCLAR-VACUUM-PUMP-VP3-EASY,Ivoclar,Ivoclar Vivadent AG,Вакуумный насос VP3 easy,,,1,Ivoclar / equipment,https://www.ivoclar.com/cache-buster-4/GLOBAL%20-%20MEDIA/Products/Equipment/Vacuum%20Pumps/Vacuum%20Pump%20VP3%20easy/15837/image-thumb__15837__cms_teaser_1/vacuum-Pump-VP3-easy_product.2d5dd8cd.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ivoclar.com/ru_ru/products/equipment/vacuum-pump-vp3-easy
IVOCLAR-VACUUM-PUMP-VP5,Ivoclar,Ivoclar Vivadent AG,Вакуумный насос VP5,,,1,Ivoclar / equipment,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.ivoclar.com/ru_ru/products/equipment/vacuum-pump-vp5
IVOCLAR-PROGRAMAT-PRESS-FURNACES,Ivoclar,Ivoclar Vivadent AG,Печи для прессования Programat,,,1,Ivoclar / equipment,https://www.ivoclar.com/cache-buster-3/GLOBAL%20-%20MEDIA/Products/Equipment/Programat%20Press%20furnaces/94580/image-thumb__94580__cms_teaser_1/Programat-G2_1920x1220px.b2912725.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ivoclar.com/ru_ru/products/equipment/programat-press-furnaces
IVOCLAR-BLUEPHASE-G4,Ivoclar,Ivoclar Vivadent AG,Bluephase G4,,,1,Ivoclar / equipment,https://www.ivoclar.com/cache-buster-1/GLOBAL%20-%20MEDIA/Products/Equipment/Bluephase%20G4/102248/image-thumb__102248__cms_teaser_1/Bluephase-G4_0010_1920x1220px.9f295a23.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ivoclar.com/ru_ru/products/equipment/bluephase-g4
IVOCLAR-BLUEPHASE-METER-II,Ivoclar,Ivoclar Vivadent AG,Bluephase Meter II,,,1,Ivoclar / equipment,https://www.ivoclar.com/cache-buster-2/GLOBAL%20-%20MEDIA/Products/Equipment/Bluephase%20Meter%20II/91778/image-thumb__91778__cms_teaser_1/Bluephase-Meter-II_1920x1220px.5144ed5a.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ivoclar.com/ru_ru/products/equipment/bluephase-meter-ii
IVOCLAR-BLUEPHASE-N-G4,Ivoclar,Ivoclar Vivadent AG,Bluephase N G4,,,1,Ivoclar / equipment,https://www.ivoclar.com/cache-buster-1/GLOBAL%20-%20MEDIA/Products/Equipment/Bluephase%20N%20G4/146417/image-thumb__146417__cms_teaser_1/Bluephase-N-G4_0001_1920x1220px.63a8c7a3.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ivoclar.com/ru_ru/products/equipment/bluephase-n-g4
IVOCLAR-BLUEPHASE-N-MC,Ivoclar,Ivoclar Vivadent AG,Bluephase N MC,,,1,Ivoclar / equipment,https://www.ivoclar.com/cache-buster-2/GLOBAL%20-%20MEDIA/Products/Equipment/Bluephase%20N%20MC/26948/image-thumb__26948__cms_teaser_1/Bluephase_N_Family_0015.2be6c94f.png,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ivoclar.com/ru_ru/products/equipment/bluephase-n-mc
IVOCLAR-BLUEPHASE-N-CURE,Ivoclar,Ivoclar Vivadent AG,Bluephase N-Cure,,,1,Ivoclar / equipment,https://www.ivoclar.com/cache-buster-1/GLOBAL%20-%20MEDIA/Products/Equipment/Bluephase%20N%20Cure/105036/image-thumb__105036__cms_teaser_1/Bluephase-N-Cure_0044_1920x1220px.c5cb5a9c.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.ivoclar.com/ru_ru/products/equipment/bluephase-n-cure
