officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
KULZER-DIMA-PRINT-GUIDE-AND-TRAY,Kulzer,Kulzer GmbH,3D dima Print Guide & Tray,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-guide-and-tray/dima-print-guide-tray-1000g-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-guide-and-tray.html
KULZER-3SHAPE-DENTAL-SYSTEM,Kulzer,Kulzer GmbH,3Shape Dental System,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/cara/cad-software/3shape-dental-system/3shape-dental-system-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/3shape-dental-system.html
KULZER-3SHAPE-LAB-SCANNERS,Kulzer,Kulzer GmbH,3Shape Lab Scanners,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/cara/model-scanners/3shape-laboratory-scanners-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/3shape-lab-scanners.html
KULZER-ABRASIVE-MATERIAL,Kulzer,Kulzer GmbH,Abrasive Material,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/abrasive-material-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/abrasive-material.html
KULZER-AISLAR,Kulzer,Kulzer GmbH,Aislar®,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/pala/aislar/aislar-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/aislar.html
KULZER-ALBABOND-A-FOR-CANDB,Kulzer,Kulzer GmbH,Albabond® A - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/albabond-a-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/albabond-a-for-candb.html
KULZER-ALBABOND-B-FOR-CANDB,Kulzer,Kulzer GmbH,Albabond® B - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/albabond-b-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/albabond-b-for-candb.html
KULZER-ALBASUN-FOR-CANDB,Kulzer,Kulzer GmbH,AlbaSun® - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/albasun-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/albasun-for-candb.html
KULZER-ALGINOPLAST,Kulzer,Kulzer GmbH,Alginoplast®,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/others/alginoplast/65602047-alginoplast-fastset-refill-01-nena-kulzer-packshot-150dpi-rgb-website-2020-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/alginoplast.html
KULZER-ANCHOR-SYSTEMS-AND-RETAINERS,Kulzer,Kulzer GmbH,Anchor Systems & Retainers,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/precision-attachements/anchor-system-instruments/anchor-systems-and-retainers-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/anchor-systems-and-retainers.html
KULZER-ARTIC,Kulzer,Kulzer GmbH,Artic,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/artic/artic-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/artic.html
KULZER-ARTIC-DIGITAL,Kulzer,Kulzer GmbH,Artic digital,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/artic/artic-digital---product-image-new-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/artic-digital.html
KULZER-AUREASUN-FOR-CANDB,Kulzer,Kulzer GmbH,AureaSun® - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/aureasun-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/aureasun-for-candb.html
KULZER-AUSTROMAT-624,Kulzer,Kulzer GmbH,Austromat 624,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/heraceram/heraceram-austromat-624-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/austromat-624.html
KULZER-AUSTROMAT-654-PRESS-I-DENT,Kulzer,Kulzer GmbH,Austromat 654 press-i-dent,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/heraceram/heraceram-austromat-654-pres-i-dent-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/austromat-654-press-i-dent.html
KULZER-BIO-CERAM-PLUS-FOR-CANDB,Kulzer,Kulzer GmbH,Bio Ceram Plus® - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bioceram-plus-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-ceram-plus-for-candb.html
KULZER-BIO-HERADOR-CN-FOR-CANDB,Kulzer,Kulzer GmbH,Bio Herador® CN - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bio-herador-cn-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-herador-cn-for-candb.html
KULZER-BIO-HERADOR-GG-FOR-CANDB,Kulzer,Kulzer GmbH,Bio Herador® GG - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bio-herador-gg-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-herador-gg-for-candb.html
KULZER-BIO-HERADOR-MP-FOR-CANDB,Kulzer,Kulzer GmbH,Bio Herador® MP - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bio-herador-mp-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-herador-mp-for-candb.html
KULZER-BIO-HERADOR-N-FOR-CANDB,Kulzer,Kulzer GmbH,Bio Herador® N - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bio-herador-n-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-herador-n-for-candb.html
KULZER-BIO-HERADOR-SG-FOR-CANDB,Kulzer,Kulzer GmbH,Bio Herador® SG - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bio-herador-sg-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-herador-sg-for-candb.html
KULZER-BIO-HERANORM-FOR-CANDB,Kulzer,Kulzer GmbH,Bio Heranorm® - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bio-heranorm-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-heranorm-for-candb.html
KULZER-BIO-MAINGOLD-I-FOR-CANDB,Kulzer,Kulzer GmbH,Bio Maingold® I - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bio-maingold-i-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-maingold-i-for-candb.html
KULZER-BIO-MAINGOLD-IT-FOR-CANDB,Kulzer,Kulzer GmbH,Bio Maingold® IT - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bio-maingold-it-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-maingold-it-for-candb.html
KULZER-BIO-MAINGOLD-SG-FOR-CANDB,Kulzer,Kulzer GmbH,Bio Maingold® SG - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bio-maingold-sg-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-maingold-sg-for-candb.html
KULZER-BIO-MAINGOLD-TK-FOR-CANDB,Kulzer,Kulzer GmbH,Bio Maingold® TK - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bio-maingold-tk-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-maingold-tk-for-candb.html
KULZER-BIO-SUPRACERAM-FOR-CANDB,Kulzer,Kulzer GmbH,Bio SupraCeram® - for C&B,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/dental-alloys-wires-solders/bio-supraceram-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/bio-supraceram-for-candb.html
KULZER-BLOCSET,Kulzer,Kulzer GmbH,Blocset®,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/work-preparation/further-materials-for-modelling/signum-blocset-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/blocset.html
KULZER-CARA-PRINT-4-0-PRO,Kulzer,Kulzer GmbH,cara® Print 4.0 pro,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/cara/cara-print-4-0-pro/3dp-3d-printing-cara-print-4-0-pro-right-kulzer-web-png-150dpi-rgb-1600-900-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/cara-print-4-0-pro.html
KULZER-CARA-PRINT-CAM-2-0,Kulzer,Kulzer GmbH,cara® Print CAM 2.0,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/indications-and-product-groups/3d-printing-software-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/cara-print-cam-2-0.html
KULZER-CARA-PRINT-CLEAN-PRO,Kulzer,Kulzer GmbH,cara® Print Clean pro,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/cara/cara-print-clean-pro/cara-print-clean-pro-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/cara-print-clean-pro.html
KULZER-CARA-PRINT-CLEANUP,Kulzer,Kulzer GmbH,cara® Print CleanUp,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/cara/cara-cube/cara-print-cleanup-front-1600-900-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/cara-print-cleanup.html
KULZER-CARA-PRINT-CUBE,Kulzer,Kulzer GmbH,cara® Print Cube,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/cara/cara-print-cleanup/cara-print-cube-close-1600-900-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/cara-print-cube.html
KULZER-CARA-PRINT-LEDCURE,Kulzer,Kulzer GmbH,cara® Print LEDcure,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/cara/cara-print-ledcure/cara-print-led-cure-with-long-life-leds-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/cara-print-ledcure.html
KULZER-CHARISMA,Kulzer,Kulzer GmbH,Charisma®,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/charisma/charisma-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/charisma.html
KULZER-CHARISMA-FLOW,Kulzer,Kulzer GmbH,Charisma® Flow,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/charisma/charisma-flow/charisma-flow-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/charisma-flow.html
KULZER-CONSUMABLES-FOR-CROWN-AND-BRIDGEWORK,Kulzer,Kulzer GmbH,Consumables for Crown- and Bridgework,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/hera/crown-and-bridgework/consumables-for-c-b-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/consumables-for-crown-and-bridgework.html
KULZER-DELARA,Kulzer,Kulzer GmbH,Delara®,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/pala/delara/delara-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/delara.html
KULZER-DIMA-PRINT-DENTURE-TEETH-2,Kulzer,Kulzer GmbH,dima Print denture Teeth 2,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-denture-teeth-2/dima-print-denture-teeth2-bottle-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-denture-teeth-2.html
KULZER-DIMA-PRINT-STONE-BEIGE-SMART,Kulzer,Kulzer GmbH,dima Print Stone beige Smart - printing material,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-stone-beige-smart/dima-print-stone-beige-smart-modell-png-1600-900-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-stone-beige-smart.html
KULZER-DIMA-PRINT-CANDB-TEMP,Kulzer,Kulzer GmbH,dima® Print C&B temp,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-candb-temp/dima-print-c-b-temp-posterior-bridges-keyvisual-presse-bilder-1600x900-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-candb-temp.html
KULZER-DIMA-PRINT-CAST-RUBY,Kulzer,Kulzer GmbH,dima® Print Cast ruby,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-cast-ruby/dima-print-cast-ruby-partial-dentures-master-tif-bilder-1600x900-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-cast-ruby.html
KULZER-DIMA-PRINT-DENTURE-BASE-2,Kulzer,Kulzer GmbH,dima® Print Denture Base 2,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-denture-base-2/dima-print-digital-denture-base2-kulzer-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-denture-base-2.html
KULZER-DIMA-PRINT-DIGITAL-DENTURE,Kulzer,Kulzer GmbH,dima® Print Digital Denture,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-digital-denture/dima-print-digital-denture-full-denture-laterally-presse-bilder-1600x900-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-digital-denture.html
KULZER-DIMA-PRINT-GINGIVA-MASK,Kulzer,Kulzer GmbH,dima® Print Gingiva Mask,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-gingiva-mask/dima-print-gingiva-mask-stone-beige-model-300x300-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-gingiva-mask.html
KULZER-DIMA-PRINT-MOUTH-GUARD,Kulzer,Kulzer GmbH,dima® Print Mouth Guard,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-mouth-guard/dima-print-mouth-guard-rwd-images-en-1600x900px-mouthguard-blue-white-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-mouth-guard.html
KULZER-DIMA-PRINT-SPLINT-CLEAR,Kulzer,Kulzer GmbH,dima® Print Splint clear,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-splint-clear/dima-print-splint-clear-model-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-splint-clear.html
KULZER-DIMA-PRINT-STONE-BEIGE,Kulzer,Kulzer GmbH,dima® Print Stone beige,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-stone-beige/dima-print-stone-beige-mirror-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-stone-beige.html
KULZER-DIMA-PRINT-STONE-GRAY,Kulzer,Kulzer GmbH,dima® Print Stone gray,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-stone-gray/dima-print-stone-gray-kulzer-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-stone-gray.html
KULZER-DIMA-PRINT-STONE-TEAL,Kulzer,Kulzer GmbH,dima® Print Stone teal,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-stone-teal/dima-print-stone-teal-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-stone-teal.html
KULZER-DIMA-PRINT-TEETH-AND-TEMP,Kulzer,Kulzer GmbH,dima® Print Teeth and Temp,,,1,Kulzer / Dental products,https://kulzer.com/media/global-images/products/dima/dima-print/dima-print-teeth-and-temp/devices-teethandtemp-aufweiss-image-1280w-720h.webp,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://kulzer.com/en/en/products/dima-print-teeth-and-temp.html
