brand,manufacturerEvidenceProducts,publicProducts,evidenceSources,classificationStatus,classificationReason,status
Винар,6,6,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
ВладМиВа,2398,1363,vladmiva-dental-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Гекса,3,3,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Дельтика,4,4,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
ЗАО Бинергия,25,25,binergia-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
КМИЗ,97,95,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Кормед,37,35,cormed-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Линтэкс,20,17,lintex-manufacturer-catalog.json | denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
МедиДез,49,49,medidez-kz-catalog.json | denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Целит,22,20,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Aes,1,1,aes-kz-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Ajax,63,58,ajax-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Alpha-Bio Tec,261,51,alpha-bio-kz-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Amazing White,25,25,amazing-white-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Anthos,51,40,anthos-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
AS-US,1,1,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Averon,811,811,averon-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
BEGO,1917,555,bego-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
BiLumix,25,25,bilumix-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
BIOLA,1,1,biola-kz-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Biomaterials Korea,27,27,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
BISCO,82,104,bisco-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
BlancOne,11,11,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Castellini,49,39,castellini-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
ChoiceTech,6,6,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
CICADA,52,59,cicada-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Clean+Safe,5,5,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Coral,7,7,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Cotisen,34,34,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
COXO,50,94,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Dental Air,1,1,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Dental Art,19,18,dental-art-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Dental X,39,27,dental-x-regional-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
DentKist,26,32,dentkist-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Dentsply Sirona,105,113,dentsply-sirona-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
DENU,46,45,denu-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
DIO,211,201,dio-manufacturer-catalog.json | denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Diplomat Dental,12,11,diplomat-dental-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Doctor Smile,17,17,doctor-smile-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
DOF,2,2,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Dräger,12,12,draeger-anesthesia-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Dürr Dental,84,78,durr-dental-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
EKOM,1,31,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
EMS,3,3,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
ESCO Medical,13,13,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Falcon,4307,4075,falcon-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Ferroplast,2,2,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
FOMOS,20,30,fomos-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Gapadent,11,11,gapadent-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
GC,154,166,gc-europe-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Genoray,9,9,genoray-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Good Doctors,41,40,good-doctors-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
GoodnDoc,19,14,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
GRT,0,0,,AMBIGUOUS_COMMERCIAL_LABEL_NO_VERIFIED_MANUFACTURER,"LIRA Medical Group uses GRT as a catalogue section/brand claim, but does not identify a legal manufacturer or publish an attributable SKU catalogue; search results for dental GRT do not establish that it is GDT Implants, so the names must not be merged.",MARKET_LABEL_CLASSIFIED_NO_CANONICAL_CATALOG
Handy,10,8,handy-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Humanchemie,30,28,humanchemie-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Hummer-Pak,0,1,,AMBIGUOUS_MARKET_LABEL_EXACT_KZ_CARD_PRESERVED,"The Kazakhstan listing identifies Hummer-Pak and article СКТ-5, but no attributable legal manufacturer or current official SKU catalogue could be verified. The exact observed card remains available for supplier-price matching and manual identity review; no additional cards are invented.",MARKET_LABEL_CLASSIFIED_NO_CANONICAL_CATALOG
Huons,2,2,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
IMD,70,79,imd-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Inci Dental,1,1,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Interdent,64,70,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
IQ Dent,203,184,iqdent-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Ivoclar,107,112,ivoclar-russia-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
JINY,4,4,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Johnson & Johnson,0,0,,STALE_SOURCE_LABEL_NOT_CURRENT_DENTAL_BRAND_FILTER,The current Denti.kz brand filter has no exact Johnson & Johnson entry. A conglomerate name without a current dental SKU source cannot generate a canonical dental catalogue.,MARKET_LABEL_CLASSIFIED_NO_CANONICAL_CATALOG
Kaeser,6,6,kaeser-dental-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
KaVo,80,74,kavo-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Kerr,31,34,kerr-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Kettenbach,10,15,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
KINGFA Medical,1,1,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
KO-MAX,4,4,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
KristiDent,16,16,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
