officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variants,variantCount,categoryPath,summary,description,imageUrls,imageCount,kzEvidence,status,sourcePageUrl
98,LaTus,Private Enterprise «Latus»,Latelux Pro 62 Professional system kit,2407,2407,Latelux Pro 62 User application=2407,1,Dental restorative materials,Universal nanohybrid light cure restorative composite. Use for all type of fine cosmetic restorations in dentistry.,"Universal microhybrid light cure restorative composite. Use for all type of fine cosmetic restorations in dentistry. Composition and main characteristic Latelux belongs to the group of nanohybrid composites hardening under the influence of light with a wavelength of 400-500 nm. The composite consists of a polymer matrix and an inorganic radiopaque modified filler. The basis of the polymer matrix is Bis-GMA, urethane dimethacrylate and other acrylic oligomers. Pasta Latelux has a high plasticity, good form stability, does not stick to the tool. The cured material has good polishability, is characterized by high strength with diametrical compression (55 MPa), microhardness (84 kg / mm2), low water absorption (7.4 μg / mm3). The material is radiopaque. Package: 50 g paste Latelux in 10 shades: А2, А3, А3.5, В1, В2, С2, ОА2, ОА3, ОВ3, In 1 shade condensable Latelux MS ОВ2 2 х 2,2 g Latelux flow (А2, ОА3) 2,2 g Reoliner-LC 3 g polishing paste Diapol-1.5 6 g bond Monotex 3 g glazing varnish Lateglint 2 x4 g etching gel Soft Etch 3 g dentin primer Saturol 25 applicating tips 20 brush tips tips holder 3 varnish brushes 100 matrix strips 20 black canulas polishing cup shades scale REF 2407 Latelux Pro 62 User application Picture instruction",https://www.latus.com.ua/components/com_jshopping/files/img_products/full_Pro_62__R5.jpg | https://www.latus.com.ua/components/com_jshopping/files/img_products/full_PRO_01_KOM.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.latus.com.ua/en/products/dental-restorative-materials/latelux-pro-62.html
216,LaTus,Private Enterprise «Latus»,Latelux Pro 50 Professional system kit,2406,2406,Latelux Pro 50 User application=2406,1,Dental restorative materials,Universal nanohybrid light cure restorative composite. Use for all type of fine cosmetic restorations in dentistry.,"Universal microhybrid light cure restorative composite. Use for all type of fine cosmetic restorations in dentistry. Composition and main characteristic Latelux belongs to the group of nanohybrid composites hardening under the influence of light with a wavelength of 400-500 nm. The composite consists of a polymer matrix and an inorganic radiopaque modified filler. The basis of the polymer matrix is Bis-GMA, urethane dimethacrylate and other acrylic oligomers. Pasta Latelux has a high plasticity, good form stability, does not stick to the tool. The cured material has good polishability, is characterized by high strength with diametrical compression (55 MPa), microhardness (84 kg / mm2), low water absorption (7.4 μg / mm3). The material is radiopaque. Package: 38 g paste Latelux in 10 shades: A2-6,0 g, A3-6,0 g, A3.5-3,0 g, B1-2,0 g, В2-4,0 g, C2-2,0 g, OA2-5,0 g, OA3-5,0 g, OB3-3,0 g, In-2,0 g 1 shade condensable Latelux MS OB2-5,0 g 2 х 2,2 g Latelux flow (А2, ОА3) 2,2 g liner Reoliner-LC 3 g polishing paste Diapol-1.5 6 g bond Monotex 3 g glazing varnish Lateglint 2 x 4 g etching gel Soft Etch 3 g dentin primer Saturol 25 applicating tips 20 brush tips tips holder 3 varnish brushes 100 matrix strips 20 black canulas polishing cup shades scale REF 2406 Latelux Pro 50 User application Picture instruction",https://www.latus.com.ua/components/com_jshopping/files/img_products/full_Pro_50_R5.jpg | https://www.latus.com.ua/components/com_jshopping/files/img_products/full_PRO_02_KOM.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.latus.com.ua/en/products/dental-restorative-materials/latelux-pro-50.html
97,LaTus,Private Enterprise «Latus»,Latelux System kit,1941,1941 | 1942 | 1943 | 1944,"Latelux / colour А2:А3:В1:ОА2:ОВ2=1941 | Latelux / colour А2:А3:В2:ОА2:ОВ2=1942 | Latelux / colour А2:А3:А3,5:В2:ОА2=1943 | Latelux / colour А1:А2:А3:В2:ОА2=1944",4,Dental restorative materials,Universal nanohybrid light cure restorative composite. Use for all type of fine cosmetic restorations in dentistry. Rediopaque.,"Universal microhybrid cure restorative composite. Use for all type of fine cosmetic restorations in dentistry. Rediopaque. Composition and main characteristic Latelux belongs to the group of nanohybrid composites hardening under the influence of light with a wavelength of 400-500 nm. The composite consists of a polymer matrix and an inorganic radiopaque modified filler. The basis of the polymer matrix is Bis-GMA, urethane dimethacrylate and other acrylic oligomers. Pasta Latelux has a high plasticity, good form stability, does not stick to the tool. The cured material has good polishability, is characterized by high strength with diametrical compression (55 MPa), microhardness (84 kg / mm2), low water absorption (7.4 μg / mm3). The material is radiopaque. Package: 25g paste Latelux 5g bond Monotex 8g etching gel 37% 20 applicators 5 canule REF 1941 Latelux / colour А2:А3:В1:ОА2:ОВ2/ REF 1942 Latelux / colour А2:А3:В2:ОА2:ОВ2/ REF 1943 Latelux / colour А2:А3:А3,5:В2:ОА2/ REF 1944 Latelux / colour А1:А2:А3:В2:ОА2/ Instruction for use Picture instruction",https://www.latus.com.ua/components/com_jshopping/files/img_products/full_ll_syst_big_box_new.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.latus.com.ua/en/products/dental-restorative-materials/latelux-syst.html
92,LaTus,Private Enterprise «Latus»,Latelux flow Additional package,2515,2515,REF 2515=2515,1,Dental restorative materials,"Nanohybrid flowable light cure restorative composite. Use for filling V class carious cavities, eliminating minor defects of enamel and cosmetic correction of dental restorations in therapeutic dentistry.","Microhybrid flowable light cure restorative composite Use for filling V class carious cavities, eliminating minor defects of enamel and cosmetic correction of dental restorations in therapeutic dentistry . Composition and main characteristic Latelux flow the medium-filled nanohybrid composite solidifies under the influence of light with a wavelength of 400-500 nm. High fluidity and optimal thixotropic properties of the material allow it to be applied directly from the syringe to the surface to be restored or into the cavity. Lowered modulus of elasticity and adhesion properties provide a high-quality edge fit. Radiopaque.",https://www.latus.com.ua/components/com_jshopping/files/img_products/full_thumb_ll_fpow_2_r31.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.latus.com.ua/en/products/dental-restorative-materials/latelux-flow-dop.html
1,LaTus,Private Enterprise «Latus»,Ionolat,2003,2003 | 2004 | 2005 | 2006,"Ionolat , colour А1=2003 | Ionolat , colour А2=2004 | Ionolat , colour А3=2005 | Ionolat , colour А3,5=2006",4,Dental restorative materials,Glass polyalkenate filling cement. Use for cavities I and II classes restorations of the second and baby teeth in dentistry.,"Glass polyalkenate filling cement. Use for cavities I and II classes restorations of the second and baby teeth in dentistry. Characteristic The cement powder is a fine-milled, chemically reactive fluorine-containing glass colored with inorganic pigments. A liquid for cement mixing is an aqueous solution of polyacrylic acid with additives of activity regulators. To clean the surfaces from contaminants and to provide adhesion, an air conditioner made on the basis of polyacrylic acid is used. The working time of cement is 1.5-2 minutes (at room temperature 18-23 ° C), the hardening time of the filling after placing the material in the tooth is 4-5 minutes. Prolonged release of fluoride ions provides a high anti-caries and antibacterial effect. Cement is radiopaque. Package: 20 g powder 15 g liquid 5 g conditioner 5 g of vamish coating measure spoon mixing pad REF 2003 Ionolat , colour А1 REF 2004 Ionolat , colour А2 REF 2005 Ionolat , colour А3 REF 2006 Ionolat , colour А3,5 Instruction for use",https://www.latus.com.ua/components/com_jshopping/files/img_products/full_ionolat_R1.jpg | https://www.latus.com.ua/components/com_jshopping/files/img_products/full_ionolat_R11.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.latus.com.ua/en/products/dental-restorative-materials/ionolat.html
93,LaTus,Private Enterprise «Latus»,Latelux flow System kit,2502,2501 | 2502,"Latelux flow / colour А2, А3, В2, U=2501 | Latelux flow / colour А2, А3, В2, ОА2=2502",2,Dental restorative materials,"Nanohybrid flowable light cure restorative composite. Use for filling V class carious cavities, eliminating minor defects of enamel and cosmetic correction of dental restorations in therapeutic dentistry.","Microhybrid flowable light cure restorative composite Use for filling V class carious cavities, eliminating minor defects of enamel and cosmetic correction of dental restorations in therapeutic dentistry . Composition and main characteristic Latelux flow belongs to the group of medium-filled nanohybrid composites hardening under the influence of light with a wavelength of 400-500 nm. High fluidity and optimal thixotropic properties of the material allow it to be applied directly from the syringe to the surface to be restored or into the cavity. The lowered modulus of elasticity in combination with the adhesive properties provides a high-quality edge fit. The material is radiopaque. Package: 4 х 2,2 g paste Latelux flow 3 g 37% etching gel 2 g bond Latebond-LC 3 transparent and 10 black canulas 10 microapplicators shades scale REF 2501 Latelux flow / colour А2, А3, В2, U/ REF 2502 Latelux flow / colour А2, А3, В2, ОА2/ Instruction for use",https://www.latus.com.ua/components/com_jshopping/files/img_products/full_ll_flow_syst_r2.jpg | https://www.latus.com.ua/components/com_jshopping/files/img_products/full_ll_flow_syst_r21.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.latus.com.ua/en/products/dental-restorative-materials/latelux-flow-syst.html
96,LaTus,Private Enterprise «Latus»,Latelux Additional package,1911,1911 | 1912 | 1913 | 1914 | 1915 | 1938 | 1916 | 1917 | 1918 | 1919 | 1920 | 1921 | 1922 | 1923 | 1924 | 1930 | 1931 | 1932 | 1933 | 1934 | 1935 | 1936 | 1937,"Latelux , colour А1=1911 | Latelux , colour А2=1912 | Latelux , colour А3=1913 | Latelux , colour А3,5=1914 | Latelux , colour А4=1915 | Latelux , colour W /for bleached teeth=1938 | Latelux , colour В1=1916 | Latelux , colour В2=1917 | Latelux , colour В3=1918 | Latelux , colour В4=1919 | Latelux , colour С2=1920 | Latelux , colour С3=1921 | Latelux , colour С4=1922 | Latelux , colour D2=1923 | Latelux , colour D3=1924 | Latelux , colour UD=1930 | Latelux , colour ОА2=1931 | Latelux , colour ОА3=1932 | Latelux , colour ОА3,5=1933 | Latelux , colour ОВ1=1934 | Latelux , colour ОВ2=1935 | Latelux , colour ОВ3=1936 | Latelux , colour In=1937",23,Dental restorative materials,Universal nanohybrid light cure restorative composite. Use for all type of fine cosmetic restorations in dentistry. Radiopaque.,"Universal microhybrid light cure restorative composite. Use for all type of fine cosmetic restorations in dentistry. Radiopaque. Composition and main characteristic Latelux nanohybrid composite, hardening under the influence of light with a wavelength of 400-500 nm. It consists of a polymer matrix and an inorganic radiopaque modified filler. The basis of the polymer matrix is Bis-GMA, urethane dimethacrylate and other acrylic oligomers. Has high plasticity, good form stability, does not stick to the tool. The cured material has good polishability, is characterized by high strength with diametrical compression (55 MPa), microhardness (84 kg / mm2), low water absorption (7.4 μg / mm3). Radiopaque. Package: 5 g paste Latelux in a syringe REF 1911 Latelux , colour А1 REF 1912 Latelux , colour А2 REF 1913 Latelux , colour А3 REF 1914 Latelux , colour А3,5 REF 1915 Latelux , colour А4 REF 1938 Latelux , colour W /for bleached teeth/ REF 1916 Latelux , colour В1 REF 1917 Latelux , colour В2 REF 1918 Latelux , colour В3 REF 1919 Latelux , colour В4 REF 1920 Latelux , colour С2 REF 1921 Latelux , colour С3 REF 1922 Latelux , colour С4 REF 1923 Latelux , colour D2 REF 1924 Latelux , colour D3 REF 1930 Latelux , colour UD REF 1931 Latelux , colour ОА2 REF 1932 Latelux , colour ОА3 REF 1933 Latelux , colour ОА3,5 REF 1934 Latelux , colour ОВ1 REF 1935 Latelux , colour ОВ2 REF 1936 Latelux , colour ОВ3 REF 1937 Latelux , colour In Instruction for use",https://www.latus.com.ua/components/com_jshopping/files/img_products/full_full_ll_dop_big_box_11.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.latus.com.ua/en/products/dental-restorative-materials/latelux-dop.html
89,LaTus,Private Enterprise «Latus»,THERAFIL-31 System kit,1701,1701 | 1702,THERAFIL-31 / colour А1:А2:А2:А3:А3.5=1701 | THERAFIL-31 / colour А1:А2:А3:А3:В2=1702,2,Dental restorative materials,"Light cure restorative composite. Use for filling of carious cavities of I and II class and the opaque layer of all cavities, restore the anatomical shape of the crown parts of teeth in therapeutic dentistry.","Light cure restorative composite Use for filling of carious cavities of I and II class and the opaque layer of all cavities, restore the anatomical shape of the crown parts of teeth i n therapeutic dentistry . Composition and main characteristic THERAFIL-31 highly filled microhybrid composite hardening by visible light with a wavelength of 400-500 nm. Depth of curing of THERAFIL-31 by expose of illumination lamp 75Wt during 40 seconds is 4-6 mm. Seals from THERAFIL-31 have low shrinkage stress, high hardness and durability, optimal transparency, good color stability. Package: 5 х 5 g paste in 4 colours 5 g bond 2 х 4 g 37 % etching gel 20 microapplicators 5 canulas REF 1701 THERAFIL-31 / colour А1:А2:А2:А3:А3.5/ REF 1702 THERAFIL-31 / colour А1:А2:А3:А3:В2/ Instruction for use Picture instructions",https://www.latus.com.ua/components/com_jshopping/files/img_products/full_therafil_31_syst_r2.jpg | https://www.latus.com.ua/components/com_jshopping/files/img_products/full_therafil_31_syst_r21.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.latus.com.ua/en/products/dental-restorative-materials/therafil-31-syst.html
84,LaTus,Private Enterprise «Latus»,THERAFIL-21,1401,1401 | 1402,"THERAFIL-21 , colour А2=1401 | THERAFIL-21 , colour А3=1402",2,Dental restorative materials,"Self cure hybrid composite. Use for filling of carious cavities of all classes, restore the anatomical shape of the crown parts of teeth in therapeutic dentistry.","Self cure hybrid composite Use for filling of carious cavities of all classes, restore the anatomical shape of the crown parts of teeth i n therapeutic dentistry Composition and main characteristic THERAFIL-21 is a highly filled microhybrid composite chemical curing, consisting from main and catalyst pastes and cured during of mixing this pastes. Working time of THERAFIL-21 mixed in a ratio of 1:1 by volume at temperature of +18...+23 °C is 2-4 minutes. The duration of curing of the seal at the oral cavity (+3...+32)°C is 1,5-2 minutes after being placed material in tooth. Seals from the THERAFIL 21 have low shrinkage stress, high hardness and durability, optimal clarity, color stability. Package: 2 х 15 g paste 2 х 3 g bond 2 х 2,8 g etching gel brushes canulas spatulas mixing pad. REF 1401 THERAFIL-21 , colour А2 REF 1402 THERAFIL-21 , colour А3 Instruction for use",https://www.latus.com.ua/components/com_jshopping/files/img_products/full_therafil21_syst.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.latus.com.ua/en/products/dental-restorative-materials/therafil21.html
94,LaTus,Private Enterprise «Latus»,LATELUX MS Additional package,1811,1815 | 1810 | 1811 | 1812 | 1816 | 1813 | 1814,"LATELUX MS , colour А2=1815 | LATELUX MS , colour А3=1810 | LATELUX MS , colour В2=1811 | LATELUX MS , colour ОА2=1812 | LATELUX MS , colour ОА3=1816 | LATELUX MS , colour ОА3,5=1813 | LATELUX MS , colour ОВ2=1814",7,Dental restorative materials,"Condensable light cure restorative composite. Use for filling cavities classes I and II by Black, capacity stump at microprosthetics, manufacturing tabs, creating lasting opaque layer in cosmetic restoration. Radiopaque.","Condensable light cure restorative composite Use for filling cavities classes I and II by Black, capacity stump at microprosthetics, manufacturing tabs, creating lasting opaque layer in cosmetic restoration. Radiopaque. Composition and main characteristic Microhybrid composite, curing when exposed to light with a wavelength of 400 - 500 nm. The curing depth at illumination with a 75 W lamp for 40 s is 3.5 - 6 mm. It is prepared using a low-shrinkage formulation of an oligoether acrylate binder and traditional fillers for the LATELUX family. Thanks to the special technology of mixing the components of the composite paste, a high volume content of fillers (68.8%) was obtained while maintaining a sufficient degree of plasticity of the paste, which allows qualitative condensation of the paste in the carious cavity. LATELUX MS has the minimum shrinkage (1.9 - 1.95% vol.), The highest microhardness (92 kg / mm2) and the strength at diametrical compression (59 MPa) among most other materials. The material has good transparency (except opaque shades), does not stick to the instrument. The mono-component dentine-enamel light-curing adhesive Monotex, which is included in the system kit, provides reliable adhesion to cushion cement, phosphoric acid etched enamel and dentine. In the latter case, a special primer for dentin is required. Radiopaque. Package: 5 g paste in a syringe REF 1815 LATELUX MS , colour А2 REF 1810 LATELUX MS , colour А3 REF 1811 LATELUX MS , colour В2 REF 1812 LATELUX MS , colour ОА2 REF 1816 LATELUX MS , colour ОА3 REF 1813 LATELUX MS , colour ОА3,5 REF 1814 LATELUX MS , colour ОВ2 Instruction for use",https://www.latus.com.ua/components/com_jshopping/files/img_products/full_ll_ms_dop_r2.jpg | https://www.latus.com.ua/components/com_jshopping/files/img_products/full_ll_ms_dop_r21.jpg,2,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.latus.com.ua/en/products/dental-restorative-materials/latelux-ms-dop.html
