officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl,referenceReviewNote
LM-DENTAL-12-HOLLENBACK,LM Dental,LM-Instruments Oy,1/2 Hollenback,741-751,741-751,1,LM Dental / handinstrumentation / restoration / contouring and sculpting / carvers,https://lm-dental.com/wp-content/uploads/2022/08/1-2-hollenback-lm-741-751-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/contouring-and-sculpting/carvers/12-hollenback/,
LM-DENTAL-AIRLED-HANDPIECE,LM Dental,LM-Instruments Oy,AirLED handpiece,15610261,15610261,1,LM Dental / ultrasonics and air polishing / ultrasonic and air polishing spare parts / handpieces,https://lm-dental.com/wp-content/uploads/2023/01/LM-ProPower-AirLED-handpiece.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/ultrasonics-and-air-polishing/ultrasonic-and-air-polishing-spare-parts/handpieces/airled-handpiece/,
LM-DENTAL-AP-2,LM Dental,LM-Instruments Oy,AP-2,,,1,LM Dental / uncategorized,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://lm-dental.com/products/uncategorized/ap-2/,
LM-DENTAL-ARCH-WIRE-TUCKER,LM Dental,LM-Instruments Oy,Arch Wire Tucker,412-413,412-413,1,LM Dental / handinstrumentation / orthodontics,https://lm-dental.com/wp-content/uploads/2022/08/arch-wire-tucker-lm-412-413-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/orthodontics/arch-wire-tucker/,
LM-DENTAL-BARNHART-5-6,LM Dental,LM-Instruments Oy,Barnhart 5-6,227-228,227-228,1,LM Dental / handinstrumentation / periodontics / universal curettes / others 3,https://lm-dental.com/wp-content/uploads/2023/09/Barnhart_5-6_227-228ES_Front-scaled.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/periodontics/universal-curettes/others-3/barnhart-5-6/,
LM-DENTAL-BASE-CARRIER-CONDENSER-MALLEABLE-TIP,LM Dental,LM-Instruments Oy,"Base Carrier – Condenser, malleable tip",30-34,30-34,1,LM Dental / handinstrumentation / restoration / cavity preparations and placing fillings / others,https://lm-dental.com/wp-content/uploads/2022/08/base-carrier-condenser-lm-30-34-es-2.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/cavity-preparations-and-placing-fillings/others/base-carrier-condenser-malleable-tip/,
LM-DENTAL-BASE-CARRIER-CONDENSER-RIGID,LM Dental,LM-Instruments Oy,"Base Carrier – Condenser, rigid",30H-34,30H-34,1,LM Dental / handinstrumentation / restoration / cavity preparations and placing fillings / others,https://lm-dental.com/wp-content/uploads/2022/08/base-carrier-rigid-lm-29h-30h-es-2.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/cavity-preparations-and-placing-fillings/others/base-carrier-condenser-rigid/,
LM-DENTAL-BASE-CARRIER-RIGID,LM Dental,LM-Instruments Oy,"Base Carrier, rigid",29H-30H,29H-30H,1,LM Dental / handinstrumentation / restoration / cavity preparations and placing fillings / others,https://lm-dental.com/wp-content/uploads/2022/08/base-carrier-rigid-lm-29h-30h-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/cavity-preparations-and-placing-fillings/others/base-carrier-rigid/,
LM-DENTAL-BURNISHER,LM Dental,LM-Instruments Oy,Burnisher,31-32,31-32,1,LM Dental / handinstrumentation / restoration / cavity preparations and placing fillings / pluggers and burnishers,https://lm-dental.com/wp-content/uploads/2022/08/burnisher-lm-31-32-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/cavity-preparations-and-placing-fillings/pluggers-and-burnishers/burnisher/,
LM-DENTAL-BURNISHER-PLUGGER,LM Dental,LM-Instruments Oy,Burnisher – Plugger,471-473,471-473,1,LM Dental / handinstrumentation / restoration / cavity preparations and placing fillings / pluggers and burnishers,https://lm-dental.com/wp-content/uploads/2022/08/burnisher-plugger-ball-ended-1-5-2-5-lm-471-473-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/cavity-preparations-and-placing-fillings/pluggers-and-burnishers/burnisher-plugger/,
