officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,packaging,shelfLife,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
MEDIDEZ-БАЛАДЕЗ-УЛЬТРА-КОНЦЕНТРАТ,МедиДез,ТОО «НПО МедиДез»,БАЛАДЕЗ®-УЛЬТРА концентрат,,,0,"полимерные флаконы, канистры вместимостью 1000, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 2 года.,Дезинфекция и стерилизация,Дезинфицирующее средство с моющим эффектом на основе стабилизированного пероксида водорода,https://static.tildacdn.pro/tild3266-3665-4634-b133-633761333962/image-070.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/baladez-ultra
MEDIDEZ-БАЛАДЕЗ-УЛЬТРА-ПЛЮС-КОНЦЕНТРАТ,МедиДез,ТОО «НПО МедиДез»,БАЛАДЕЗ®-УЛЬТРА ПЛЮС концентрат,,,0,"полимерные флаконы, канистры вместимостью 1000, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 2 года.,Дезинфекция и стерилизация,"Средства серии обладают бактерицидной, туберкулоцидной, вирулицидной, фунгицидной, ® «БАЛАДЕЗ » спороцидной активностью. Пероксид водорода обладает сильнейшим антимикробным действием на весь спектр микроорганизмов от бактерий до спор и после времени экспозиции распадается на кислород и воду, чем и обуславливается приоритет его применения в ЛПУ детского профиля.",https://static.tildacdn.pro/tild3161-6363-4363-a362-373133336564/image-073.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/baladez-ultra-plus-1
MEDIDEZ-МЕДИДЕЗ-ОПА-ГОТОВЫИ-РАСТВОР,МедиДез,ТОО «НПО МедиДез»,МЕДИДЕЗ-ОПА® готовый раствор,,,0,полимерные канистры вместимостью 5000 мл или тара другого объема по согласованию с заказчиком.,"в невскрытой упаковке производителя составляет 3 года, после вскрытия упаковки - 80 суток.",Дезинфекция и стерилизация,"Средство без запаха, обладает бактерицидной, вирулицидной, фунгицидной, туберкулоцидной, спороцидной активностью, короткой экспозицией. Средство совместимо с материалами высокотехнологичного медицинского оборудования, в том числе гибких и жестких эндоскопов и автоматических систем для обработки эндоскопов (МДМ), не вызывает коррозии металлов, не разрушает клеевые соединения, не вызывает помутнение оптики.",https://static.tildacdn.pro/tild6437-3066-4335-b035-306466656661/image-098.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/md-opa
MEDIDEZ-МЕДИДЕЗ-ХЛОР-БЫСТРОРАСТВОРИМЫЕ-ДЕЗИНФИЦИРУЮЩИЕ-ТАБЛЕТКИ-ГРАНУЛЫ-С-МОЮЩИМ-ЭФФЕКТОМ,МедиДез,ТОО «НПО МедиДез»,Медидез® Хлор БЫСТРОРАСТВОРИМЫЕ ДЕЗИНФИЦИРУЮЩИЕ ТАБЛЕТКИ/ГРАНУЛЫ С МОЮЩИМ ЭФФЕКТОМ,,,0,полимерная банка вместимостью 1 кг или тара другого объема по согласованию с заказчиком.,в невскрытой упаковке производителя составляет 7 лет.,Дезинфекция и стерилизация,Таблетки/гранулы дезинфицирующее,https://static.tildacdn.pro/tild3964-6436-4236-b334-306666616430/_.jpg,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/medidez-xlor
MEDIDEZ-МЕДИДЕЗ-ЭНЗО-FOAM,МедиДез,ТОО «НПО МедиДез»,МЕДИДЕЗ® ЭНЗО FOAM,,,0,"полимерные флаконы, канистры вместимостью 750 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 5 лет.,Дезинфекция и стерилизация,Средство дезинфицирующее с моющим эффектом,https://static.tildacdn.pro/tild3462-3865-4265-b661-313536346237/__Foam_1.jpg,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/foam
MEDIDEZ-МЕДИДЕЗ-НЕО-КОНЦЕНТРАТ,МедиДез,ТОО «НПО МедиДез»,МЕДИДЕЗ®-НЕО концентрат,,,0,"полимерные флаконы, канистры вместимостью 1000, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 5 лет.,Дезинфекция и стерилизация,"Дезинфицирующее средство с моющим и дезодорирующим эффектом на основе синергетической смеси органических кислот, изопропилового спирта и ЧАС",https://static.tildacdn.pro/tild3237-3937-4434-a131-616161626463/image-084.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/md-neo
MEDIDEZ-МЕДИДЕЗ-СОФТ,МедиДез,ТОО «НПО МедиДез»,МЕДИДЕЗ®-СОФТ,,,0,"полимерные флаконы, канистры, диспенсопаки вместимостью 1000, 5000 мл или тара другого объема по согласованию с заказчиком",в невскрытой упаковке производителя составляет 3 года,Дезинфекция и стерилизация,"В мыле «Sensis» содержание Тетранил-У не превышает максимально-допустимую концентрацию 0,6% (см. таб. 1, стр.7). Средство обладает бактерицидной и фунгицидной активностью.",https://static.tildacdn.pro/tild3864-6331-4132-b231-353337643035/image-042.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/md-soft
MEDIDEZ-МЕДИДЕЗ-ЭНЗО-КОНЦЕНТРАТ,МедиДез,ТОО «НПО МедиДез»,МЕДИДЕЗ®-ЭНЗО концентрат,,,0,"полимерные флаконы, канистры вместимостью 1000, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 2 года.,Дезинфекция и стерилизация,"Энзимное моющее средство обладает пятикратной протеолитической активностью и высокими моющими свойствами при низком пенообразовании. Средство не обладает коррозионной активностью, поэтому не повреждает изделия из металлов (нержавеющей и углеродистой стали), а также из пластмасс и каучука.",https://static.tildacdn.pro/tild3564-6139-4430-b066-623532303165/_.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/md-enzo
MEDIDEZ-МЕДИДЕЗ-ЭНЗО-ПЛЮС-КОНЦЕНТРАТ,МедиДез,ТОО «НПО МедиДез»,МЕДИДЕЗ®-ЭНЗО ПЛЮС концентрат,,,0,"полимерные флаконы, канистры вместимостью 1000, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 3 года.,Дезинфекция и стерилизация,"Дезинфицирующее средство с моющим эффектом наряду с пятикратной протеалитической активностью обладает антимикробной активностью и в целях ПСО может использоваться в течении рабочей смены. Средство малопенно и помимо ручной обработки может быть использовано в автоматических моющих машинах (репроцессорах) различных производителей. Средство не вызывает коррозии медицинских инструментов и других изделий, не фиксирует органические вещества, не обесцвечивает ткани",https://static.tildacdn.pro/tild6630-3638-4132-b038-363062613266/-_.jpg,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/md-enzo-plus
MEDIDEZ-МЕДИЛАКТ,МедиДез,ТОО «НПО МедиДез»,МЕДИЛАКТ®,,,0,"полимерные флаконы, канистры, диспенсопаки вместимостью 100, 200, 1000, 5000 мл или тара другого объема по согласованию с заказчиком.",в невскрытой упаковке производителя составляет 3 года.,Дезинфекция и стерилизация,"Средство обладает бактерицидной, туберкулоцидной, вирулицидной, фунгицидной активностью.",https://static.tildacdn.pro/tild3065-6536-4462-b936-623939613564/image-048.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/medilact1
MEDIDEZ-РУДОЦИД-ОКСИ-ГОТОВОЕ-СРЕДСТВО,МедиДез,ТОО «НПО МедиДез»,РУДОЦИД®-ОКСИ (готовое средство),,,0,"индивидуальная банка с герметичной откидной крышкой, 220 салфеток (не менее 155х200 мм). Страна производства: Казахстан.","в невскрытой упаковке производителя составляет 2 года. Упаковка: индивидуальная банка с герметичной откидной крышкой, 220 салфеток (не менее 155х200 мм). Страна производства: Казахстан.",Дезинфекция и стерилизация,Готовые к применению салфетки для очистки и дезинфекции,https://static.tildacdn.pro/tild3130-6462-4566-a637-623563373761/ChatGPT_Image_27__20.png,1,EXACT_KZ_MANUFACTURER_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://medidez.kz/rudocid-oxy
