officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
MEDIT-I900-MOBILITY,Medit,Medit Corp.,Medit i900 Mobility,i900 Mobility,i900 Mobility,1,Intraoral scanners,,https://www.medit.com/wp-content/uploads/2025/07/medit-i900m-with-ipad-bg_%EC%88%98%EC%A0%95_250730.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.medit.com/medit-i900-mobility/
MEDIT-I900-CLASSIC,Medit,Medit Corp.,Medit i900 classic,i900 classic,i900 classic,1,Intraoral scanners,,https://www.medit.com/wp-content/uploads/2025/03/i900c-side-2.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.medit.com/medit-i900-classic/
MEDIT-I900,Medit,Medit Corp.,Medit i900,i900,i900,1,Intraoral scanners,,https://www.medit.com/wp-content/uploads/2024/04/240312_MEDIT_i900_STUJDIO2526-1653x1080.png,1,EXACT_MODEL_LISTED_BY_DIO_IN_KAZAKHSTAN_MARKET_DIRECTORY,KZ_SKU_EVIDENCE_REQUIRED,https://www.medit.com/medit-i900/
MEDIT-I700-WIRELESS,Medit,Medit Corp.,Medit i700 wireless,i700 wireless,i700 wireless,1,Intraoral scanners,,https://www.medit.com/wp-content/uploads/2023/11/i700-wireless_front.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.medit.com/medit-i700-wireless/
MEDIT-I700,Medit,Medit Corp.,Medit i700,i700,i700,1,Intraoral scanners,,https://www.medit.com/wp-content/uploads/2024/02/i700_remote-control-864x640.png,1,EXACT_MODEL_LISTED_BY_DIO_IN_KAZAKHSTAN_MARKET_DIRECTORY,KZ_SKU_EVIDENCE_REQUIRED,https://www.medit.com/medit-i700/
MEDIT-I600,Medit,Medit Corp.,Medit i600,i600,i600,1,Intraoral scanners,,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.medit.com/medit-i600/
MEDIT-I500,Medit,Medit Corp.,Medit i500,i500,i500,1,Intraoral scanners,,https://www.medit.com/wp-content/uploads/2023/12/i500-banner-1.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.medit.com/medit-i500/
MEDIT-T710,Medit,Medit Corp.,Medit T710,T710,T710,1,Laboratory scanners,,https://www.medit.com/wp-content/uploads/2023/11/T710-I-Rebranding_2x.webp,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.medit.com/medit-t-series/
MEDIT-T510,Medit,Medit Corp.,Medit T510,T510,T510,1,Laboratory scanners,,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.medit.com/medit-t-series/
MEDIT-T310,Medit,Medit Corp.,Medit T310,T310,T310,1,Laboratory scanners,,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.medit.com/medit-t-series/
