officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
MERCURY-ND-A005690/1,Mercury,Mercury Dental Equipment,"Бинокуляры x3.5, x2.5",ND-A005690/1,ND-A005690/1,"Бинокуляры x3.5, x2.5",1,Микроскопы,"В комплекте: бинокуляр 2,5х/3,5х увеличитель 1,5х цветоизменяющие накладки 2 аккумулятора зарядная подставка зарядный адаптер Бинокулярный оптический комплекс выводит работу стоматолога на качественно новый уровень, обеспечивая максимальный обзор рабочей зоны. Основная задача прибора — обеспечение увеличенного чёткого изображения и возможности рассмотреть мельчайшие детали при проведении манипуляции. Важный критерий при выборе прибора — глубина резкости, показатель на данном оборудовании – 100мм. Модель обеспечивает хорошее изображение при изменении расстояния до объекта В начале использования линзы характерна некоторая дезориентация. Это может также происходить при переходе с низкого увеличения на более мощное. В таких случаях рекомендуется период адаптации в две-три недели. Если возникает головокружение, надевайте бинокуляр не более чем на 1 час и начните с простых процедур. Когда ваши глаза адаптируются к увеличенному полю и улучшится координация глаз и рук, постепенно увеличивайте время использования бинокуляра. Сферы применения бинокуляра: Диагностика Врач на приеме, благодаря бинокуляру, отмечает даже крошечные сколы, пятна, трещины зубной эмали, а также переломы в сегменте разделения корней, которые сложно различить невооруженным глазом Гигиена Оборудование помогает различить все особенности полости рта и мягких тканей, чтобы эффективно удалить зубной камень и пигментированный налет. Лечение кариеса Щадящее препарирование эмали, можно максимально точно определить границы пломбы и провести качественное препарирование кариозной полости. Реставрация Когда необходимо точно воссоздать форму и оттенок зуба, сформировать микро- и макрорельеф зуба, а следовательно, добиться идеального эстетического результата; Эндодонтия Облегчается процесс работы с корневыми каналами, стоматолог видит их устья, количество и структуру, способен заполнить каналы на полную длину. С оптикой, осуществляется более качественное лечение, что позволяет избежать в будущем таких проблем как кисты или гранулемы Имплантология Осуществляется максимально точное позиционирование имплантата в костной ткани на нужную высоту и под нужным углом, исключая возможность погрешностей. Протезирование Многократное увеличение позволяет рассмотреть мельчайшие детали и воссоздать максимально повторяющую свой зуб коронку с идеальным краевым прилеганием. Плюсы использования Быстрая и максимально точная диагностика. Кариес на начальной стадии, небольшие воспаления и повреждения десневой ткани сложно разглядеть при обычном осмотре. С помощью оптики врач проводит максимально точную диагностику, позволяющую выявить все скрытые аномалии и дефекты. Надежная клиническая терапия. Бинокуляры - стекла, которые визуализируют мельчайшие детали в операционном поле, расширяют его обзор, обеспечивают успешное использование щадящих методик в отношении твердых зубных тканей, высокий уровень услуг, идеальную обработку каналов и полостей, надежное пломбирование; Комфорт лечения. На приеме пациент чувствует себя спокойно и уверенно, врач находится на значительном расстоянии от зоны проводимого лечения. Удобство для врача. Правильно подобранная оптика снимает излишнюю нагрузку с шеи и спины врача, позволяя специалисту сосредоточиться на лечении. Изменяя параметры (углы схождения/наклон лупы, рабочее расстояние) стекло адаптируется к врачу, устройство помогает работать с удобством и избежать одной из профессиональных болезней – ухудшения зрения из-за постоянного напряжения Очистка и дезинфекция Бинокуляр - точный оптический инструмент, изготовленный из качественных компонентов. При должном уходе он прослужит долгое время. Соблюдайте следующие инструкции по очистке и дезинфекции, чтобы не допустить повреждений: не распыляйте жидкости на устройство; не подставляйте никакие детали устройства под воду и не погружайте в жидкости или в УЗ мойку; не используйте автоклавы, химические растворители, глутаральдегид и какие-либо другие методы стерилизации; не используйте средства с содержанием спирта выше 70%; не очищайте линзы бумажными полотенцами.",https://mercury-dent.pro/upload/iblock/0f2/64x8zc8o1bvghzedx61jeu82asgsew5v.jpg,14,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://mercury-dent.pro/catalog/mikroskopy/binokulyary-x3-5-x2-5/
MERCURY-RT-NKQD4,Mercury,Mercury Dental Equipment,Быстросъемный переходник для одноразового наконечника,RT-NKQD4,RT-NKQD4,Быстросъемный переходник для одноразового наконечника,1,Стоматологические наконечники,"Быстросъемный переходник для турбинных наконечников без регулировки подачи воды, 4-канальный. Функциональный и универсальный Переходник для турбинных наконечников поможет стать инструменту более мобильным. Он не нуждается в специальном уходе, его легко стерилизовать, и он очень прост в эксплуатации. Тип соединения М4 поможет подключить наконечник к большому количеству различных установок.",https://mercury-dent.pro/upload/iblock/6a2/f7n0lef8zn77fd8ds7ebmqu8nh26tk08.jpg,2,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://mercury-dent.pro/catalog/stomatologicheskie-nakonechniki/odnorazovye-nakonechniki/bystrosemnyy-perekhodnik-dlya-odnorazovogo-nakonechnika/
MERCURY-ND-A004435,Mercury,Mercury Dental Equipment,Внутриротовой пескоструйный аппарат Микробластер,ND-A004435,ND-A004435,Внутриротовой пескоструйный аппарат Микробластер,1,Стоматологические наконечники,"Оксид алюминия 27-50 микрон (в зависимости от манипуляций). Порошок и абразивы приобретаются отдельно! Портативный и мобильный Аппарат имеет тип соединения Midwest 4. Он может быстро и без вспомогательных элементов подключаться к установке и выдавать мощную и качественную работу. Само устройство занимает не много места и имеет малый вес, так что его удобно перевозить, а также от него не устает рука при долгом держании. Прочный Аппарат изготовлен из нержавеющей стали высокого класса, что делает его прочным и гарантирует продолжительный срок эксплуатации. Также он хорошо поддается автоклавированию. Сопло аппарата изготовлено из спеченного карбида. Благодаря этому срок службы и точность работы инструмента значительно увеличены. Эргономичный Удобное расположение емкости для песка позволяет быстро и качественно производить работу. Головка устройства без проблем поворачивается на 360°, благодаря чему процесс работы будет полным и качественным. Устройство отлично подходит также для обработки керамики и металла.",https://mercury-dent.pro/upload/iblock/1bd/3kj1tdls5hgovzleyq7yiwmc5cb6ynr3.jpg,2,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://mercury-dent.pro/catalog/stomatologicheskie-nakonechniki/peskostruynye-nakonechniki/vnutrirotovoy-peskostruynyy-apparat-microblaster/
MERCURY-ND-A004459,Mercury,Mercury Dental Equipment,Внутриротовой пескоструйный аппарат Микробластер 2,ND-A004459,ND-A004459,Внутриротовой пескоструйный аппарат Микробластер 2,1,Стоматологические наконечники,"Порошок и абразивы приобретаются отдельно! Мобильный пневматический инструмент, который легко подключить и удобно использовать для пескоструения непрямых реставраций и поверхностей с которыми необходим надежный бондинг. Использование пескоструя в стоматологической клинике и в зуботехнической лаборатории становится обязательным со всех точек зрения в большинстве клинических случаев. Сопло пескоструя изготавливается из спеченного карбида, что делает его более долговечным и как следствие, позволяет добиться более точной фокусировки струи песка на обрабатываемой поверхности. Сопло расположено под углом 138 градусов к телу пескоструя. Показания к применению В зависимости от желаемого результата и вида работ применяются различные фракции песка от 0 до 100 микрон. Самыми используемыми абразивами являются: оксид алюминия 50 микрон: создание микроретенционной поверхности на металле и неметаллических поверхностях оксид алюминия 90 микрон: удаление цемента и композита Подходит для использования на установках с разъемами Midwest (2 канала и 4 канала). Комплектация Пескоструйный аппарат Переходник к разъему Midwest",https://mercury-dent.pro/upload/iblock/616/3cnsikdv8gcjl3340hxi7j54d9vpqn6p.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://mercury-dent.pro/catalog/stomatologicheskie-nakonechniki/peskostruynye-nakonechniki/vnutrirotovoy-peskostruynyy-apparat-microblaster-2/
MERCURY-NDN-000146,Mercury,Mercury Dental Equipment,Внутриротовой пескоструйный аппарат Микробластер без распыления воды,NDN-000146,NDN-000146,Внутриротовой пескоструйный аппарат Микробластер без распыления воды,1,Стоматологические наконечники,"Оксид алюминия 27-50 микрон (в зависимости от манипуляций). Порошок и абразивы приобретаются отдельно! Портативный и мобильный Аппарат имеет тип соединения Midwest 4. Он может быстро и без вспомогательных элементов подключаться к установке и выдавать мощную и качественную работу. Само устройство занимает не много места и имеет малый вес, так что его удобно перевозить, а также от него не устает рука при долгом держании. Прочный Аппарат изготовлен из нержавеющей стали высокого класса, что делает его прочным и гарантирует продолжительный срок эксплуатации. Также он хорошо поддается автоклавированию. Сопло аппарата изготовлено из спеченного карбида. Благодаря этому срок службы и точность работы инструмента значительно увеличены. Эргономичный Удобное расположение емкости для песка позволяет быстро и качественно производить работу. Головка устройства без проблем поворачивается на 360°, благодаря чему процесс работы будет полным и качественным. Устройство отлично подходит также для обработки керамики и металла.",https://mercury-dent.pro/upload/iblock/f96/en1c4ts97yvsdpqr8mjz20e8ojapnthz.jpg,7,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://mercury-dent.pro/catalog/stomatologicheskie-nakonechniki/peskostruynye-nakonechniki/vnutrirotovoy-peskostruynyy-apparat-microblaster-bez-raspyleniya-vody/
MERCURY-ND-A004656,Mercury,Mercury Dental Equipment,Встраиваемый бесщеточный микромотор Mercury 200EM,ND-A004656,ND-A004656,200EM,1,Микромоторы,"Комплектация Мотор. Шланг. Плата управления. Провода для подключения. Бесщеточный мотор Микромотор без щеточно-коллекторного узла имеет ряд неоспоримые преимуществ перед своими щеточными собратьями. Из основных можно выделить — повышенная мощность вращения турбины, за счет чего увеличивается и эффективность наконечника, а также уменьшенные расходы на обслуживания. Бесщеточный мотор не нуждается в охлаждении и вентиляции, так что затраты на дополнительное обслуживание здесь значительно ниже. Система освещения В качестве дополнительных функций в микромотор Mercury STAR 200EM встроена система освещения, благодаря чему работа с наконечником станет намного точнее и эффективнее. При этом светильник белого цвета не требует много энергии и обладает мягким светом, не режущим глаз. Широкий функционал Микромотор способен достигать скорости до 40 000 оборотов в минуту. Столь высокая мощность позволит применять его в различных сферах стоматологии. В комплекте с устройством идут регулятор скорости и переключатель реверса, с которыми вы сможете точно настроить мотор под необходимые вам параметры. Это сделает работу более точной и уверенной.",https://mercury-dent.pro/upload/iblock/048/o51oxgr7zf5y1px37jjjr2y6dvpdlzpp.jpg,11,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://mercury-dent.pro/catalog/mikromotory/mercury-star-200em/
MERCURY-ND-A004658,Mercury,Mercury Dental Equipment,Встраиваемый бесщеточный микромотор Mercury 400EM,ND-A004658,ND-A004658,400EM,1,Микромоторы,,https://mercury-dent.pro/upload/iblock/f70/2krusq0uu72zkk6vwg6cw0giikae22i5.jpg,8,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://mercury-dent.pro/catalog/mikromotory/mercury-star-400em/
MERCURY-MERCURY-STAR-800EM,Mercury,Mercury Dental Equipment,Встраиваемый бесщеточный микромотор Mercury 800EM,,,800EM,1,Микромоторы,"Mercury STAR 800EM имеет скорость вращения от 2 000 до 40 000 оборотов в минуту, незаменимый помощник при лечении корневых каналов, подготовительной обработке, шлифовке и других видов работ. Фиброоптическое освещение сделает вашу работу комфортнее, быстрее и экономичнее за счет небольшого расхода энергии. Сенсорный блок управления-это не только удобно, но и стильно Бесщеточный микромотор-это увеличенная мощность, по сравнению с щеточным, увеличенная скорость вращения при бесшумной работе и долгом сроке эксплуатации. Простое управление с помощью переключателя воздуха на стоматологической установке. Возможна стерилизация мотора в автоклаве при 135°C",https://mercury-dent.pro/upload/iblock/cdf/yfrgq3i9jso0mej03wf9z70p3ounmtui.jpg,10,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,MANUFACTURER_REFERENCE_REQUIRED,https://mercury-dent.pro/catalog/mikromotory/mercury-star-800em/
MERCURY-NDN-001245/1,Mercury,Mercury Dental Equipment,Встраиваемый бесщеточный микромотор Mercury 800EM с сенсорным дисплеем,NDN-001245/1,NDN-001245/1,800EM с сенсорным дисплеем,1,Микромоторы,"Удобный сенсорный дисплей , на котором отображается вся необходимая информация. Он обеспечивает 5 передаточных чисел для разных углов наконечника, подходящих для различных манипуляций во время работы врача: 1:5; 1:4.2; 1:1; 16:1; 20:1. Возможность сохранения заданных параметров текущей программы . Каждое ваше сохранение соответствует кнопке на дисплее, всего можно сохранить 5 комбинаций необходимых вам настроек. Возможность регулировки скорости, яркости светодиода и регулировка направления вращения: прямой и реверс . Есть функция отключения подсветки , если она отвлекает вас или в ней нет необходимости в конкретный момент. Простой монтаж на стоматологическое кресло - небольшая печатная плата значительно упрощает установку.",https://mercury-dent.pro/upload/iblock/ab4/pynw1hjpossyjcatwu40tcaoiukoyoct.jpg,13,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://mercury-dent.pro/catalog/mikromotory/mercury-star-800em-s-sensornym-displeem/
MERCURY-ND-A002448,Mercury,Mercury Dental Equipment,Динамометрический ключ для имплантов Mercury,ND-A002448,ND-A002448,,1,Имплантология,"Динамометрический ключ Mercury - беспроводное устройство для фиксации абатмента на зубном импланте. В сочетании с угловым наконечником 20:1 развивает крутящий момент 10-50 Н·см и скорость 10-50 об/мин. Параметры скорости, момента и направление вращения регулируются отдельными кнопками. Функция калибровки позволяет избежать ошибок в работе.",https://mercury-dent.pro/upload/iblock/8cc/fxxfeoyt7ra2tkby6kd6pz07m23crfr4.jpg,11,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://mercury-dent.pro/catalog/implantologiya/dinamometricheskiy-klyuch-dlya-implantov-mercury/
