officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
MGF-PR-OF400-090-MT-HD,MGF,MGF S.r.l.,100/30 TANDEM PRIME M HD - 230V 50Hz,PR-OF400-090-MT-HD,PR-OF400-090-MT-HD,100/30 TANDEM PRIME M HD,1,Компрессоры PRIME HD для CAD/CAM,"Oil free compressor, 4 cylinders, air output 220 l/min@8 bar, 90 liter tank, new generation membrane dryer capable of supplying dried air down to -20°C dew point",https://www.mgfcompressors.com/fileadmin/_processed_/e/2/csm_100-30_TANDEM_PRIME_M__10__SCONTORNO_adf9c15f46.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/prime-versions-with-air-dryer/100-30-tandem-prime-m-hd.html
MGF-PR-OF400-090-MT3-HD,MGF,MGF S.r.l.,100/30 TANDEM PRIME M HD 400V - 400V 50Hz,PR-OF400-090-MT3-HD,PR-OF400-090-MT3-HD,100/30 TANDEM PRIME M HD 400V,1,Компрессоры PRIME HD для CAD/CAM,"Oil free compressor 3ph, 4 cylinders, air output 220 l/min@8 bar, 90 liter tank, new generation membrane dryer capable of supplying dried air down to -20°C dew point",https://www.mgfcompressors.com/fileadmin/_processed_/e/2/csm_100-30_TANDEM_PRIME_M__10__SCONTORNO_adf9c15f46.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/prime-versions-with-air-dryer/100-30-tandem-prime-m-10-bar-1-1.html
MGF-PR-OF400-090-T-HD,MGF,MGF S.r.l.,100/30 TANDEM PRIME S HD 10 BAR - 230V 50Hz,PR-OF400-090-T-HD,PR-OF400-090-T-HD,100/30 TANDEM PRIME S HD 10 BAR,1,Компрессоры PRIME HD для CAD/CAM,"Oil-free compressor, flow rate 250 l/min@8 bar, 90 l tank, without dryer.",https://www.mgfcompressors.com/fileadmin/_processed_/7/6/csm_100-30_PRIME_S-HD_ce4ad1eb22.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/prime-version-without-air-dryer/100-30-tandem-prime-s-10-bar-1-1.html
MGF-PR-OF400-090-T3-HD,MGF,MGF S.r.l.,100/30 TANDEM PRIME S HD 10 BAR - 400V 50/60Hz,PR-OF400-090-T3-HD,PR-OF400-090-T3-HD,100/30 TANDEM PRIME S HD 10 BAR,1,Компрессоры PRIME HD для CAD/CAM,"Oil-free compressor, flow rate 250 l/min@8 bar, 90 l tank, without dryer.",https://www.mgfcompressors.com/fileadmin/_processed_/7/6/csm_100-30_PRIME_S-HD_ce4ad1eb22.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/prime-version-without-air-dryer/100-30-tandem-prime-s-10-bar-2.html
MGF-PR-OF600-090-T3-AN,MGF,MGF S.r.l.,100/50 TANDEM PRIME E - 400V 50/60Hz,PR-OF600-090-T3-AN,PR-OF600-090-T3-AN,100/50 TANDEM PRIME E,1,Стоматологические компрессоры Pure Air,"Oil free compressors, 6 cylinders, FAD at 8 bar 304 l/min@5 bar, air receiver capacity 90 L, with adsorption air dryer able to achieve -40°C dew point",https://www.mgfcompressors.com/fileadmin/_processed_/e/d/csm_100-50-TANDEM-PRIME-E-HD_03616c2534.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/pure-air-dental-compressors-medical-compressors/prime-line/100-50-tandem-prime-e-2.html
MGF-PR-OF600-090-T3-AN,MGF,MGF S.r.l.,100/50 TANDEM PRIME E - 400V 50/60Hz,PR-OF600-090-T3-AN,PR-OF600-090-T3-AN,100/50 TANDEM PRIME E,1,Компрессоры PRIME HD для CAD/CAM,"Oil-free compressor, 6 cylinders, flow rate 304 l/min@8 bar, 90 l tank, with adsorption dryer",https://www.mgfcompressors.com/fileadmin/_processed_/e/d/csm_100-50-TANDEM-PRIME-E-HD_03616c2534.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/versions-with-adsorption-dryer/100-50-tandem-prime-e-1.html
MGF-PR-OF600-090-MT-HD,MGF,MGF S.r.l.,100/50 TANDEM PRIME M HD - 230V 50Hz,PR-OF600-090-MT-HD,PR-OF600-090-MT-HD,100/50 TANDEM PRIME M HD,1,Компрессоры PRIME HD для CAD/CAM,"Oil free compressor, 6 cylinders, air output 330 l/min@8 bar, 90 litre tank, new generation membrane dryer able to supply dried air down to -20°C dew point",https://www.mgfcompressors.com/fileadmin/_processed_/5/9/csm_100-50_TANDEM_PRIME_M_SCONTORNO_6c1a3af330.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/100-50-tandem-prime-m-10-bar-1-1.html
MGF-PR-OF600-090-MT-HD,MGF,MGF S.r.l.,100/50 TANDEM PRIME M HD - 230V 50Hz,PR-OF600-090-MT-HD,PR-OF600-090-MT-HD,100/50 TANDEM PRIME M HD,1,Компрессоры PRIME HD для CAD/CAM,"Oil free compressor, 6 cylinders, air output 330 l/min@8 bar, 90 litre tank, new generation membrane dryer able to supply dried air down to -20°C dew point",https://www.mgfcompressors.com/fileadmin/_processed_/5/9/csm_100-50_TANDEM_PRIME_M_SCONTORNO_6c1a3af330.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/prime-versions-with-air-dryer/100-50-tandem-prime-m-10-bar-1-1.html
MGF-PR-OF600-090-MT3-HD,MGF,MGF S.r.l.,100/50 TANDEM PRIME M HD 400V - 400V 50Hz,PR-OF600-090-MT3-HD,PR-OF600-090-MT3-HD,100/50 TANDEM PRIME M HD 400V,1,Компрессоры PRIME HD для CAD/CAM,"Three-phase oil free compressor, 6 cylinders, air output 330 l/min@8 bar, 90 liter tank, new generation membrane dryer capable of supplying dried air down to -20°C dew point",https://www.mgfcompressors.com/fileadmin/_processed_/5/9/csm_100-50_TANDEM_PRIME_M_SCONTORNO_6c1a3af330.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/100-50-tandem-prime-m-10-bar-1.html
MGF-PR-OF600-090-MT3-HD,MGF,MGF S.r.l.,100/50 TANDEM PRIME M HD 400V - 400V 50Hz,PR-OF600-090-MT3-HD,PR-OF600-090-MT3-HD,100/50 TANDEM PRIME M HD 400V,1,Компрессоры PRIME HD для CAD/CAM,"Three-phase oil free compressor, 6 cylinders, air output 330 l/min@8 bar, 90 liter tank, new generation membrane dryer capable of supplying dried air down to -20°C dew point",https://www.mgfcompressors.com/fileadmin/_processed_/5/9/csm_100-50_TANDEM_PRIME_M_SCONTORNO_6c1a3af330.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/prime-versions-with-air-dryer/100-50-tandem-prime-m-10-bar-1.html
