officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
MORITA-3D-ACCUITOMO-170,Morita,J. MORITA MFG. CORP.,3D Accuitomo 170,,,0,diagnostic and imaging equipment > cone beam ct systems,"The cone beam computed tomography unit provides precise imaging for detection of root structures, fractures, cysts, and for bone density measurement.","https://www.jmoritaeurope.de/cms/files/products_3D_Accuitomo_170_header.jpg?max_w=1400&crop=1400,280",1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.jmoritaeurope.de/en/products/diagnostic-and-imaging-equipment/cone-beam-ct-systems/3d-accuitomo-170/
MORITA-VERAVIEW-X800,Morita,J. MORITA MFG. CORP.,Veraview X800,,,0,diagnostic and imaging equipment > 2d  >  3d imaging veraview x800,"Outstanding image quality for panoramic and cephalometric images ensure a precise and reliable diagnosis, for treatment success in the dental practice.","https://www.jmoritaeurope.de/cms/files/products-Veraview-X800-headers.jpg?max_w=1400&crop=1400,280",1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.jmoritaeurope.de/en/products/diagnostic-and-imaging-equipment/2d-/-3d-imaging-veraview-x800/veraview-x800-1/
MORITA-VERAVIEWEPOCS-3D-R100,Morita,J. MORITA MFG. CORP.,Veraviewepocs 3D R100,,,0,diagnostic and imaging equipment > 2d  >  3d imaging veraviewepocs 3d r100,"Unique MORITA image quality in 3D and 2D for every dental practice, MORITA-exclusive Panoramic Scout function for reliable selection of target areas for 3D","https://www.jmoritaeurope.de/cms/files/JMMC_X700%252B_header.jpg?max_w=1400&crop=1400,280",1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.jmoritaeurope.de/en/products/diagnostic-and-imaging-equipment/2d-/-3d-imaging-veraviewepocs-3d-r100/veraviewepocs-3d-r100/
MORITA-I-DIXEL-SOFTWARE,Morita,J. MORITA MFG. CORP.,i-Dixel Software,,,0,diagnostic and imaging equipment > imaging software,Comprehensive image processing for X-ray images in dental / medical practice with many features from initial exposure to final diagnosis for a thorough examination.,"https://www.jmoritaeurope.de/cms/files/products_idixel_2_header.jpg?max_w=1400&crop=1400,280",1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.jmoritaeurope.de/en/products/diagnostic-and-imaging-equipment/imaging-software/i-dixel/
MORITA-I-DIXEL-WEB,Morita,J. MORITA MFG. CORP.,i-Dixel WEB,,,0,diagnostic and imaging equipment > imaging software,,"https://www.jmoritaeurope.de/cms/files/products_idixel_header.jpg?max_w=1400&crop=1400,280",1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.jmoritaeurope.de/en/products/diagnostic-and-imaging-equipment/imaging-software/i-dixel-web/
MORITA-EXOPLAN-FOR-MORITA,Morita,J. MORITA MFG. CORP.,Exoplan for MORITA,,,0,diagnostic and imaging equipment > imaging software,"Implant planning software developed by exocad, part of a comprehensive restoration solution with Dental CAD","https://www.jmoritaeurope.de/cms/files/headers-product-exoplan-v2.jpg?max_w=1400&crop=1400,280",1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.jmoritaeurope.de/en/products/diagnostic-and-imaging-equipment/imaging-software/exoplan-for-morita/
MORITA-VERAVIEWEPOCS-2D,Morita,J. MORITA MFG. CORP.,Veraviewepocs 2D,,,0,diagnostic and imaging equipment > 2d imaging,"High quality 2D dental images for an accurate diagnosis with whole range of functions, as for example orthoradial- panoramic projections","https://www.jmoritaeurope.de/cms/files/products_veraviewpocs-2D_header-v2.jpg?max_w=1400&crop=1400,280",1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.jmoritaeurope.de/en/products/diagnostic-and-imaging-equipment/2d-imaging/veraviewepocs-2d/
MORITA-VERAVIEW-IC5-HD,Morita,J. MORITA MFG. CORP.,Veraview IC5 HD,,,0,diagnostic and imaging equipment > 2d imaging,"Panoramic X-ray device for dental practice that will give you digital exposures with outstanding image clarity, contrast, resolution at high speed","https://www.jmoritaeurope.de/cms/files/products_veraview-ic5-hd_header-v3.jpg?max_w=1400&crop=1400,280",1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.jmoritaeurope.de/en/products/diagnostic-and-imaging-equipment/2d-imaging/veraview-ic5-hd/
MORITA-VERAVIEW-IX,Morita,J. MORITA MFG. CORP.,Veraview iX,,,0,diagnostic and imaging equipment > intraoral imaging,,"https://www.jmoritaeurope.de/cms/files/products_veraview-iX_header.jpg?max_w=1400&crop=1400,280",1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.jmoritaeurope.de/en/products/diagnostic-and-imaging-equipment/intraoral-imaging/veraview-ix/
MORITA-SIGNO-T500,Morita,J. MORITA MFG. CORP.,Signo T500,,,0,treatment units > conventional units,"The dental treatment unit offers maximum functionality, timeless design, high-end manufacturing quality, durability, reliability and value stability.","https://www.jmoritaeurope.de/cms/files/headers-product-signo-t500-red-dot.jpg?max_w=1400&crop=1400,280",1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.jmoritaeurope.de/en/products/treatment-units/conventional-units/signo-t500/
