officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
MYOBRACE-J1,Myobrace,Myofunctional Research Co.,Myobrace for Juniors J1,J1,J1,2,Myobrace for Juniors,Habit correction,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.myoresearch.com/storage/app/media/resources/Brochures-Catalogues/Myobrace_AC_0325_ENG_v6.0.0_Web.pdf#page=4
MYOBRACE-J2,Myobrace,Myofunctional Research Co.,Myobrace for Juniors J2,J2,J2,2,Myobrace for Juniors,Arch development,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.myoresearch.com/storage/app/media/resources/Brochures-Catalogues/Myobrace_AC_0325_ENG_v6.0.0_Web.pdf#page=4
MYOBRACE-J3,Myobrace,Myofunctional Research Co.,Myobrace for Juniors J3,J3,J3,2,Myobrace for Juniors,Jaw alignment and retention,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.myoresearch.com/storage/app/media/resources/Brochures-Catalogues/Myobrace_AC_0325_ENG_v6.0.0_Web.pdf#page=4
MYOBRACE-K0,Myobrace,Myofunctional Research Co.,Myobrace for Kids K0,K0,K0,0,Myobrace for Kids,Functional airway and initial habit correction,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.myoresearch.com/storage/app/media/resources/Brochures-Catalogues/Myobrace_AC_0325_ENG_v6.0.0_Web.pdf#page=5
MYOBRACE-K1,Myobrace,Myofunctional Research Co.,Myobrace for Kids K1,K1,K1,3,Myobrace for Kids,Habit correction,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.myoresearch.com/storage/app/media/resources/Brochures-Catalogues/Myobrace_AC_0325_ENG_v6.0.0_Web.pdf#page=5
MYOBRACE-K2,Myobrace,Myofunctional Research Co.,Myobrace for Kids K2,K2,K2,3,Myobrace for Kids,Arch development,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.myoresearch.com/storage/app/media/resources/Brochures-Catalogues/Myobrace_AC_0325_ENG_v6.0.0_Web.pdf#page=5
MYOBRACE-K3,Myobrace,Myofunctional Research Co.,Myobrace for Kids K3,K3,K3,3,Myobrace for Kids,Final alignment and retention,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.myoresearch.com/storage/app/media/resources/Brochures-Catalogues/Myobrace_AC_0325_ENG_v6.0.0_Web.pdf#page=5
MYOBRACE-T1,Myobrace,Myofunctional Research Co.,Myobrace for Teens T1,T1,T1,2,Myobrace for Teens,Habit correction,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.myoresearch.com/storage/app/media/resources/Brochures-Catalogues/Myobrace_AC_0325_ENG_v6.0.0_Web.pdf#page=6
MYOBRACE-T1BWS,Myobrace,Myofunctional Research Co.,Myobrace for Teens T1BWS,T1BWS,T1BWS,0,Myobrace for Teens,Habit correction with Farrell Bent Wire System,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.myoresearch.com/storage/app/media/resources/Brochures-Catalogues/Myobrace_AC_0325_ENG_v6.0.0_Web.pdf#page=6
MYOBRACE-T2,Myobrace,Myofunctional Research Co.,Myobrace for Teens T2,T2,T2,2,Myobrace for Teens,Arch development,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.myoresearch.com/storage/app/media/resources/Brochures-Catalogues/Myobrace_AC_0325_ENG_v6.0.0_Web.pdf#page=6
