officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,sourceModifiedAt,kzEvidence,status,sourcePageUrl
MYRAY-CU2,MyRay,Cefla S.C.,C-U2 HD,,,CU2,1,Интраоральная рентгенодиагностика,"The C-U2 HD portable intraoral cameras are an authentic miniature revolution to support dentistry. High definition, ease of use.",https://20004868.fs1.hubspotusercontent-eu1.net/hubfs/20004868/MYRAY/Images/cu2-connettore.jpg,1,2026-06-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.myray.it/en/intraoral-imaging/cu2
MYRAY-CEPHX,MyRay,Cefla S.C.,CephX,,,,1,Программное обеспечение для рентгенодиагностики,"With the CephX software you can carry out cephalometric studies, dental segmentation, and airway volume analysis. Find out more.",https://20004868.fs1.hubspotusercontent-eu1.net/hubfs/20004868/MYRAY/Images/hy-scan-header.jpg,1,2026-06-18,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.myray.it/en/radiology-software/cephx
MYRAY-DIVA,MyRay,Cefla S.C.,Di.V.A. Digital Virtual Assistant,,,,1,Программное обеспечение для рентгенодиагностики,Di.V.A. is the digital virtual assistant that allows professionals to monitor equipment to optimise its performance.,https://20004868.fs1.hubspotusercontent-eu1.net/hubfs/20004868/MYRAY/Images/myray-diva-header.png,1,2026-06-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.myray.it/en/radiology-software/diva
MYRAY-EXOCAD,MyRay,Cefla S.C.,exocad,,,,1,Программное обеспечение для рентгенодиагностики,"exocad is the ideal solution for implant planning, designed to provide dental laboratories, dentists, and surgeons with maximum flexibility.",https://20004868.fs1.hubspotusercontent-eu1.net/hubfs/20004868/MYRAY/Images/myray-exocad-header.jpg,1,2026-06-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.myray.it/en/radiology-software/exocad
MYRAY-HY-SCAN,MyRay,Cefla S.C.,Hy-Scan,,,HY SCAN,1,Интраоральная рентгенодиагностика,The Hy-Scan phosphor plate scanner acquires digital scans quickly and simply. Compact and ergonomic: discover all the features.,https://20004868.fs1.hubspotusercontent-eu1.net/hubfs/20004868/MYRAY/Images/hy-scan-header.jpg,1,2026-06-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.myray.it/en/intraoral-imaging/hy-scan
MYRAY-HYPERION-X5,MyRay,Cefla S.C.,Hyperion X5,,,HYPERION X5,1,Экстраоральная рентгенодиагностика,Hyperion X5 is the advanced imaging system with high diagnostic flexibility that provides high-quality 2D and 3D performance.,https://20004868.fs1.hubspotusercontent-eu1.net/hubfs/20004868/MYRAY/Images/x5-header2.jpg,1,2026-06-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.myray.it/en/extraoral-imaging/hyperion-x5
MYRAY-HYPERION-X9PRO,MyRay,Cefla S.C.,Hyperion X9 Pro,,,HYPERION X9PRO,1,Экстраоральная рентгенодиагностика,The Hyperion X9 Pro Extraoral Ceph panoramic is the best choice to manage the radiological diagnoses of the dental practice. The most compact 3-in-1.,https://20004868.fs1.hubspotusercontent-eu1.net/hubfs/20004868/MYRAY/Images/MR_X9proDC_360_985x945.jpg,1,2026-06-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.myray.it/en/extraoral-imaging/hyperion-x9pro
MYRAY-IRYS,MyRay,Cefla S.C.,iRYS,,,,1,Программное обеспечение для рентгенодиагностики,"iRYS is the dentistry software dedicated to diagnostics, capable of managing acquired data precisely and quickly. Discover the details.",https://20004868.fs1.hubspotusercontent-eu1.net/hubfs/20004868/MYRAY/Images/irys-casi2d-carpo.jpg,1,2026-06-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.myray.it/en/radiology-software/irys
MYRAY-MYSCAN-WL,MyRay,Cefla S.C.,MyScan WL,,,MYSCAN WL,1,Интраоральная рентгенодиагностика,MyScan WL is the wireless intraoral scanner with a battery that lasts all day: discover the features and technical specifications on the site.,https://20004868.fs1.hubspotusercontent-eu1.net/hubfs/20004868/MYRAY/Images/my-scan-wl-attenzione.jpg,1,2026-06-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.myray.it/en/intraoral-imaging/myscan-wl
MYRAY-MYSCAN-WR,MyRay,Cefla S.C.,MyScan WR,,,MYSCAN WR,1,Интраоральная рентгенодиагностика,MyScan WR is the intraoral scanner that simplifies the transition to digital: discover the features and technical specifications on the site.,https://20004868.fs1.hubspotusercontent-eu1.net/hubfs/20004868/MyScan_WR_sotto_cavo.jpg,1,2026-06-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.myray.it/en/intraoral-imaging/myscan-wr
