officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,imageUrls,imageCount,kzEvidence,status,sourcePageUrl
90,NIC,"Shenzhen Superline Technology Co., Ltd.",PLUGGER,,,1,endodontic > hand-used_files,1.0 Used for filling gutta percha points vertically in the apical area or curve canals 2.0 With a stopper to mark the working length 3.0 Autoclavable,https://www.nicdental.com/public/upload/image/20221213/3194ba7cc19d50761210317ad4e52d34.png | https://www.nicdental.com/public/upload/image/20221213/00101401ab4e5b8c94274518fc0f8d44.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202212/13/20221213102547_78674.jpg | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202409/27/20240927093538_10690.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202409/27/20240927093529_22446.png,5,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.nicdental.com/product/endodontic/hand-used_files/90.html
89,NIC,"Shenzhen Superline Technology Co., Ltd.",SPREADER,,,1,endodontic > hand-used_files,1.0 Used for filling gutta-percha points in medium or thin curve canals laterally 2.0 With stopper to mark the working length 3.0 Autoclavable,https://www.nicdental.com/public/upload/image/20221213/3de30c727b059e2c02b1eedca84a9df2.png | https://www.nicdental.com/public/upload/image/20221213/381cde7fe3d870e022e11d165a9409df.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202212/13/20221213150749_10156.jpg | https://www.nicdental.com/public/upload/image/20221213/3081c20cfbf3a12d77b76816c682194b.png | https://www.nicdental.com/public/upload/image/20221213/3f833907b38c939629a022fc48146b30.png | https://www.nicdental.com/public/upload/image/20221213/11e025b7df5e4ec49a9508319e6a16f0.png | https://www.nicdental.com/public/upload/image/20221213/1898b4f42fcc9dde689a902b24fa03c9.png | https://www.nicdental.com/public/upload/image/20221213/ff4c5caad7d7cd83d336659e1e65dd7c.png | https://www.nicdental.com/public/upload/image/20221213/98523c260f32f0404a0e8c1aa3566c23.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202409/27/20240927093440_91242.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202409/27/20240927093429_91185.png,11,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.nicdental.com/product/endodontic/hand-used_files/89.html
88,NIC,"Shenzhen Superline Technology Co., Ltd.",REAMER,,,1,endodontic > hand-used_files,1.0 For Screw Post,https://www.nicdental.com/public/upload/image/20221213/5b423eb577db06f7e3146688670e168c.png | https://www.nicdental.com/public/upload/image/20221213/cf9dc3c17ee224617c7ff16589f3c8ca.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202212/13/20221213152053_30905.jpg | https://www.nicdental.com/public/upload/image/20221213/e68399b67585f1deb54be1de98b4e590.png | https://www.nicdental.com/public/upload/image/20221213/b1d308d9d6e81b064390e9f7eb863d76.png | https://www.nicdental.com/public/upload/image/20221213/cae2a6a68f50c87179f3104fe93bee54.png | https://www.nicdental.com/public/upload/image/20221213/30d9942b4cda5701f3a1f98d085ea439.png | https://www.nicdental.com/public/upload/image/20221213/78cf99b9113626d349caa9f8c785d919.png | https://www.nicdental.com/public/upload/image/20221213/0f95313ad85ea2e2923d8e2a148ec227.png | https://www.nicdental.com/public/upload/image/20221213/7460461757be7835ec582bc28477a8ae.png | https://www.nicdental.com/public/upload/image/20221213/64e5a080970c4da0aee30d74e2fd204a.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202409/27/20240927093141_30704.png,12,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.nicdental.com/product/endodontic/hand-used_files/88.html
87,NIC,"Shenzhen Superline Technology Co., Ltd.",H FILE,,,1,endodontic > hand-used_files,1.0 Round cross-section 2.0 Effective dentin cutting 3.0 Avaible in Niti and Stainless material 4.0 Autoclavable,https://www.nicdental.com/public/upload/image/20221213/ed9f0d1e5d60023f0aad5ce34f5abfe9.png | https://www.nicdental.com/public/upload/image/20221213/8221af370e9c165aeba4c7d8115203d3.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202212/13/20221213152348_43057.jpg | https://www.nicdental.com/public/upload/image/20221213/958c799dd71d554b48fc7ad2dd96ddc7.png | https://www.nicdental.com/public/upload/image/20221213/4aafd16a5e45b710154e92ddae92fc43.png | https://www.nicdental.com/public/upload/image/20221213/8bf2224c0483fb01cbfedce021d696d6.png | https://www.nicdental.com/public/upload/image/20221213/2ba86710a1fa08e81fb1164c7329f726.png | https://www.nicdental.com/public/upload/image/20221213/2b2668421bd54f447ad1b7492260ed0e.png | https://www.nicdental.com/public/upload/image/20221213/ad06f2c504d98bdcad1749e4fe09d7b1.png | https://www.nicdental.com/public/upload/image/20221213/0e8d7f736f8a2ad2e1093696d3de9a9b.png | https://www.nicdental.com/public/upload/image/20221213/d50c78fab10fdce497484af8681f5831.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202409/27/20240927093651_85303.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202409/27/20240927093641_53642.png,13,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.nicdental.com/product/endodontic/hand-used_files/87.html
71,NIC,"Shenzhen Superline Technology Co., Ltd.",k-FILE,,,1,endodontic > hand-used_files,1.0 Square cross-section 2.0 Available in Niti and Stainless Steel material 3.0 Autoclavable,https://www.nicdental.com/public/upload/image/20221213/0e95fc4a05a4fbd26c86718f19731d92.png | https://www.nicdental.com/public/upload/image/20221213/1b1241c2aabd53bc315b60aee112c22d.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202212/13/20221213152829_76789.jpg | https://www.nicdental.com/public/upload/image/20221213/fae170e899cb9af150f5c9b82d8fe978.png | https://www.nicdental.com/public/upload/image/20221213/eb7f7c4119cd97d937cd1ead3d4fcac5.png | https://www.nicdental.com/public/upload/image/20221213/25597e1454afbff2c7138ebb8b130686.png | https://www.nicdental.com/public/upload/image/20221213/7a95ef1ac72d0c69f43b71d0f22283e3.png | https://www.nicdental.com/public/upload/image/20221213/ada45b4fa7ae23204a96ccc55528a13c.png | https://www.nicdental.com/public/upload/image/20221213/676979b52e9276c4c6ffaa9f93b928e4.png | https://www.nicdental.com/public/upload/image/20221213/58b92aee46e9f36cba9caaab8818d9a0.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202409/27/20240927093754_81734.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202409/27/20240927093733_83026.png,12,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.nicdental.com/product/endodontic/hand-used_files/71.html
50,NIC,"Shenzhen Superline Technology Co., Ltd.",C-FILE,,,1,endodontic > hand-used_files,"1.0 Specifically designed for narrow, calcified, and curved root canals. 2.0 Made of high-quality medical stainless steel, and with a heat-treated tip",https://www.nicdental.com/public/upload/image/20221213/b2267e8c704b6bc11e7365f53889d080.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202212/13/20221213153016_54387.jpg | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202409/27/20240927093841_94157.png,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.nicdental.com/product/endodontic/hand-used_files/50.html
175,NIC,"Shenzhen Superline Technology Co., Ltd.",Theta FILe,,,1,endodontic > engine-used_files,1. Maxtech 3.0 heat treated Niti files 2. Special instruments geometry for better debris removal 3. Respecting root canal anatomy,,0,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.nicdental.com/product/endodontic/engine-used_files/175.html
77,NIC,"Shenzhen Superline Technology Co., Ltd.",GF FIle,,,1,endodontic > engine-used_files,"1. Gradient flexibility is produced with patented technology, presenting different flexibility. 2. Progressive flexibility transition from the upper to the apical. 3. Depth marking area helps the file to be well centered in the root canal and effectively conduct axial force source. 4. Respect natural root canal anatomy, get accurate feedback from file tip with the true expression of root canal morphology. 5. Sequential shaping reduces the difficulty of preparing small and curved root canals. 6. One last standardized finishing file Z3 25/.06 for intent to taper confirmation and precise match to GP.",https://www.nicdental.com/public/upload/image/20221213/0796c946a4807c4cfc5698af556adaac.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202504/03/20250403173422_12785.jpg | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202409/24/20240924154327_31581.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.nicdental.com/product/endodontic/engine-used_files/77.html
121,NIC,"Shenzhen Superline Technology Co., Ltd.",U+ File,,,1,endodontic > engine-used_files,"1. MaxTech Niti alloy (1.0 3.0 6.0) 2. Suitable for regular canal preparation 3. Triangular cross-section and safe guiding tip 4. Variable taper, optimize file function 5. Continuous clockwise rotation Crown-Down Sequence: Create straight-line access to canal orifice (SX) Shape the coronal 2/3, confirm working length and smooth the root canal (S1, S2) Shape the apical 1/3 with finisher (F1, F2). If necessary, proceed to F3, F4, F5. SX→S1-→S2→F1/F2→F3/F4/F5",https://www.nicdental.com/public/upload/image/20230214/ccfb551999b44cb697e88f13b404e40b.png | https://www.nicdental.com/public/upload/image/20230214/938bb55c3d019df183dd0833f6e10219.png | https://www.nicdental.com/public/upload/image/20230214/7a36ba33b2a5b18db132194c5f0b1fb9.png | https://www.nicdental.com/public/upload/image/20230214/090ffb4d09457ee3a83886f0b2eaa154.png | https://www.nicdental.com/public/upload/image/20230214/7f9124a3fb932c29b6a998fe925286d5.png | https://www.nicdental.com/public/upload/image/20230214/82d81a1a9c4588e1f97b6852891bc2d9.png | https://www.nicdental.com/public/upload/image/20230214/bd8f76df4f8801b05b5dbe347015a482.png | https://www.nicdental.com/public/upload/image/20230214/624009444be3d4f3d3aab86df6ec67c0.png | https://www.nicdental.com/public/upload/image/20230214/58f0441a8b24b550d851ef6dc113ec2c.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202504/07/20250407090035_57377.jpg | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202504/09/20250409094547_27775.png,11,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.nicdental.com/product/endodontic/engine-used_files/121.html
82,NIC,"Shenzhen Superline Technology Co., Ltd.",U BLUE,,,1,endodontic > engine-used_files,"1. MaxTech Niti alloy (1.0 3.0 6.0) 2. Suitable for regular canal preparation 3. Triangular cross section and safe guiding tip 4. Variable taper, optimize file function 5. Continuous clockwise rotation",https://www.nicdental.com/public/upload/image/20230214/e3e75dee573fc1dbf37b7c08af72ff01.png | https://www.nicdental.com/public/upload/image/20230214/6ab49072a76b20805dc3043c013aa54d.png | https://www.nicdental.com/public/upload/image/20230214/16089f017bb23df67b735dab83d92db9.png | https://www.nicdental.com/public/upload/image/20230214/9d912b77733be9d9418d6920742fff5e.png | https://www.nicdental.com/public/upload/image/20230214/94e10c8d86af9f63492b40df148ed06e.png | https://www.nicdental.com/public/upload/image/20230214/d0b4e7d8b4597b252894805e243d2d2e.png | https://www.nicdental.com/public/upload/image/20230214/93bff7e494937f23bc441eb062837f06.png | https://www.nicdental.com/public/upload/image/20230214/2b758cd295a2f074b847dffc5537d6c6.png | https://www.nicdental.com/public/upload/image/20230214/1867f7f5f11145e5b251358217d876f2.png | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202504/07/20250407090548_11421.jpg | https://www.nicdental.com/public/admin/NKeditor/uploads/image/202504/09/20250409095421_96704.png,11,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.nicdental.com/product/endodontic/engine-used_files/82.html
