localId,brand,name,manufacturerRef,category,status,sourcePageUrl,sourceImageUrl,summary
171,Clean+Safe,"Микроаппликаторы Clean+Safe №2, Super Fine, коробка (белый, розовый)",,consumables,REFERENCE_REQUIRED,https://nordstom.kz/catalog/consumables/applicators/item-171,https://nordstom.kz/userfiles/item/171/fullimage1.jpg,"Микроаппликаторы стоматологические Clean+Safe предназначены для нанесения бондинговых систем, протравочных стоматологических гелей, жидкотекучих материалов. Экономичное и удобное внесение (аппликация) стоматологических материалов."
172,Clean+Safe,"Микроаппликаторы Clean+Safe №1, X-Slim, коробка (черный)",,consumables,REFERENCE_REQUIRED,https://nordstom.kz/catalog/consumables/applicators/item-172,https://nordstom.kz/userfiles/item/172/fullimage1.jpg,"Микроаппликаторы стоматологические Clean+Safe предназначены для нанесения бондинговых систем, протравочных стоматологических гелей, жидкотекучих материалов. Экономичное и удобное внесение (аппликация) стоматологических материалов."
173,Clean+Safe,"Микроаппликаторы Clean+Safe №3, Fine, коробка (желтый, голубой)",,consumables,REFERENCE_REQUIRED,https://nordstom.kz/catalog/consumables/applicators/item-173,https://nordstom.kz/userfiles/item/173/fullimage1.jpg,"Микроаппликаторы стоматологические Clean+Safe предназначены для нанесения бондинговых систем, протравочных стоматологических гелей, жидкотекучих материалов. Экономичное и удобное внесение (аппликация) стоматологических материалов."
174,Clean+Safe,"Микроаппликаторы Clean+Safe №4, Regular, коробка (зеленый, оранжевый)",,consumables,REFERENCE_REQUIRED,https://nordstom.kz/catalog/consumables/applicators/item-174,https://nordstom.kz/userfiles/item/174/fullimage1.jpg,"Микроаппликаторы стоматологические Clean+Safe предназначены для нанесения бондинговых систем, протравочных стоматологических гелей, жидкотекучих материалов. Экономичное и удобное внесение (аппликация) стоматологических материалов."
175,Clean+Safe,Валики ватные,,consumables,REFERENCE_REQUIRED,https://nordstom.kz/catalog/consumables/applicators/item-175,https://nordstom.kz/userfiles/item/175/fullimage1.jpg,"РАЗМЕР Ø8/37 мм, Ø10/37 мм"
207,Coral,Стоматологическая установка Дарта 1600/2000,,dental-equipment,MODEL_PRESENT_REFERENCE_REVIEW_REQUIRED,https://nordstom.kz/catalog/dental-equipment/dental-units/item-207,https://nordstom.kz/userfiles/item/207/fullimage1.jpg,Высоконадежная и прочная конструкция стоматологических установок DARTA обеспечивает долгий срок службы и долговечность Вашей установки при большом потоке пациентов.
208,Coral,Стоматологическая установка Дарта 1605/ 3000,,dental-equipment,MODEL_PRESENT_REFERENCE_REVIEW_REQUIRED,https://nordstom.kz/catalog/dental-equipment/dental-units/item-208,https://nordstom.kz/userfiles/item/208/fullimage1.jpg,Комплект оборудования для рабочего места врача-стоматолога Дарта 1605
209,Coral,Стоматологическая установка Дарта 1610/ 3500,,dental-equipment,MODEL_PRESENT_REFERENCE_REVIEW_REQUIRED,https://nordstom.kz/catalog/dental-equipment/dental-units/item-209,https://nordstom.kz/userfiles/item/209/fullimage1.jpg,"С точки зрения пациента - улучшенное движение спинки относительно сиденья без «эффекта раздевания», голова находится в одной плоскости с подголовником вне зависимости от положения установки. Минимальная нагрузка на поясничный отдел, что позволяет с лёгкостью переносить длительные часы приёма. Безупречная эргономика для врача-стоматолога при работе, в том числе на 12 часов за головой пациента. Кресло не требует крепления к полу. Непревзойдённый ресурс работы электромеханических приводов. Грузоподъёмность более 250 кг. Система безопасности при наезде на препятствие. Подголовник с двойной артикуляцией, движение по оси – 200 мм. Асептическая бесшовная итальянская эко-кожа. Подключение коммуникаций (вода, воздух, канализация, вакуумная магистраль) возможно как внутрь (основание) кресла, так и с помощью присоединительной коробки."
210,Coral,Стул стоматолога с анатомическим сиденьем «Дарта 1900»,,dental-equipment,MODEL_PRESENT_REFERENCE_REVIEW_REQUIRED,https://nordstom.kz/catalog/dental-equipment/dental-chairs-and-armchairs/item-210,https://nordstom.kz/userfiles/item/210/fullimage1.jpg,
211,Coral,Стул ассистента стоматолога с абдоминальным упором «Дарта 1950»,,dental-equipment,MODEL_PRESENT_REFERENCE_REVIEW_REQUIRED,https://nordstom.kz/catalog/dental-equipment/dental-chairs-and-armchairs/item-211,https://nordstom.kz/userfiles/item/211/fullimage1.jpg,
