officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
NSK-MOTORS-AIR,NSK,Nakanishi Inc.,Air Motors（歯科用マイクロモーター）,M1013,M1013 | M1007,2,NSK / clinical-micromotors,https://www.japan.nsk-dental.com/admin/wp-content/uploads/air_x205l.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.japan.nsk-dental.com/products/clinical-micromotors/motors-air/
NSK-TURBINES-COUPLINGS,NSK,Nakanishi Inc.,Couplings,P1001600,P1001600 | P1001601 | P1005600 | P1009600 | P434051 | P432051,6,NSK / turbines,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/turbines/turbines-couplings/
NSK-ENDO-ENDOMATE_TC2,NSK,Nakanishi Inc.,ENDO-MATE TC2（根管治療）,Y1001444,Y1001444 | Y1001445 | Y110044 | Y110096 | Y110046 | Y110098,6,NSK / endodontics,https://www.japan.nsk-dental.com/admin/wp-content/uploads/endo_mate_tc2_normal_set.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.japan.nsk-dental.com/products/endodontics/endo-endomate_tc2/
NSK-CONTRA-EX,NSK,Nakanishi Inc.,EX Series（コントラアングル）,C875,C875 | C032002 | C187 | C235 | C547 | C882 | C765001 | C100008 | C634 | C635 | C636,11,NSK / contra-angles,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/contra-angles/contra-ex/
NSK-CONTRA-FX,NSK,Nakanishi Inc.,FX Series（コントラアングル）,C1052002,C1052002 | C1056002 | C1053002 | C1054002 | C1055002 | H1014002,6,NSK / contra-angles,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/contra-angles/contra-fx/
NSK-HEADS,NSK,Nakanishi Inc.,Heads,,,1,NSK / heads,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/heads/
NSK-MAINTENACE-ICARE,NSK,Nakanishi Inc.,iCare,Y1002794,Y1002794 | Y1002795,2,NSK / hygiene_and_maintenance,https://www.japan.nsk-dental.com/admin/wp-content/uploads/iCare.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.japan.nsk-dental.com/products/hygiene_and_maintenance/maintenace-icare/
NSK-ICARE,NSK,Nakanishi Inc.,iCare,,,1,NSK / hygiene_and_maintenance,https://www.japan.nsk-dental.com/admin/wp-content/uploads/iCare.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.japan.nsk-dental.com/products/hygiene_and_maintenance/icare/
NSK-MAINTENACE-ICLAVE_MINI2,NSK,Nakanishi Inc.,iClave mini2,Y1500013,Y1500013,1,NSK / hygiene_and_maintenance,https://www.japan.nsk-dental.com/admin/wp-content/uploads/iClave2_set_1000x1000_jp_250121.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.japan.nsk-dental.com/products/hygiene_and_maintenance/maintenace-iclave_mini2/
NSK-ENDO-IPEX2,NSK,Nakanishi Inc.,iPex II（根幹治療）,Y1002210,Y1002210,1,NSK / endodontics,https://www.japan.nsk-dental.com/admin/wp-content/uploads/2019/05/ipex2.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.japan.nsk-dental.com/products/endodontics/endo-ipex2/
NSK-ORAL-IPROPHY,NSK,Nakanishi Inc.,iProphy（超音波スケーラー）,Y1002819,Y1002819 | Y1003438 | C1102 | Y110020 | Y110016,5,NSK / oral-hygiene,https://www.japan.nsk-dental.com/admin/wp-content/uploads/iprophy.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.japan.nsk-dental.com/products/oral-hygiene/oral-iprophy/
