officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
NTI-SET-2017,NTI,NTI-Kahla GmbH,"3D Acryl SLM, carbide cutters & Prime Cut SL discs",SET-2017,SET-2017,SET-2017,1,,,https://www.nti.de/userdata/dcshop/images/normal/772570_set-2017.png,20,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/3d-acryl-slm-carbide-cutters-prime-cut-sl-discs-p30888/
NTI-Z850-012TC-FG,NTI,NTI-Kahla GmbH,"ABACUS® Abacus, Round End Taper, Turbo",Z850-012TC-FG,Z850-012TC-FG | Z850-016TC-FG,Z850-012TC-FG,2,,,https://www.nti.de/userdata/dcshop/images/normal/419181_z850-012tc-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/abacus-abacus-round-end-taper-turbo-p9981/
NTI-Z811-033C-FG,NTI,NTI-Kahla GmbH,ABACUS® Barrel,Z811-033C-FG,Z811-033C-FG,Z811-033C-FG,1,,,https://www.nti.de/userdata/dcshop/images/normal/3498_z811-033c-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/abacus-barrel-p9970/
NTI-Z878-010F-FG,NTI,NTI-Kahla GmbH,ABACUS® Beveled End Cylinder,Z878-010F-FG,Z878-010F-FG | Z878-010M-FG | Z878-012C-FG | Z878-012F-FG | Z878-012M-FG | Z878-014C-FG | Z878-014F-FG | Z878-014M-FG,Z878-010F-FG,8,,,https://www.nti.de/userdata/dcshop/images/normal/3748_z878-010f-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/abacus-beveled-end-cylinder-p9990/
NTI-Z879-012C-FG,NTI,NTI-Kahla GmbH,ABACUS® Beveled End Cylinder,Z879-012C-FG,Z879-012C-FG | Z879-012F-FG | Z879-012M-FG | Z879-014C-FG | Z879-014F-FG | Z879-014M-FG,Z879-012C-FG,6,,,https://www.nti.de/userdata/dcshop/images/normal/3766_z879-012c-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/abacus-beveled-end-cylinder-p9992/
NTI-Z879-014TC-FG,NTI,NTI-Kahla GmbH,"ABACUS® Beveled End Cylinder, Turbo",Z879-014TC-FG,Z879-014TC-FG,Z879-014TC-FG,1,,,https://www.nti.de/userdata/dcshop/images/normal/3772_z879-014tc-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/abacus-beveled-end-cylinder-turbo-p9994/
NTI-Z877K-012C-FG,NTI,NTI-Kahla GmbH,ABACUS® Curettage,Z877K-012C-FG,Z877K-012C-FG | Z877K-016C-FG | Z877K-016F-FG,Z877K-012C-FG,3,,,https://www.nti.de/userdata/dcshop/images/normal/3745_z877k-012c-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/abacus-curettage-p9989/
NTI-Z878K-014C-FG,NTI,NTI-Kahla GmbH,ABACUS® Curettage,Z878K-014C-FG,Z878K-014C-FG | Z878K-014M-FG | Z878K-016C-FG | Z878K-016F-FG | Z878K-016M-FG | Z878K-018C-FG | Z878K-020C-FG | Z878K-022C-FG | Z878K-022F-FG,Z878K-014C-FG,9,,,https://www.nti.de/userdata/dcshop/images/normal/3756_z878k-014c-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/abacus-curettage-p9991/
NTI-Z879K-012C-FG,NTI,NTI-Kahla GmbH,ABACUS® Curettage,Z879K-012C-FG,Z879K-012C-FG | Z879K-012F-FG | Z879K-012M-FG | Z879K-014C-FG | Z879K-014F-FG | Z879K-014M-FG | Z879K-016C-FG | Z879K-016F-FG | Z879K-016M-FG | Z879K-018C-FG,Z879K-012C-FG,10,,,https://www.nti.de/userdata/dcshop/images/normal/443715_z879k-012c-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/abacus-curettage-p9993/
NTI-Z909-040C-FG,NTI,NTI-Kahla GmbH,ABACUS® Donut,Z909-040C-FG,Z909-040C-FG,Z909-040C-FG,1,,,https://www.nti.de/userdata/dcshop/images/normal/3789_z909-040c-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/abacus-donut-p9997/
