officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
OLIDENT-GUMKI-OLICOM,Olident,SanaPro Dental GmbH / Olident,Gumki OliCom,,,1,Боры и инструменты,"Gumki OliCom to innowacyjny system do ostatecznego formowania, polerowania i nabłyszczania wypełnień w jednym cyklu pracy.",http://olident.com/wp-content/uploads/2019/05/03-1.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://olident.com/wiertla-i-instrumenty/gumki-olicom/
OLIDENT-OLIACTIVATOR,Olident,SanaPro Dental GmbH / Olident,OliActivator,,,1,Адгезивные системы,"Aktywator systemu wiążącego OliBOND, zmieniający sposób wiązania systemu ze światłoutwardzalnego na podwójnie utwardzalny. Doskonale sprawdza się w kanale korzeniowym. Wystarczy do podstawowej wersji OliBOND dodać specjalny aktywator, który zapoczątkuje polimeryzację chemiczną. Taką mieszaninę OliBOND / OliActivator można stosować z materiałami chemo- i dualnie utwardzalnymi oraz w procedurach, gdzie użycie światła jest ogranicznone bądź niemożliwe.",http://olident.com/wp-content/uploads/2019/04/OliActivator.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://olident.com/systemy-wiazace/oliactivator/
OLIDENT-OLIART-NATURAL-INCISAL,Olident,SanaPro Dental GmbH / Olident,OliArt Natural Incisal,,,1,Композитные материалы,"OliArt Natural Incisal to wysoko estetyczny, światłoutwardzalny materiał kompozytowy do odbudowy krawędzi szkliwa, zapewniający trwały wysoki połysk dzięki technologii sferycznych wypełniaczy. OliArt Natural Incisal jest zalecany do odtwarzania przezierności w okolicy brzegów siecznych w większości przypadków. OliArt Natural Incisal wykazuje doskonałe właściwości fizyczne i dobre właściwości użytkowe. Możliwość polerowania na wysoki połysk wymaga jedynie niewielkiego […]",https://olident.com/wp-content/uploads/2026/06/OliArt_Incisal.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://olident.com/kompozyty/oliart-natural-incisal/
OLIDENT-OLIART-TRANS-OPAL,Olident,SanaPro Dental GmbH / Olident,OliArt Trans Opal,,,1,Композитные материалы,"OliArt Trans Opal światłoutwardzalny, nieprzepuszczalny dla promieni rentgenowskich, płynny kompozyt do wypełnień zębów przednich i z ograniczeniami zębów bocznych, o trwałym połysku i opalescencji przypominającej ząb. Oprócz niskiego skurczu i ścieralności OliArt Trans Opal wykazuje ulepszone właściwości mechaniczne. Wysoki połysk wymaga jedynie niewielkiego wysiłku. OliArt Trans Opal zawiera żywice na bazie dimetakrylanu i wypełniacze nieorganiczne […]",https://olident.com/wp-content/uploads/2022/09/OliArt_Trans_Opal.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://olident.com/kompozyty/oliart-trans-opal/
OLIDENT-OLIBOND,Olident,SanaPro Dental GmbH / Olident,OliBOND,,,1,Адгезивные системы,"Wielofunkcyjność i niezawodność połączona z wyważoną ceną to główne powody dlaczego OliBOND stał się jednym z najlepiej sprzedających się systemów wiążących na rynku! Dwa sposoby wiązania, o których decyzduje użytkownik zapewniają nieograniczony wachlarz zastosowań. samodzielnie OliBOND jest światłoutwardzalnym systemem łączącym typu Prime&Bond. Dzięki swoim wyjątkowym właściwościom hydrofilnym doskonale sprawdza się w technice ?wet-bonding? pozwalając monomerom […]",http://olident.com/wp-content/uploads/2019/04/OliBOND.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://olident.com/systemy-wiazace/olibond/
OLIDENT-OLIBRUSH-ESTHETIC,Olident,SanaPro Dental GmbH / Olident,OliBRUSH esthetic,,,1,Композитные материалы,"Zestaw pędzelków OliBRUSH esthetic to owoc współpracy z dr Karolem Babińskim. Praca kompozytami to nie tylko wypełnienie ubytku zęba, ale przede wszystkim tworzenie pięknej morfologii powierzchni. Idealny pędzelek powinien mieć optymalną sztywność, aby prowadzić kompozyt, a nie tylko go gładzić. Starannie dobrana szerokość i długość włosia także ma wpływ na ergonomię pracy podczas modelowania wypełnienia. […]",http://olident.com/wp-content/uploads/2021/06/PRODUCT_OliBRUSH-esthetic_product_small.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://olident.com/kompozyty/olibrush-esthetic/
OLIDENT-OLIBULK-FILL,Olident,SanaPro Dental GmbH / Olident,OliBULK Fill,,,1,Композитные материалы,"Światłoutwardzalny kompozyt do bezpośrednich wypełnień w stałych i mlecznych zębach bocznych techniką Bulk Fill. Szybki i wygodny podczas aplikacji i modelowania dzięki optymalnej relacji płynności do sprężystości. przeznaczony jest do jednoetapowej odbudowy z pominięciem techniki warstwowej. Specjalna matryca monomerowa sprawia, że materiał doskonale adaptuje się do ścian ubytku, nawet gdy występują podcienie niska kurczliwość niweluje […]",http://olident.com/wp-content/uploads/2019/04/OliBULK-Fill.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://olident.com/kompozyty/olibulk-fill/
OLIDENT-OLICEM-SE,Olident,SanaPro Dental GmbH / Olident,OliCem SE,,,1,Стоматологические цементы,"Samoadhezyjny podwójnie utwardzalny cement kompozytowy do koron, mostów, odbudów inlay i onlay oraz wkładów koronowo-korzeniowych. Nie wymaga żadnych dodatkowych materiałów, aby stworzyć mocne i trwałe połączenie miedzy odbudową, a szkliwem i zębiną. wachlarz możliwości zastosowań jest niemal nieograniczony, zarówno odbudowy cementowane na zębach naturalnych, jak i na łącznikach implantologicznych wyróżnia niezawodna i długotrwała adhezja na […]",http://olident.com/wp-content/uploads/2019/04/OliCem-SE.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://olident.com/cementy/olicem-se/
OLIDENT-OLICO-XP,Olident,SanaPro Dental GmbH / Olident,OliCo PRO,,,1,Композитные материалы,"OliCo PRO jest nieprzepuszczalnym dla promieni rentgenowskich kompozytem hybrydowym z mikrowypełniaczami o wysokiej wytrzymałości, doskonałej stabilności koloru, odporności na ścieranie i wysokim połysku. OliCo PRO jest oparty na żywicy BIS-GMA i cząsteczkach wypełniacza nieorganicznego o wielkości 0,05 – 0,7 μm. Całkowita zawartość wypełniacza: 75% (wag.) i 67% (obj.). Przepuszczalność dla promieni rentgenowskich OliCo PRO wynosi […]",https://olident.com/wp-content/uploads/2019/04/OliCo_Pro.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://olident.com/kompozyty/olico-xp/
OLIDENT-OLIETCH,Olident,SanaPro Dental GmbH / Olident,OliEtch,,,1,Адгезивные системы,"37% kwas fosforowy w wygodnej konsystencji żelu, który dzięki swoim właściwościom tixotropowym nie spływa z pola preparacji. Doskonale sprawdza się w technice selektywnego wytrawiania tkanek. Niebieski kolor wyraźnie kontrastuje z tkankami zęba, co pozwala zachować pełną kontrolę nad procedurą.",http://olident.com/wp-content/uploads/2019/04/OliEtch.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://olident.com/systemy-wiazace/olietch/
