officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
implantat-tsiii-sa,Osstem,"OSSTEM IMPLANT Co., Ltd.",Имплантат TSIII SA,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/implantaty-ts/implantat-tsiii-sa
implantat-tsiii-soi-1,Osstem,"OSSTEM IMPLANT Co., Ltd.",Имплантат TSIII SOI 1,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/implantaty-ts/implantat-tsiii-soi-1
implantat-etiii-nh,Osstem,"OSSTEM IMPLANT Co., Ltd.",Имплантат ETIII NH,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/implantaty-et/implantat-etiii-nh
implantat-ms-sa-tipa-denture,Osstem,"OSSTEM IMPLANT Co., Ltd.",Имплантат MS SA TIPA DENTURE,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/implantaty-ms/implantat-ms-sa-tipa-denture
implantat-ms-sa-tipa-narrow-ridge-1,Osstem,"OSSTEM IMPLANT Co., Ltd.",Имплантат MS SA TIPA NARROW RIDGE 1,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/implantaty-ms/implantat-ms-sa-tipa-narrow-ridge-1
abatment-convertible,Osstem,"OSSTEM IMPLANT Co., Ltd.",Абатмент CONVERTIBLE,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/abatment-convertible
abatment-freeform-st,Osstem,"OSSTEM IMPLANT Co., Ltd.",Абатмент FREEFORM ST,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/abatment-freeform-st
abatment-goldcast,Osstem,"OSSTEM IMPLANT Co., Ltd.",Абатмент GOLDCAST,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/abatment-goldcast
abatment-multi,Osstem,"OSSTEM IMPLANT Co., Ltd.",Абатмент MULTI,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/abatment-multi
abatment-np-cast,Osstem,"OSSTEM IMPLANT Co., Ltd.",Абатмент NP CAST,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/abatment-np-cast
abatment-rigid,Osstem,"OSSTEM IMPLANT Co., Ltd.",Абатмент RIGID,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/abatment-rigid
abatment-stud,Osstem,"OSSTEM IMPLANT Co., Ltd.",Абатмент STUD,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/abatment-stud
abatment-transfer,Osstem,"OSSTEM IMPLANT Co., Ltd.",Абатмент TRANSFER,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/abatment-transfer
vremennyj-abatment-plastikovyj,Osstem,"OSSTEM IMPLANT Co., Ltd.",Временный Абатмент пластиковый,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/vremennyj-abatment-plastikovyj
vremennyj-abatment-titanovyj,Osstem,"OSSTEM IMPLANT Co., Ltd.",Временный Абатмент титановый,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/vremennyj-abatment-titanovyj
uglovoj-abatment,Osstem,"OSSTEM IMPLANT Co., Ltd.",угловой Абатмент,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/uglovoj-abatment
uglovoj-abatment-multi,Osstem,"OSSTEM IMPLANT Co., Ltd.",угловой Абатмент MULTI,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/uglovoj-abatment-multi
uglovoj-abatment-port,Osstem,"OSSTEM IMPLANT Co., Ltd.",угловой Абатмент PORT,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/uglovoj-abatment-port
uglovoj-cirkonievyj-abatment-ziosera,Osstem,"OSSTEM IMPLANT Co., Ltd.",угловой Циркониевый Абатмент ZIOSERA,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/uglovoj-cirkonievyj-abatment-ziosera
cirkonievyj-abatment-ziosera,Osstem,"OSSTEM IMPLANT Co., Ltd.",Циркониевый Абатмент ZIOSERA,,,1,SISTEMA IMPLANTATOV,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/sistema-implantatov-/protetika/cirkonievyj-abatment-ziosera
ossbuilder,Osstem,"OSSTEM IMPLANT Co., Ltd.",OSSBUILDER,,,1,NKR 11,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/nkr-11/membrany/ossbuilder
membrana-ossguide,Osstem,"OSSTEM IMPLANT Co., Ltd.",Мембрана OSSGUIDE,,,1,NKR 11,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/nkr-11/membrany/membrana-ossguide
membrana-surederm,Osstem,"OSSTEM IMPLANT Co., Ltd.",Мембрана SUREDERM,,,1,NKR 11,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/nkr-11/membrany/membrana-surederm
sureoss,Osstem,"OSSTEM IMPLANT Co., Ltd.",SUREOSS,,,1,NKR 11,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/nkr-11/kostnyj-material/sureoss
the-graft,Osstem,"OSSTEM IMPLANT Co., Ltd.",THE GRAFT,,,1,NKR 11,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/nkr-11/kostnyj-material/the-graft
autobone-collector-1,Osstem,"OSSTEM IMPLANT Co., Ltd.",AUTOBONE COLLECTOR 1,,,1,NKR 11,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/nkr-11/autobone-collector/autobone-collector-1
stomatologicheskaya-ustanovka-k3,Osstem,"OSSTEM IMPLANT Co., Ltd.",Стоматологическая установка k3,,,1,OBORUDOVANIE,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/oborudovanie-/stomatologicheskaya-ustanovka-kz/stomatologicheskaya-ustanovka-k3
3d-rentgen-apparat-t1-1,Osstem,"OSSTEM IMPLANT Co., Ltd.",3d рентген аппарат t1 1,,,1,OBORUDOVANIE,,,0,EXACT_PRODUCT_FAMILY_ON_OSSTEM_KAZAKHSTAN_SITE,PHOTO_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://osstem.kz/oborudovanie-/3d-rentgen-apparat-t1/3d-rentgen-apparat-t1-1
