officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
OSUNG-62-PAS10,OSUNG MND,"OSUNG MND Co., Ltd.",Osung prosthesis and abutment separator implant crown separator -PAS10,62-PAS10,62-PAS10,1,,"The Osung Prosthesis & Abutment Separator is a professional implant prosthesis retrieval instrument designed to provide controlled, predictable, and damage-free separation of implant crowns and abutments. This advanced dental prosthetic separator helps clinicians safely remove implant restorations while preserving valuable prosthetic components. Ideal for implant prosthodontic procedures, this implant restoration removal tool eliminates unnecessary force and reduces the risk of damaging porcelain, ceramic, or implant components during crown and abutment separation. Watch the video: Your browser does not support our video. Key Components & Dimensions The Osung Prosthesis & Abutment Separator features a modular system engineered to accommodate multiple dental implant sizes for accurate and secure prosthesis removal. 8mm Insert Outer Diameter: Ø8mm Total Height: 11mm Lip Height: 4mm 6mm Insert Outer Diameter: Ø6mm Internal Height: 8mm Lower Stem Height: 6mm This versatile dental abutment separator system allows clinicians to manage various implant restoration configurations efficiently. How the Prosthesis & Abutment Separator Works The separator operates using a precision mechanical screw-press system that delivers controlled vertical force for safe implant prosthesis retrieval. 1. Selection The clinician selects the appropriate insert (6mm,8mm) and places it into the base of the separator frame to match the implant abutment size. the separator can be used without an insert for the diameter of 10mm. 2. Alignment The crown-abutment assembly is carefully seated into the insert for optimal stabilization. 3. Separation As the ergonomic T-handle is rotated, a precision-guided plunger descends through the center of the implant crown. 4. Controlled Removal The plunger applies steady vertical pressure directly to the abutment screw or post while the frame securely stabilizes the crown. This process cleanly separates the abutment from the internal housing of the prosthesis without excessive force. Clinical Benefits Preservation of Prosthetic Components Unlike traditional manual techniques, this dental implant crown removal tool eliminates prying or uncontrolled force that may fracture porcelain or ceramic restorations. Improved Efficiency The prosthesis separator simplifies difficult implant restoration removal procedures, especially when friction-fit crowns and abutments are tightly connected. Precision & Safety The guided plunger mechanism ensures force is applied precisely along the long axis of the implant restoration, minimizing lateral stress and protecting both the prosthesis and implant components. Reliable Implant Prosthesis Retrieval Designed for modern implant dentistry, the Osung Prosthesis & Abutment Separator provides clinicians with a dependable solution for implant crown separation, prosthetic component retrieval, and restorative implant maintenance. Whether performing routine implant maintenance or managing complex restorative cases, this professional dental implant separator helps save clinical time while protecting costly implant prosthetic components.",https://cdn.shopify.com/s/files/1/0300/3065/9677/files/x1.jpg?v=1780000311,7,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://osungusa.com/products/osung-prosthesis-and-abutment-separator-implant-crown-separator
OSUNG-554SD-TAR-02,OSUNG MND,"OSUNG MND Co., Ltd.","Dental Impression Tray, Partial, Aluminum, TARP2",554SD-TAR-02,554SD-TAR-02,1,Dental Instruments > Impression Tray > Prosthodontic,"Dental Impression Tray, Partial, Aluminum, TARP2 Impression Tray, Partial, Aluminum, P2. PARTIAL SIZE-UPPER JAW RIGHT and LOWER JAW LEFT Impression Tray. Being made of Aluminum, they can be bent, shaped and cut for a special case. Product Code: D-TAR-02",https://cdn.shopify.com/s/files/1/0300/3065/9677/files/Untitled-160_81d62a75-6bc8-4c4d-9e1b-a0c016d21a6c.jpg?v=1716313659,4,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://osungusa.com/products/dental-impression-tray-partial-aluminum-tarp2
OSUNG-1373-2CSAT15,OSUNG MND,"OSUNG MND Co., Ltd.","Dental Composite Instrument, Silicone handle, 2CSAT15",1373-2CSAT15,1373-2CSAT15,1,,"Composite Instrument, Silicone handle, 2CSAT15 Dia: 0.5mm / 0.3mm Double ended Silicone Handle",https://cdn.shopify.com/s/files/1/0300/3065/9677/files/1asasas.jpg?v=1768775915,3,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://osungusa.com/products/composite-instrument-silicone-handle-2csat15
OSUNG-1484-DME6G,OSUNG MND,"OSUNG MND Co., Ltd.",Extra Large Occlusal Dental Photo Mirror Glass Osung -DME6G,1484-DME6G,1484-DME6G,1,Dental Instruments,"Extra Large Occlusal Dental Photo Mirror Glass -DME6G X-Large (Adult Size) Occlusal German Glass Elevate your dental practice with the Osung, providing reliability and precision for optimal outcomes. Trust Osung for dental instruments that meet the highest standards of quality and performance",https://cdn.shopify.com/s/files/1/0300/3065/9677/files/dme6g-x1.jpg?v=1731978220,3,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://osungusa.com/products/extra-large-occlusal-dental-photo-mirror-glass-osung-dme6g
OSUNG-1483-DME5G,OSUNG MND,"OSUNG MND Co., Ltd.",small Pedo Dental Intra Oral Photo Mirror Glass Osung -DME5G,1483-DME5G,1483-DME5G,1,Dental Instruments,"small Pedo Dental Intra Oral Photo Mirror Glass -DME5G Small (Pedo Size) Occlusal German Glass Elevate your dental practice with the Osung, providing reliability and precision for optimal outcomes. Trust Osung for dental instruments that meet the highest standards of quality and performance",https://cdn.shopify.com/s/files/1/0300/3065/9677/files/dme5x1.jpg?v=1731978297,3,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://osungusa.com/products/small-pedo-dental-intra-oral-photo-mirror-glass-osung-dme5g
OSUNG-1482-DME4G,OSUNG MND,"OSUNG MND Co., Ltd.",Lingual Dental Photo Mirror Glass Premium Osung -DME4G,1482-DME4G,1482-DME4G,1,Dental Instruments,"Lingual Dental Photo Mirror Glass Premium -DME4G Lingual German Glass Elevate your dental practice with the Osung, providing reliability and precision for optimal outcomes. Trust Osung for dental instruments that meet the highest standards of quality and performance",https://cdn.shopify.com/s/files/1/0300/3065/9677/files/dme4x1.jpg?v=1731978521,3,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://osungusa.com/products/lingual-dental-photo-mirror-glass-premium-osung-dme4g
OSUNG-1481-DME3G,OSUNG MND,"OSUNG MND Co., Ltd.",Occlusal Medium Dental Photo Mirror Glass Premium Osung -DME3G,1481-DME3G,1481-DME3G,1,Dental Instruments,"Occlusal Medium Dental Photo Mirror Glass Premium -DME3G Medium Occlusal German Glass Elevate your dental practice with the Osung, providing reliability and precision for optimal outcomes. Trust Osung for dental instruments that meet the highest standards of quality and performance",https://cdn.shopify.com/s/files/1/0300/3065/9677/files/dme3x1.jpg?v=1731978703,3,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://osungusa.com/products/occlusal-medium-dental-photo-mirror-glass-premium-osung-dme3g
OSUNG-1480-DME2G,OSUNG MND,"OSUNG MND Co., Ltd.",Buccal Dental Photo Mirror Glass Premium Osung -DME2G,1480-DME2G,1480-DME2G,1,Dental Instruments,"Buccal Dental Photo Mirror Glass Premium -DME2G Buccal German Glass Elevate your dental practice with the Osung, providing reliability and precision for optimal outcomes. Trust Osung for dental instruments that meet the highest standards of quality and performance",https://cdn.shopify.com/s/files/1/0300/3065/9677/files/dme2x1.jpg?v=1731978880,3,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://osungusa.com/products/buccal-dental-photo-mirror-glass-premium-osung-dme2g
OSUNG-1479-DME1G,OSUNG MND,"OSUNG MND Co., Ltd.",Large Occlusal Dental Photo Mirror Glass Premium Osung -DME1G,1479-DME1G,1479-DME1G,1,Dental Instruments,"Large Occlusal Dental Photo Mirror Glass Premium -DME1G Large Occlusal German Glass Elevate your dental practice with the Osung, providing reliability and precision for optimal outcomes. Trust Osung for dental instruments that meet the highest standards of quality and performance",https://cdn.shopify.com/s/files/1/0300/3065/9677/files/dme1gx1.jpg?v=1731979019,3,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://osungusa.com/products/large-occlusal-dental-photo-mirror-glass-premium-osung-dme1g
OSUNG-K1229-K1229,OSUNG MND,"OSUNG MND Co., Ltd.",Professional Dental Hygiene Kit by OSUNG | 4 piece,K1229-K1229,K1229-K1229,1,Dental Instruments > Dental Implant Instrument > Hygiene Instrument > Scaler,"Enhance your dental hygiene practices with the Professional Dental Hygiene Kit by OSUNG . This 4-piece set is thoughtfully curated to meet the needs of dental professionals for thorough and precise hygiene procedures. The kit includes: Plastic Mouth Mirror , Blue color, Autoclavable: This mirror provides clear views for comprehensive oral examinations, enhancing diagnostics. Dental Explorer 2EXD5H: A versatile explorer designed for detecting dental caries, calculus, and other imperfections with accuracy. Sickle Scaler , Anterior, Premolar, Silicone Handle, 2LSH6-H7: Crafted for efficient removal of tartar and plaque from anterior and premolar teeth, ensuring thorough cleaning. Dental Probe, 2BPCP12 : Designed for measuring periodontal pocket depth and detecting gum health, allowing for precise assessments. This kit is an indispensable addition to any dental practice, promoting effective oral care and patient comfort. Experience the reliability and quality of OSUNG instruments to elevate your dental hygiene procedures.",https://cdn.shopify.com/s/files/1/0300/3065/9677/files/Untitled-2_aaf43141-4d6a-4e9a-be75-6ae0854d58c8.jpg?v=1716308735,5,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://osungusa.com/products/professional-dental-hygiene-kit-by-osung-4-piece
