officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
RAY-RAYSCAN-ALPHA-P,RAY,"RAY Co., Ltd.",RAYSCAN α-P,,,0,2D Panorama,RAYSCAN α-P — официально подтверждённая продуктовая линия RAY.,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://connect.raymedical.com/en/browse/2D%20Panorama/RAYSCAN%20%CE%B1-P
RAY-RAYDENT-STUDIO,RAY,"RAY Co., Ltd.",RAYDENT Studio,,,0,3D Printer,RAYDENT Studio — официально подтверждённая продуктовая линия RAY.,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://connect.raymedical.com/en/browse/3D%20Printer/RAYDENT%20Studio
RAY-5D-SOLUTION,RAY,"RAY Co., Ltd.",5D Solution,,,0,5D Solution,5D Solution — официально подтверждённая продуктовая линия RAY.,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://connect.raymedical.com/en/browse/5D%20Solution
RAY-RAYPREMIERE,RAY,"RAY Co., Ltd.",RAYPreMiere,,,0,CBCT,RAYPreMiere — официально подтверждённая продуктовая линия RAY.,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://connect.raymedical.com/en/browse/CBCT/RAYPreMiere
RAY-RAYQUANTUM,RAY,"RAY Co., Ltd.",RAYQuantum,,,0,CBCT,RAYQuantum — официально подтверждённая продуктовая линия RAY.,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://connect.raymedical.com/en/browse/CBCT/RAYQuantum
RAY-RAYSCAN-S,RAY,"RAY Co., Ltd.",RAYSCAN S,,,0,CBCT,RAYSCAN S — официально подтверждённая продуктовая линия RAY.,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://connect.raymedical.com/en/browse/CBCT/RAYSCAN%20S
RAY-RAYSCAN-ALPHA-3D,RAY,"RAY Co., Ltd.",RAYSCAN α 3D,,,0,CBCT,RAYSCAN α 3D — официально подтверждённая продуктовая линия RAY.,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://connect.raymedical.com/en/browse/CBCT/RAYSCAN%20%CE%B1%C2%A03D
RAY-RAYSCAN-ALPHA-PLUS,RAY,"RAY Co., Ltd.",RAYSCAN α+,,,0,CBCT,RAYSCAN α+ — официально подтверждённая продуктовая линия RAY.,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://connect.raymedical.com/en/browse/CBCT/RAYSCAN%20%CE%B1%2B
RAY-OCS,RAY,"RAY Co., Ltd.",OCS,,,0,Ceph,OCS — официально подтверждённая продуктовая линия RAY.,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://connect.raymedical.com/en/browse/Ceph/OCS
RAY-SCAN-CEPH-I,RAY,"RAY Co., Ltd.",Scan ceph(i),,,0,Ceph,Scan ceph(i) — официально подтверждённая продуктовая линия RAY.,,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://connect.raymedical.com/en/browse/Ceph/Scan%20ceph(i)
