officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
REVYLINE-БАЛЬЗАМ-ДЛЯ-ПОЛОСТИ-РТА-КОНЦЕНТРАТ-3269,Revyline,Revyline LLC,Бальзам для полости рта концентрат,3269,3269,1,Бальзамы,Бальзам для полости рта концентрат купить с доставкой в Алмате и по всему Казахстану в интернет-магазине Revyline. и по всему Казахстану в интернет-магазине Revyline.kz,https://revyline.kz/image/cache/placeholder-1000x1000.png,1,EXACT_KZ_LISTING,CANONICAL_CONTENT_READY,https://revyline.kz/profilaktika/balzamy/balzam-dlya-polosti-rta-koncentrat
REVYLINE-БАЛЬЗАМ-ДЛЯ-ПОЛОСТИ-РТА-ЛЕЧЕБНЫЕ-ТРАВЫ-3186,Revyline,Revyline LLC,Бальзам для полости рта Лечебные травы,3186,3186,1,Бальзамы,Бальзам для полости рта Лечебные травы купить с доставкой в Алмате и по всему Казахстану в интернет-магазине Revyline. и по всему Казахстану в интернет-магазине Revyline.kz,https://revyline.kz/image/cache/placeholder-1000x1000.png,1,EXACT_KZ_LISTING,CANONICAL_CONTENT_READY,https://revyline.kz/profilaktika/balzamy/balzam-dlya-polosti-rta-lechebnye-travy
REVYLINE-БАЛЬЗАМ-ДЛЯ-ПОЛОСТИ-РТА-ОТБЕЛИВАЮЩИИ-3187,Revyline,Revyline LLC,Бальзам для полости рта Отбеливающий,3187,3187,1,Бальзамы,Бальзам для полости рта Отбеливающий купить с доставкой в Алматы и по всей России в интернет-магазине Revyline. и по всему Казахстану в интернет-магазине Revyline.kz,https://revyline.kz/image/cache/placeholder-1000x1000.png,1,EXACT_KZ_LISTING,CANONICAL_CONTENT_READY,https://revyline.kz/profilaktika/balzamy/balzam-dlya-polosti-rta-otbelivayushchiy
REVYLINE-БАЛЬЗАМ-ДЛЯ-ПОЛОСТИ-РТА-ПРОПОЛИС-3792,Revyline,Revyline LLC,Бальзам для полости рта Прополис,3792,3792,1,Бальзамы,Бальзам для полости рта Прополис купить с доставкой в Алмате и по всему Казахстану в интернет-магазине Revyline. и по всему Казахстану в интернет-магазине Revyline.kz,https://revyline.kz/image/cache/placeholder-1000x1000.png,1,EXACT_KZ_LISTING,CANONICAL_CONTENT_READY,https://revyline.kz/profilaktika/balzamy/balzam-dlya-polosti-rta-propolis
REVYLINE-ДЕТСКАЯ-ЗУБНАЯ-ЩЕТКА-REVYLINE-BABY-S3900-7068,Revyline,Revyline LLC,Детская зубная щетка Revyline Baby S3900,,7068 | 7070,2,Мануальные,"Детская зубная щетка Revyline Baby S3900 розовая, Soft. Купить с доставкой в Алмате и по всему Казахстане в интернет-магазине Revyline. и по всему Казахстану в интернет-магазине Revyline.kz",https://revyline.kz/image/cache/catalog/7068/6275_1-(5)-1000x1000.jpg,4,EXACT_KZ_LISTING,CANONICAL_CONTENT_READY,https://revyline.kz/zubnye-shchetki/manulnye/detskaya_zubnaya_schetka_revyline_baby_s3900_rozovaya_soft
REVYLINE-ДЕТСКАЯ-ЗУБНАЯ-ЩЕТКА-REVYLINE-LAMAKIDS-ОТ-3-ДО-12-ЛЕТ-7778,Revyline,Revyline LLC,"Детская зубная щетка Revyline LamaKids, от 3 до 12 лет",,7778 | 7777,2,Мануальные,"Детская зубная щетка Revyline LamaKids, от 3 до 12 лет, голубая. Не проскальзывает в ладони, щетина не поглощает влагу и долгое время сохраняет свою форму. Купить с доставкой в Алмате и по всему Казахстану в интернет-магазине Revyline. и по всему Казахстану в интернет-магазине Revyline.kz",https://revyline.kz/image/cache/catalog/7778/p7778_1698911990-1000x1000.jpg,6,EXACT_KZ_LISTING,CANONICAL_CONTENT_READY,https://revyline.kz/zubnye-shchetki/manulnye/detskaya_zubnaya_schetka_revyline_lamakids_ot_3_do_12_let_golubaya
REVYLINE-ДЕТСКАЯ-ЗУБНАЯ-ЩЕТКА-REVYLINE-SHEEP-3-С-ПЕСОЧНЫМИ-ЧАСАМИ-9471,Revyline,Revyline LLC,Детская зубная щетка Revyline Sheep 3+ с песочными часами,,9471 | 9470,2,Мануальные,"Детская зубная щетка Revyline Sheep 3+ с песочными часами, голубая. Немецкая щетина из нейлона Pedex. Заполированные щетинки бережно удаляют налет, не повреждая эмаль и десну. Купить с доставкой в Алмате и по всему Казахстану в магазине Revyline. и по всему Казахстану в интернет-магазине Revyline.kz",https://revyline.kz/image/cache/catalog/9471/9471_1-1000x1000.jpg,10,EXACT_KZ_LISTING,CANONICAL_CONTENT_READY,https://revyline.kz/zubnye-shchetki/manulnye/detskaya-zubnaya-schetka-revyline-sheep-3-s-pesochnymi-chasami-golubaya
REVYLINE-ДОРОЖНАЯ-КОСМЕТИЧКА-ПРОЗРАЧНАЯ-ГОЛУБАЯ-9524,Revyline,Revyline LLC,"Дорожная косметичка прозрачная, голубая",9524,9524,1,Дорожные чехлы,"Дорожная косметичка прозрачная, голубая. Косметичка на молнии, очень легкая, изготовлена из водоотталкивающего материала. Купить с доставкой в Алматы и по всей России в интернет-магазине Revyline. и по всему Казахстану в интернет-магазине Revyline.kz",https://revyline.kz/image/cache/catalog/9524/9524_1-1000x1000.jpg,5,EXACT_KZ_LISTING,CANONICAL_CONTENT_READY,https://revyline.kz/aksessuary/dorozhnye_chehly/dorozhnaya-kosmetichka-prozrachnaya-golubaya
REVYLINE-ДОРОЖНАЯ-КОСМЕТИЧКА-ПРОЗРАЧНАЯ-ЖЕЛТАЯ-9525,Revyline,Revyline LLC,"Дорожная косметичка прозрачная, желтая",9525,9525,1,Дорожные чехлы,"Дорожная косметичка прозрачная, желтая. Косметичка на молнии, очень легкая, изготовлена из водоотталкивающего материала. Купить с доставкой в Алматы и по всей России в интернет-магазине Revyline. и по всему Казахстану в интернет-магазине Revyline.kz",https://revyline.kz/image/cache/catalog/9525/9525_1-1000x1000.jpg,5,EXACT_KZ_LISTING,CANONICAL_CONTENT_READY,https://revyline.kz/aksessuary/dorozhnye_chehly/dorozhnaya-kosmetichka-prozrachnaya-zheltaya
REVYLINE-ЕРШИК-МЕЖЗУБНЫИ-REVYLINE-РАЗМЕР-L-1-ШТ-7167,Revyline,Revyline LLC,"Ершик межзубный Revyline, размер L, 1 шт.",7167,7167,1,Профилактика,"Ершик межзубный Revyline, размер L, 1 шт. Очищение межзубных промежутков, боковых поверхностей зубов, уход за имплантатами, обнаженными шейками зубов. Купить с доставкой в Алмате и по всему Казахстану в интернет-магазине Revyline. и по всему Казахстану в интернет-магазине Revyline.kz",https://revyline.kz/image/cache/catalog/7167/7167_l-1000x1000.jpg,4,EXACT_KZ_LISTING,CANONICAL_CONTENT_READY,https://revyline.kz/profilaktika/ershik_mezhzubnoy_revyline_razmer_l_1_sht
