officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,imageUrls,imageCount,kzEvidence,status,sourcePageUrl
629,Saeshin,"Saeshin Precision Co., Ltd.",TRAUS SSG10,TRAUS SSG10,TRAUS SSG10,1,Dental,,https://www.saeshin.com/uploads/board/pro02/58f0aed267b58596ddd52aa6574a129f.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/629
606,Saeshin,"Saeshin Precision Co., Ltd.",SUS20,SUS20,SUS20,1,Dental,,https://www.saeshin.com/uploads/board/pro02/c51da30d2a214cb3913bba207ae8fc7e.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/606
605,Saeshin,"Saeshin Precision Co., Ltd.",SIP20,SIP20,SIP20,1,Dental,,https://www.saeshin.com/uploads/board/pro02/749f65bf916039f111f722c116c3fe93.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/605
604,Saeshin,"Saeshin Precision Co., Ltd.",SUS10,SUS10,SUS10,1,Dental,,https://www.saeshin.com/uploads/board/pro02/88af8c800cb9ecae21b47465ea0271b7.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/604
603,Saeshin,"Saeshin Precision Co., Ltd.",SIP10,SIP10,SIP10,1,Dental,,https://www.saeshin.com/uploads/board/pro02/ff5e2da24e3cdefbf8bf97b65b8f6443.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/603
602,Saeshin,"Saeshin Precision Co., Ltd.",X-CUBE,X-CUBE,X-CUBE,1,Dental,,https://www.saeshin.com/uploads/board/pro02/07abc5460d553ce612486e0fef1f4baf.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/602
563,Saeshin,"Saeshin Precision Co., Ltd.",E-CUBE Plus,E-CUBE Plus,E-CUBE Plus,1,Dental,,https://www.saeshin.com/uploads/board/pro02/3b01645b350ab0027c69c9933d25c4e0.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/563
530,Saeshin,"Saeshin Precision Co., Ltd.",E-CUBE,E-CUBE,E-CUBE,1,Dental,,https://www.saeshin.com/uploads/board/pro02/d67dc587a9c1150a8957d20af0d35f6f.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/530
526,Saeshin,"Saeshin Precision Co., Ltd.",TD Auto,TD Auto,TD Auto,1,Dental,,https://www.saeshin.com/uploads/board/pro02/c01d2362d89447aa8762758c0a76d3fd.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/526
503,Saeshin,"Saeshin Precision Co., Ltd.",ENDO,ENDO,ENDO,1,Dental,,https://www.saeshin.com/uploads/board/pro02/fec1ec18f095da1768331ab37cfee2fc.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/503
501,Saeshin,"Saeshin Precision Co., Ltd.",Torque Driver,Torque Driver,Torque Driver,1,Dental,,https://www.saeshin.com/uploads/board/pro02/05f4f0f39ce52f6aaab66763f0435588.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/501
500,Saeshin,"Saeshin Precision Co., Ltd.",AIR-DRIVEN HIGH SPEED,AIR-DRIVEN HIGH SPEED,AIR-DRIVEN HIGH SPEED,1,Dental,,https://www.saeshin.com/uploads/board/pro02/03dafd5b3b4a7abdf5464eeac0e1f79c.jpg,1,BRAND_AND_STRONG_PRODUCT_PRESENT_IN_STOMIR_KZ_CATALOG,OFFICIAL_PRODUCT_IDENTITY_READY_KZ_SKU_REVIEW_REQUIRED,https://www.saeshin.com/ajax/get_article/5/500
