officialProductId,brand,manufacturer,name,originalName,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
SANI-681,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Absorbent paper points,吸潮纸尖,,,,1,Эндодонтические расходные материалы и инструменты,,http://www.medicalsani.com/upload/20250220/2025022015583425.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=31&id=681
SANI-653,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",AL-1 apex locator,根尖定位仪AL-1,,,AL-1,1,Эндодонтическое оборудование,,http://www.medicalsani.com/upload/20250409/2025040911185978.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=37&id=653
SANI-688,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Barbed broaches,拔髓针,,,,1,Эндодонтические расходные материалы и инструменты,,http://www.medicalsani.com/upload/20250520/2025052013511392.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=31&id=688
SANI-533,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",BS+ rotary root canal files,BS+机用根管锉,,,BS+,1,Машинные эндодонтические файлы,,http://www.medicalsani.com/upload/20230920/2023092014024714.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=6&id=533
SANI-693,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Composite filling instruments,树脂充填器,,,,1,Эндодонтические расходные материалы и инструменты,,http://www.medicalsani.com/upload/20250220/2025022016060964.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=31&id=693
SANI-702,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Dental mirrors,口镜,,,,1,Эндодонтические расходные материалы и инструменты,,http://www.medicalsani.com/upload/20250320/2025032016252547.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=31&id=702
SANI-600,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Diamond burs,金刚砂车针,,,,1,Стоматологические боры,,http://www.medicalsani.com/upload/20230920/2023092014372418.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=34&id=600
SANI-652,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",EDO-1 endodontic motor,根管预备机EDO-1,,,EDO-1,1,Эндодонтическое оборудование,,http://www.medicalsani.com/upload/20260212/2026021216134853.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=37&id=652
SANI-625,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",EDO-1 Pro endodontic motor with apex locator,根管预备机EDO-1 Pro,,,EDO-1 Pro,1,Эндодонтическое оборудование,,http://www.medicalsani.com/upload/20260212/2026021216141411.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=37&id=625
SANI-685,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Gutta-percha cutter,牙胶尖切断器,,,,1,Эндодонтическое оборудование,,http://www.medicalsani.com/upload/20250306/2025030614460783.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=37&id=685
SANI-686,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Gutta-percha filling device,牙胶充填仪,,,,1,Эндодонтическое оборудование,,http://www.medicalsani.com/upload/20250306/2025030614480819.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=37&id=686
SANI-682,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Gutta-percha points and sticks,牙胶尖/牙胶棒,,,,1,Эндодонтические расходные материалы и инструменты,,http://www.medicalsani.com/upload/20250220/2025022015513065.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=31&id=682
SANI-172,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",H-files,根管锉H锉,,,,1,Ручные эндодонтические файлы,,http://www.medicalsani.com/upload/20250306/2025030614041447.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=20&id=172
SANI-124,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",K-files,根管锉K锉,,,,1,Ручные эндодонтические файлы,,http://www.medicalsani.com/upload/20250306/2025030614002655.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=20&id=124
SANI-677,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",K+ files,根管锉K＋,,,,1,Ручные эндодонтические файлы,,http://www.medicalsani.com/upload/20230920/2023092014232123.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=20&id=677
SANI-287,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",KID rotary root canal files,KID机用根管锉,,,KID,1,Машинные эндодонтические файлы,,http://www.medicalsani.com/upload/20230920/2023092011414057.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=6&id=287
SANI-679,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Long-neck minimally invasive round burs,长颈微创球钻,,,,1,Стоматологические боры,,http://www.medicalsani.com/upload/20230920/2023092015040320.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=34&id=679
SANI-687,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Micro files,显微锉,,,,1,Ручные эндодонтические файлы,,http://www.medicalsani.com/upload/20250306/2025030614272078.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=20&id=687
SANI-173,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",R-files,根管锉R锉,,,,1,Ручные эндодонтические файлы,,http://www.medicalsani.com/upload/20250306/2025030614264890.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=20&id=173
SANI-697,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Retreatment rotary files,再治疗锉,,,,1,Машинные эндодонтические файлы,,http://www.medicalsani.com/upload/20250520/2025052013484144.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=6&id=697
SANI-680,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Root canal paste carriers,根管充填器,,,,1,Эндодонтические расходные материалы и инструменты,,http://www.medicalsani.com/upload/20250220/2025022016093144.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=31&id=680
SANI-676,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",S-ONE single rotary file,S-ONE单支锉,,,S-ONE,1,Машинные эндодонтические файлы,,http://www.medicalsani.com/upload/20230920/2023092010410264.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=6&id=676
SANI-505,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",S3 rotary root canal files,S3机用根管锉,,,S3,1,Машинные эндодонтические файлы,,http://www.medicalsani.com/upload/20250428/2025042809441238.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=6&id=505
SANI-260,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",SHARP rotary root canal files,SHARP机用根管锉,,,SHARP,1,Машинные эндодонтические файлы,,http://www.medicalsani.com/upload/20230920/2023092013444859.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=6&id=260
SANI-695,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Stainless steel orthodontic wire,不锈钢正畸丝,,,,1,Ортодонтическая проволока,,http://www.medicalsani.com/upload/20250428/2025042809535850.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=47&id=695
SANI-641,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",SuperC files,根管锉superC,,,,1,Ручные эндодонтические файлы,,http://www.medicalsani.com/upload/20230920/2023092014202768.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=20&id=641
SANI-127,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",SuperPass glide path files,疏通锉superpass,,,SuperPass,1,Машинные эндодонтические файлы,,http://www.medicalsani.com/upload/20230920/2023092013580445.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=6&id=127
SANI-650,SANI,"Chengdu Sani Medical Equipment Co., Ltd.",Tungsten carbide burs,钨钢车针,,,,1,Стоматологические боры,,http://www.medicalsani.com/upload/20230920/2023092015020369.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,http://www.medicalsani.com/news.php?bid=34&id=650
