officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
restauracion-cimpat-rosa,Septodont,Septodont SAS,Cimpat Rosa,,,1,Home,Pasta de obturación provisional para conseguir un cierre hermético fiable y una restauración duradera.,https://www.septodont.es/wp-content/uploads/sites/16/2023/03/cimpat-p-975.png,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_AND_KZ_SKU_EVIDENCE_REQUIRED,https://www.septodont.es/product/restauracion-cimpat-rosa/
control-del-dolor-septodont-syringe,Septodont,Septodont SAS,Septodont Syringe,,,1,Home,"Jeringa dental de acero inoxidable de diseño ergonómico para su uso con cartuchos de anestesia local de 1,7/1,8 ml.",https://www.septodont.es/wp-content/uploads/sites/16/2023/05/septodont-syringe.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_AND_KZ_SKU_EVIDENCE_REQUIRED,https://www.septodont.es/product/control-del-dolor-septodont-syringe/
restauracion-septopolisher,Septodont,Septodont SAS,SeptoPolisher,,,1,Home,Instrumento versátil 2 en 1 de silicona para el pulido y acabado de éxito de las restauraciones,https://www.septodont.es/wp-content/uploads/sites/16/2023/03/septopolisher-product-image-0.png,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_AND_KZ_SKU_EVIDENCE_REQUIRED,https://www.septodont.es/product/restauracion-septopolisher/
restauracion-septodiamond-paste,Septodont,Septodont SAS,SeptoDiamond Paste,,,1,Home,Pasta diamantada de acabado y pulido diseñada para dejar el esmalte y las restauraciones con un lustre natural brillante.,https://www.septodont.es/wp-content/uploads/sites/16/2023/03/septodiamond-paste-975.png,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_AND_KZ_SKU_EVIDENCE_REQUIRED,https://www.septodont.es/product/restauracion-septodiamond-paste/
desinfeccion-vaposept-plus,Septodont,Septodont SAS,Vaposept Plus,,,1,Home,"Desinfectante dental de acción rápida para dispositivos médicos no sumergibles, no invasivos y resistentes al alcohol.",https://www.septodont.es/wp-content/uploads/sites/16/2023/05/vaposept-plus.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_AND_KZ_SKU_EVIDENCE_REQUIRED,https://www.septodont.es/product/desinfeccion-vaposept-plus/
periodoncia-y-cirurgia-septocone,Septodont,Septodont SAS,SeptoCone,,,1,Home,Conos de colágeno de alta densidad para la hemostasia postextracción y la promoción de la formación de nuevos tejidos duros y blandos.,https://www.septodont.es/wp-content/uploads/sites/16/2023/05/septocone-packshot.png,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_AND_KZ_SKU_EVIDENCE_REQUIRED,https://www.septodont.es/product/periodoncia-y-cirurgia-septocone/
desinfeccion-aseptol-ultra,Septodont,Septodont SAS,Aseptol Ultra,,,1,Home,"Solución limpiadora de acción rápida, sin aldehídos, para la desinfección completa de los sistemas de aspiración dentales.",https://www.septodont.es/wp-content/uploads/sites/16/2023/05/aseptol-ultra-0.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_AND_KZ_SKU_EVIDENCE_REQUIRED,https://www.septodont.es/product/desinfeccion-aseptol-ultra/
desinfeccion-control-epicrem,Septodont,Septodont SAS,Epicrem,,,1,Home,Crema de manos protectora,https://www.septodont.es/wp-content/uploads/sites/16/2023/03/epicrem-975a.png,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_AND_KZ_SKU_EVIDENCE_REQUIRED,https://www.septodont.es/product/desinfeccion-control-epicrem/
impresion-septofil-n,Septodont,Septodont SAS,Septofil N,,,1,Home,"Hilo de retracción gingival no impregnado para su uso durante la preparación dental, la toma de impresión, la cementación y la adhesión final.",https://www.septodont.es/wp-content/uploads/sites/16/2023/05/septofil-n.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_AND_KZ_SKU_EVIDENCE_REQUIRED,https://www.septodont.es/product/impresion-septofil-n/
periodoncia-y-cirurgia-hemogelatin,Septodont,Septodont SAS,Hemogelatin,,,1,Home,Hemogelatin are resorbable haemostatic sponges with porcine gelatine for reliable local haemostasis in all clinical scenarios.,https://www.septodont.es/wp-content/uploads/sites/16/2023/03/hemogelatin-packshot.png,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_AND_KZ_SKU_EVIDENCE_REQUIRED,https://www.septodont.es/product/periodoncia-y-cirurgia-hemogelatin/
