officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
SHOFU-ABRASIVES-DRESSER,Shofu,SHOFU Dental GmbH / SHOFU Inc.,Abrasives Dresser,,,1,Shofu / Dental products,https://www.shofu.de/wp-content/uploads/2026/02/20260213-abrasives-dresser_001.jpg,1,BRAND_AND_SELECTED_PRODUCT_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.shofu.de/en/products/abrasives-dresser/
SHOFU-ACRYPOINT-E,Shofu,SHOFU Dental GmbH / SHOFU Inc.,AcryPoint-E,,,1,Shofu / Dental products,https://www.shofu.de/wp-content/uploads/2024/01/20240205_acrypoint-e_001.jpg,1,BRAND_AND_SELECTED_PRODUCT_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.shofu.de/en/products/acrypoint-e/
SHOFU-ALL-CERAMIC-PREPARATION-KIT,Shofu,SHOFU Dental GmbH / SHOFU Inc.,All Ceramic Preparation Kit,,,1,Shofu / Dental products,https://www.shofu.de/wp-content/uploads/2026/02/20260213-shofu-all-ceramic-preparation-kit_001.jpg,1,BRAND_AND_SELECTED_PRODUCT_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.shofu.de/en/products/all-ceramic-preparation-kit/
SHOFU-ALUMINIUM-CASE-FOR-LIVING-MOULD-CHART,Shofu,SHOFU Dental GmbH / SHOFU Inc.,Aluminium case for living mould chart,,,1,Shofu / Dental products,https://www.shofu.de/wp-content/uploads/2025/05/20250513-alukoffer-01.jpg,1,BRAND_AND_SELECTED_PRODUCT_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.shofu.de/en/products/aluminium-case-for-living-mould-chart/
SHOFU-AMALGAM-POLISHING-KIT,Shofu,SHOFU Dental GmbH / SHOFU Inc.,Amalgam Polishing Kit,,,1,Shofu / Dental products,https://www.shofu.de/wp-content/uploads/2026/03/20260311-amalgam-polishing-kit_001.jpg,1,BRAND_AND_SELECTED_PRODUCT_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.shofu.de/en/products/amalgam-polishing-kit/
SHOFU-BEAUTIBOND,Shofu,SHOFU Dental GmbH / SHOFU Inc.,BeautiBond,,,1,Shofu / Dental products,https://www.shofu.de/wp-content/uploads/2024/10/20241125-beautibond_01.jpg,1,BRAND_AND_SELECTED_PRODUCT_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.shofu.de/en/products/beautibond/
SHOFU-BEAUTIBOND-UNIVERSAL,Shofu,SHOFU Dental GmbH / SHOFU Inc.,BeautiBond Universal,,,1,Shofu / Dental products,https://www.shofu.de/wp-content/uploads/2024/10/20241125-beautibond-universal_01.jpg,1,BRAND_AND_SELECTED_PRODUCT_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.shofu.de/en/products/beautibond-universal/
SHOFU-BEAUTIBOND-XTREME,Shofu,SHOFU Dental GmbH / SHOFU Inc.,BeautiBond Xtreme,,,1,Shofu / Dental products,https://www.shofu.de/wp-content/uploads/2024/01/20240515-beautibond-xtreme_001.jpg,1,BRAND_AND_SELECTED_PRODUCT_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.shofu.de/en/products/beautibond-xtreme/
SHOFU-BEAUTICEM-SA,Shofu,SHOFU Dental GmbH / SHOFU Inc.,BeautiCem SA,,,1,Shofu / Dental products,https://www.shofu.de/wp-content/uploads/2024/10/20241125-beauticem-SA_01.jpg,1,BRAND_AND_SELECTED_PRODUCT_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.shofu.de/en/products/beauticem-sa/
SHOFU-BEAUTICEM-TRY-IN-PASTE,Shofu,SHOFU Dental GmbH / SHOFU Inc.,BeautiCem Try-In-Paste,,,1,Shofu / Dental products,https://www.shofu.de/wp-content/uploads/2024/10/20250213-beauticem_try-in-paste_001.jpg,1,BRAND_AND_SELECTED_PRODUCT_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.shofu.de/en/products/beauticem-try-in-paste/
