officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
B5005137001,Solventum,Solventum Corporation,3M™ Adper™ Prompt™ L-Pop™ Self-Etch Adhesive,7100339577,7100339577 | 7100339575 | 7100339574 | 7100317367 | 7100317328 | 7100317272,6,Solventum Oral Care / GPH10418,https://assets.solventum.com/is/image/mmmspinco/B5005137001_transition_ds_adper_prompt_lpop_A1C10,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.solventum.com/en-us/home/f/b5005137001/
B00034915,Solventum,Solventum Corporation,3M™ Adper™ Scotchbond™ Multi-Purpose 3 Well Dispenser,7000003064,7000003064,1,Solventum Oral Care / GPH11168,https://assets.solventum.com/is/image/mmmspinco/3_well_mixing_well_KO_7544,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.solventum.com/en-us/home/f/b00034915/
B00007555,Solventum,Solventum Corporation,3M™ Adper™ Scotchbond™ Multi-Purpose Adhesive System,7100156185,7100156185 | 7000054274,2,Solventum Oral Care / GPH10418,https://assets.solventum.com/is/image/mmmspinco/Adper_SB_7540S,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.solventum.com/en-us/home/f/b00007555/
B10058174,Solventum,Solventum Corporation,3M™ Adper™ Scotchbond™ Multi-Purpose Primer,7000054273,7000054273,1,Solventum Oral Care / GPH10418,https://assets.solventum.com/is/image/mmmspinco/7000054273_01Center,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.solventum.com/en-us/home/f/b10058174/
B5005137025,Solventum,Solventum Corporation,3M™ Adper™ Single Bond 2,7000030482,7000030482,1,Solventum Oral Care / GPH10418,https://assets.solventum.com/is/image/mmmspinco/Adper_Single_Bond_2_Front,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.solventum.com/en-us/home/f/b5005137025/
B5005137032,Solventum,Solventum Corporation,3M™ Adper™ Single Bond Plus Adhesive,7100156390,7100156390 | 7000128797,2,Solventum Oral Care / GPH10418,https://assets.solventum.com/is/image/mmmspinco/51102_OP_Center,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.solventum.com/en-us/home/f/b5005137032/
B00034735,Solventum,Solventum Corporation,"3M™ Aplicap™ Activator, 73040",7100288470,7100288470,1,Solventum Oral Care / GPH10500,https://assets.solventum.com/is/image/mmmspinco/Maxicap_Activator_KO_73040,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.solventum.com/en-us/home/f/b00034735/
B00034732,Solventum,Solventum Corporation,"3M™ Aplicap™ Activator/Applier Set, 37100 Series",7100290294,7100290294,1,Solventum Oral Care / GPH10500,https://assets.solventum.com/is/image/mmmspinco/Aplicap_Combo_KO_37160,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.solventum.com/en-us/home/f/b00034732/
B00034737,Solventum,Solventum Corporation,"3M™ Aplicap™ Applier, 73050",7100288487,7100288487,1,Solventum Oral Care / GPH10500,https://assets.solventum.com/is/image/mmmspinco/Aplicap_Applier_KO_73050,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.solventum.com/en-us/home/f/b00034737/
B00034785,Solventum,Solventum Corporation,3M™ Applicator Handles,7100214043,7100214043,1,Solventum Oral Care / GPH10462,https://assets.solventum.com/is/image/mmmspinco/app_hand_brush_tip_KO_1919,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.solventum.com/en-us/home/f/b00034785/
