officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
STRAUSS-40211ACSET1,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Crown Preperation Kit,40211ACSET1,40211ACSET1,40211ACSET1,1,Crown Preperation,Crown Preperation Kit,https://dental.strauss-co.com/wp-content/uploads/products_photo/40211ACSET1.webp,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/40211acset1/
STRAUSS-40211PLSET,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Porcelain Laminate Veneer Preparation Kit,40211PLSET,40211PLSET,40211PLSET,1,Porcelain Laminate Veneer Preparation,Porcelain Laminate Veneer Preparation Kit,https://dental.strauss-co.com/wp-content/uploads/products_photo/40211PLSET.webp,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/40211plset/
STRAUSS-45286KIT1,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Crown Preperation Kit,45286KIT1,45286KIT1,45286KIT1,1,Crown Preperation,Crown Preperation Kit,https://dental.strauss-co.com/wp-content/uploads/products_photo/45286KIT1.webp,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/45286kit1/
STRAUSS-A0C,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Round Diamond Bur,A0C,A0C,A0C,1,Round,Round Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/A0C.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/a0/
STRAUSS-A0F,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Round Diamond Bur,A0F,A0F,A0F,1,Round,Round Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/A0F.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/a0-2/
STRAUSS-A0M,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Round Diamond Bur,A0M,A0M,A0M,1,Round,Round Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/A0M.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/a0-3/
STRAUSS-A1-SS/M,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Short Shank Diamond Burs Diamond Bur,A1-SS/M,A1-SS/M,A1-SS/M,1,Short Shank Diamond Burs,Short Shank Diamond Burs Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/A1-SS-M.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/a1-ss/
STRAUSS-A1C,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Round Diamond Bur,A1C,A1C,A1C,1,Round,Round Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/A1C.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/a1/
STRAUSS-A1F,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Round Diamond Bur,A1F,A1F,A1F,1,Round,Round Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/A1F.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/a1-2/
STRAUSS-A1L-ML/C,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Surgical Length Round - Laser Marked Diamond Bur,A1L-ML/C,A1L-ML/C,A1L-ML/C,1,Surgical Length Round - Laser Marked,Surgical Length Round - Laser Marked Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/A1L-MLC.webp,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/a1l-ml-c/
STRAUSS-A1LC,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Surgical Length Round Diamond Bur,A1LC,A1LC,A1LC,1,Surgical Length Round,Surgical Length Round Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/A1LC.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/a1l/
STRAUSS-A1LM,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Surgical Length Round Diamond Bur,A1LM,A1LM,A1LM,1,Surgical Length Round,Surgical Length Round Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/A1LM.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/a1l-2/
