officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
TEALTH-04MM-UP-DOWN-MOVEMENT-ENDO-HEAD,Tealth,"Tealth Foshan Medical Equipment Co., Ltd.",0.4mm Up & Down Movement Endo Head,L6-07,L6-07,1,Tealth / Dental handpieces and motors,https://img.waimaoniu.net/1384/1384-202311201621304538.jpg,3,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.tealthhandpiece.com/product/04mm-up-down-movement-endo-head
TEALTH-11-ENDO-HEAD-FIT-FOR-WIRELESS-MOTOR,Tealth,"Tealth Foshan Medical Equipment Co., Ltd.",1:1 Endo Head Fit For Wireless Motor,E01N-01C,E01N-01C,1,Tealth / Dental handpieces and motors,https://img.waimaoniu.net/1384/1384-202312041341269966.jpg,2,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.tealthhandpiece.com/product/11-endo-head-fit-for-wireless-motor
TEALTH-11-FIBER-OPTIC-CONTRA-ANGLE-DENTAL-HANDPIECE,Tealth,"Tealth Foshan Medical Equipment Co., Ltd.",1:1 fiber optic contra angle dental handpiece,,,1,Tealth / Dental handpieces and motors,https://img.waimaoniu.net/1384/1384-202311291641352559.jpg,3,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.tealthhandpiece.com/product/11-fiber-optic-contra-angle-dental-handpiece
TEALTH-12-INCREASING-SPEED-STRAIGHT-HANDPIECE,Tealth,"Tealth Foshan Medical Equipment Co., Ltd.",1:2 Increasing Speed Straight Handpiece,SEN-09C,SEN-09C,1,Tealth / Dental handpieces and motors,https://img.waimaoniu.net/1384/1384-202208311406403139.jpg,3,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.tealthhandpiece.com/product/12-increasing-speed-straight-handpiece
TEALTH-142-FIBER-OPTIC-45-DEGREE-CONTRA-ANGLE-SURGICAL-HANDPIECE,Tealth,"Tealth Foshan Medical Equipment Co., Ltd.",1:4.2 Fiber Optic 45 Degree Contra Angle Surgical Handpiece,I04F-01C,I04F-01C,1,Tealth / Dental handpieces and motors,https://img.waimaoniu.net/1384/1384-202606260901122275.jpg,6,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.tealthhandpiece.com/product/142-fiber-optic-45-degree-contra-angle-surgical-handpiece
TEALTH-14MM-UP-DOWN-MOVEMENT-ENDO-HEAD,Tealth,"Tealth Foshan Medical Equipment Co., Ltd.",1.4mm Up & Down Movement Endo Head,L6-08,L6-08,1,Tealth / Dental handpieces and motors,https://img.waimaoniu.net/1384/1384-202311201642236887.jpg,3,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.tealthhandpiece.com/product/14mm-up-down-movement-endo-head
TEALTH-16-1-STYLE-ENDODONTIC-ELECTRICAL-CONTRA-ANGLE-REDUCTION-HEAD-FOR-ENDO-MATE,Tealth,"Tealth Foshan Medical Equipment Co., Ltd.",16-1 Style Endodontic Electrical Contra Angle Reduction Head For Endo Mate,,,1,Tealth / Dental handpieces and motors,https://img.waimaoniu.net/1384/1384-202606231451082219.jpg,2,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.tealthhandpiece.com/product/16-1-style-endodontic-electrical-contra-angle-reduction-head-for-endo-mate
TEALTH-161-ENDO-HEAD-FIT-FOR-WIRELESS-MOTOR,Tealth,"Tealth Foshan Medical Equipment Co., Ltd.",16:1 Endo Head Fit For Wireless Motor,E16N-01C,E16N-01C,1,Tealth / Dental handpieces and motors,https://img.waimaoniu.net/1384/1384-202312041339388655.jpg,2,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.tealthhandpiece.com/product/161-endo-head-fit-for-wireless-motor
TEALTH-161-REDUCTION-CONTRA-ANGLE-DENTAL-HANDPIECE,Tealth,"Tealth Foshan Medical Equipment Co., Ltd.",16:1 Reduction Contra Angle Dental Handpiece,,,1,Tealth / Dental handpieces and motors,https://img.waimaoniu.net/1384/1384-202606221719325167.jpg,3,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.tealthhandpiece.com/product/161-reduction-contra-angle-dental-handpiece
TEALTH-2-TO-4-ADAPTOR-FOR-HIGH-SPEED-HANDPIECE,Tealth,"Tealth Foshan Medical Equipment Co., Ltd.",2 To 4 adaptor For High Speed Handpiece,,,1,Tealth / Dental handpieces and motors,https://img.waimaoniu.net/1384/1384-202302221459047022.jpg,8,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.tealthhandpiece.com/product/2-to-4-adaptor-for-high-speed-handpiece
