localId,brand,manufacturer,name,manufacturerRefs,referenceCount,status,sourcePageUrl,summary
12,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Rubber cyclone wheel (for low speed bending machine),RA 3306G,1,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/12.html,full pack article number:RA 3306G Packing: 6pcs/set Suitable for high-gloss polishing of composite resins.
13,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Multifunctional rubber cyclone wheel (for low speed bending machine),RA 3403 G,1,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/13.html,"full pack Item number:RA 3403 G Packing: 3pcs/set It is suitable for high-gloss polishing of zirconium oxide, porcelain, alloy and composite materials."
14,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Glass ceramic polishing set ((for low speed bending machine),RA 1212 D,1,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/14.html,"full pack Item number:RA 1212 D Packing: 12pcs/set model:CD 3144 ,CD 3064，RD 3114x2，RD 3144，RD 3414，RD3204 ，RD 3117Ax2支，RD 3147A ，RD 3417ARD，3207A utility outfit Item number: RA 1206 E (for network only) Packing: 6pcs/set model:CD 3144，RD 3144 ，RD 3414，RD 3204，RD 3147A，RD 3417A"
15,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Elastomeric Ceramic Polishing Set (For Low Speed Bending Machine),,0,OFFICIAL_MODEL_REFERENCE_REVIEW_REQUIRED,https://en.toboom.com.cn/product/15.html,"full pack full pack:RA 1312 D Packing: 12pcs/set model:RD 3113A，RD 3143A，RD 3203A，RD 3413A，RD 3114A，RD 3144A，RD 3414A，RD 3204A，RD 3117B，RD 3147B，RD 3417B，RD 3207B utility outfit Item number: RA 1306E (for network only) Packing: 6pcs/set model:RD 3143A，RD 3413A，RD 3144A ,RD 3414A，RD 3147B，RD 3417B"
16,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Zirconia polishing set (for low speed bending machine),RA 0212 D,1,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/16.html,"full pack Item number:RA 0212 D Packing: 12pcs/set Model: Cw 3064m x2, CW 3114m x2，SH 3113m ,SH 3143m ,SH 3413m , SH 3203m,RD 3116 ，RD 3146 ,RD 3416 ，RD 3206 utility outfit Item number: RA 0206E (for network only) Packing: 6pcs/set model:CW 3114m,SH 3143m ,SH 3413m ，SH 3203m ,RD 3146，RD 3416"
17,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Porcelain polishing set (for low speed bending machine),RA 0212 D,1,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/17.html,"full pack Item number:RA 0212 D Packing: 12pcs/set Model: CW 3064m x2, CW 3114m x2，SH 3113m ,SH 3143m ,SH 3413m , SH 3203m，RD 3116 ，RD 3146 ,RD 3416，RD 3206 utility outfit Item number: RA 0206E (for network only) Packing: 6pcs/set model:CW 3114m ,SH 3143m ,SH 3413m , SH 3203m ,RD 3146，RD 3416"
18,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Composite resin polishing set (for low speed bending machine),RA 0312 D,1,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/18.html,"full pack Item number:RA 0312 D Packing: 12pcs/set model:CW 3064m x2，CW 3114m x2，SH 3114m ,SH 3144m ，SH 3414m ,SH 3204m，RD 3117A ，RD 3147A ,RD 3417A，RD 3207A utility outfit Item number: RA 0306E (for network only) Packing: 6pcs/set model:CW 3114m ，SH 3144m，SH 3414m , SH 3204m，RD 3147A，RD 3417A"
19,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Clinical temporary crown polishing set (for low-speed straight machine),HP 1405 E,1,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/19.html,"full pack article number:HP 1405 E Packing: 5pcs/set model:TH 2013，SK 2133m , SK 2043m,SK 2135m, SK 2045m"
20,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Glass ceramic polishing set (for low speed straight machine),,0,OFFICIAL_MODEL_REFERENCE_REVIEW_REQUIRED,https://en.toboom.com.cn/product/20.html,"完整装 货号HP 1210 D 包装:10支/套 型号:CD 2124，CD 2024,RD 2064，RD 2134，RD 2374 ,RD 2424，RD 2067A，RD 2137A，RD 2377A，RD 2427A 实用装 货号:HP 1206E(网络专供) 包装:6支/套 型号:CD2124，RD 2424，RD 2134，RD 2374，RD 2137A，RD 2377A"
21,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Elastic ceramic polishing set (for low speed straight machine),,0,OFFICIAL_MODEL_REFERENCE_REVIEW_REQUIRED,https://en.toboom.com.cn/product/21.html,"完整装 货号:HP 1310 D 包装:10支/套 型号:TH 2013，RD 2133A，RD 2373A，RD 2423A，RD 2134A，RD 2374A，RD 2424A，RD 2137B，RD 2377B，RD 2427B 实用装 货号:HP 1306E(网络专供) 包装:6支/套 型号:RD 2133A，RD 2373A,RD 2134A，RD 2374A，RD 2137B，RD 2377B"
