officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
ULTRADENT-1281,Ultradent,"Ultradent Products, Inc.",1.2 ml Delivery Syringe,124-,124- | 157-,2,Ultradent / indirect-restorative / tips-syringes / syringes | Ultradent / tips-syringes / syringes | Ultradent / orthodontics / supplies,https://images.ctfassets.net/wfptrcrbtkd0/2189e50cb97bfe4bb83c014370fcd49e/f693630c5fef3cae494300668525a6ac/1.2ml-Syringe_SYRINGES-highdef.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/orthodontics/supplies/1-2ml-syringe
ULTRADENT-1843,Ultradent,"Ultradent Products, Inc.",5 ml Delivery Syringe,201-,201-,1,Ultradent / indirect-restorative / tips-syringes / syringes | Ultradent / tips-syringes / syringes,https://images.ctfassets.net/wfptrcrbtkd0/f69ae904d330e49903b2a9e93de8b559/561d509853c88bd4fdbbb5a36c6583eb/5ml-Syringe_SYRINGES-highdef.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/tips-syringes/syringes/5ml-syringe
ULTRADENT-2067,Ultradent,"Ultradent Products, Inc.",Absorbent Paper Points,1554-,1554- | 1555- | 1556- | 1557- | 1558- | 1559- | 1560- | 3360-,8,Ultradent / indirect-restorative / related-endodontic-products | Ultradent / endodontics / accessories,https://images.ctfassets.net/wfptrcrbtkd0/c8a3cc7e80d4da75a84eaa7e6b0e0d8e/66633868944bd94c3f3ec5d9d9f4fa6e/1554_Absorbent-Paper-Points-Size25_ENDODONTICS-highdef.jpg,8,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/endodontics/accessories/absorbent-paper-points
ULTRADENT-901,Ultradent,"Ultradent Products, Inc.",Amelogen™ Plus,4424-,4424- | 8014- | 8017- | 8022- | 9033- | 9034- | 9035- | 9038- | 9039- | 9042- | 9043-,11,Ultradent / direct-restorative / paste-composite | Ultradent / composites / paste-type-composite,https://images.ctfassets.net/wfptrcrbtkd0/ba595fc6112f3f6ca169a7f17cee820b/b5a00573a00efebed237c6ef29c177d4/Amelogen-Plus-A2-syringe-and-compule_COMPOSITES-highdef.jpg,11,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/composites/paste-type-composite/amelogen-plus
ULTRADENT-1365,Ultradent,"Ultradent Products, Inc.",Astringedent™,111-,111- | 686-,2,Ultradent / indirect-restorative / hemostatics | Ultradent / retraction / hemostatics | Ultradent / crown-bridge / retraction / hemostatics,https://images.ctfassets.net/wfptrcrbtkd0/d7a4f79ed3c45c65a06b9ef7ff3dd345/e0331b16a7be58901a6bfa582012e286/Astringedent-Hemostatic-30ml-Bottle-and-IndiSpense-syringe-3D-2023-TM.jpg,2,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/retraction/hemostatics/astringedent
ULTRADENT-881,Ultradent,"Ultradent Products, Inc.",Astringedent™ X,112-,112- | 5881- | 690-,3,Ultradent / indirect-restorative / hemostatics | Ultradent / retraction / hemostatics | Ultradent / crown-bridge / retraction / hemostatics,https://images.ctfassets.net/wfptrcrbtkd0/949966e1e14bd6f575e6c9ff6275348f/0d16d18079ff1a83a48740c6c55aaa06/Astringedent-X-30ml-bottle-IndiSpense-1.2ml-syringe-group-upright-3D-TM.jpg,3,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/retraction/hemostatics/astringedent-x
ULTRADENT-7185,Ultradent,"Ultradent Products, Inc.",BFC3™ Powered Impression Gun,5565-,5565- | 5568- | 5569-,3,Ultradent / indirect-restorative / impression-tips | Ultradent / impressions / impression-tips | Ultradent / orthodontics / impressions / impression-tips,https://images.ctfassets.net/wfptrcrbtkd0/3zdlkBXV68jJYbPRU30YV0/c4272446993d9d7be66a0dfd5355b29e/BFC3-Impression-Gun-with-Thermo-Clone-VPS-IMPRESSIONS.jpg,3,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/impressions/impression-tips/bfc3-powered-impression-gun
ULTRADENT-1562,Ultradent,"Ultradent Products, Inc.",Black Micro™ FX™ Tip,1357-,1357-,1,Ultradent / indirect-restorative / tips-syringes / brush-tips | Ultradent / tips-syringes / tips / brush-tips,https://images.ctfassets.net/wfptrcrbtkd0/a4b6a6ab7e3db0bed7b4126c19b1b399/331ecca524461d35c1be2150d30b34e7/Black-Micro-FX-Tip_TIPS-highdef.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/tips-syringes/tips/brush-tips/black-micro-fx-tip
ULTRADENT-1485,Ultradent,"Ultradent Products, Inc.",Black Micro™ Tip,1085-,1085- | 1435-,2,Ultradent / indirect-restorative / tips-syringes / metal-cannula-delivery-tips | Ultradent / tips-syringes / tips / metal-cannula-delivery-tips,https://images.ctfassets.net/wfptrcrbtkd0/9cba7438c0605e9aa3f39de7d57186bb/03e475b291bd24277d936bd4bc5136cd/Black-Micro-Tip_TIPS-highdef.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/tips-syringes/tips/metal-cannula-delivery-tips/black-micro-tip
ULTRADENT-1341,Ultradent,"Ultradent Products, Inc.",Black Mini™ Brush Tip,1169-,1169- | 1432-,2,Ultradent / indirect-restorative / tips-syringes / brush-tips | Ultradent / tips-syringes / tips / brush-tips,https://images.ctfassets.net/wfptrcrbtkd0/4aa6a3888ab51ee7abf4c24b8b63e876/09b2625502c0d1647cc94f79358894d3/Black-Mini-Brush-Tip_Large-highdef.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/tips-syringes/tips/brush-tips/black-mini-brush-tip
ULTRADENT-1683,Ultradent,"Ultradent Products, Inc.",Black Mini™ Tip,1433-,1433- | 514-,2,Ultradent / indirect-restorative / tips-syringes / all-plastic-delivery-tips | Ultradent / tips-syringes / tips / all-plastic-delivery-tips,https://images.ctfassets.net/wfptrcrbtkd0/406fb1574904c82cf8e60f46d69ad8d0/f17d3c7cfbb34b8ace82fbbdef301c81/Black-Mini-Tip_TIPS-highdef.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/tips-syringes/tips/all-plastic-delivery-tips/black-mini-tip
ULTRADENT-1361,Ultradent,"Ultradent Products, Inc.",Blue Micro™ Tip,127-,127- | 1436-,2,Ultradent / indirect-restorative / tips-syringes / metal-cannula-delivery-tips | Ultradent / tips-syringes / tips / metal-cannula-delivery-tips | Ultradent / orthodontics / supplies,https://images.ctfassets.net/wfptrcrbtkd0/98e40e1166a2a4567bc02a3ffc651ec2/35c21d05b16a3a889867601d713c539f/Blue-Micro-Tip_TIPS-highdef.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.ultradent.com/products/categories/orthodontics/supplies/blue-micro-tip
