officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
UP3D-SOFTWARE-AIDESIGN,UP3D,"Shenzhen UP3D Tech Co., Ltd.",AI Design,,,,1,Стоматологическое программное обеспечение,UP3D AI CAD is a web-based dental CAD software with AI automation. Design crowns in 30 seconds with one-click margin detection—no installation required.,,0,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.up3dtech.com/en/software-aidesign
UP3D-I5PRO,UP3D,"Shenzhen UP3D Tech Co., Ltd.",IRON CORE i5 PRO,,,IRON CORE i5 PRO,1,CAD/CAM фрезерные станки,"IRON CORE i5 PRO is a 5-axis dental milling machine built for heavy-duty metal work. Cast-iron frame, 2.5kW water-cooled spindle, smart servo — stable titanium milling for implant labs.",https://www.up3dtech.com/image/responsive/mobile/product/I5PRO/up3d-iron-core-i5-pro-dental-metal-milling-machine-hero.webp,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.up3dtech.com/en/product/I5PRO
UP3D-P42,UP3D,"Shenzhen UP3D Tech Co., Ltd.",P42,,,P42,1,CAD/CAM фрезерные станки,"Explore UP3D&#x27;s full line of dental CAD/CAM solutions — including intraoral scanners, lab scanners, dental milling machines, and AI-powered design software. Trusted by clinics and labs in over 120 countries.",https://www.up3dtech.com/image/pc/product/p42/p42_product2.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.up3dtech.com/en/product/P42
UP3D-P42-PLUS,UP3D,"Shenzhen UP3D Tech Co., Ltd.",P42 PLUS,,,P42 PLUS,1,CAD/CAM фрезерные станки,"P42 PLUS compact wet dental milling machine with pure-water tech and no compressor. Mill glass ceramic, composite, PMMA, titanium—ideal for same-day restorations.",https://www.up3dtech.com/image/responsive/mobile/product/p42-plus/up3d-p42-plus-wet-dental-milling-machine-no-compressor.webp,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.up3dtech.com/en/product/P42-Plus
UP3D-P53,UP3D,"Shenzhen UP3D Tech Co., Ltd.",P53,,,P53,1,CAD/CAM фрезерные станки,"For daily production in dental labs, P53 is a stable dry 5-axis mill with a sliding dust cover, 90° milling and an 11-tool ATC—smart milling, cleaner operation, less downtime.",https://www.up3dtech.com/image/responsive/mobile/product/p53/up3d-p53-dental-milling-machine-dry-milling.webp,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.up3dtech.com/en/product/P53
UP3D-P53-PLUS,UP3D,"Shenzhen UP3D Tech Co., Ltd.",P53 PLUS,,,P53 PLUS,1,CAD/CAM фрезерные станки,"The UP3D P53 PLUS is a 5-axis compressor-free dental milling machine with 500W electric spindle. Mill zirconia, PMMA, PEEK, wax & resin — just plug in and start. No air lines needed.",https://www.up3dtech.com/image/responsive/mobile/product/p53-plus/up3d-p53-plus-5-axis-air-free-dental-milling-machine.webp,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.up3dtech.com/en/product/P53-Plus
UP3D-P53DC,UP3D,"Shenzhen UP3D Tech Co., Ltd.",P53DC,,,P53DC,1,CAD/CAM фрезерные станки,"Built for high-volume labs: P53DC automates 24/7 with a 12-disc changer, Smart Material Management—one-click import & smart nesting—90° milling and ionizer.",https://www.up3dtech.com/image/responsive/pc/product/p53dc/pc/up3d-p53dc-dental-milling-machine-automatic-disc-changer.webp,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.up3dtech.com/en/product/P53DC
UP3D-P54D,UP3D,"Shenzhen UP3D Tech Co., Ltd.",P54D,,,P54D,1,CAD/CAM фрезерные станки,"Descubre la P54D de UP3D: fresadora dental en seco de 5 ejes con diseño antipolvo, mantenimiento sencillo y cámara ampliada. Precisión y eficiencia para tu laboratorio.",https://www.up3dtech.com/image/pc/product/P54D/p54d_banner.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.up3dtech.com/en/product/P54D
UP3D-P55D,UP3D,"Shenzhen UP3D Tech Co., Ltd.",P55D,,,P55D,1,CAD/CAM фрезерные станки,"Explore the P55D dental milling machine by UP3D—high precision, high performance, and ultra-quiet operation without the need for compressed air. Ideal for labs and practice labs seeking efficient, versatile, and cost-effective milling solutions.",https://www.up3dtech.com/image/responsive/mobile/product/p55d/up3d-p55d-dental-milling-machine-banner.webp,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.up3dtech.com/en/product/P55D
UP3D-UP1000,UP3D,"Shenzhen UP3D Tech Co., Ltd.",UP1000,,,UP1000,1,Лабораторные сканеры,"Explore UP3D&#x27;s full line of dental CAD/CAM solutions — including intraoral scanners, lab scanners, dental milling machines, and AI-powered design software. Trusted by clinics and labs in over 120 countries.",https://www.up3dtech.com/image/pc/product/up1000/six1.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.up3dtech.com/en/product/UP1000
UP3D-UP400,UP3D,"Shenzhen UP3D Tech Co., Ltd.",UP400,,,UP400,1,Лабораторные сканеры,"Explore UP3D&#x27;s full line of dental CAD/CAM solutions — including intraoral scanners, lab scanners, dental milling machines, and AI-powered design software. Trusted by clinics and labs in over 120 countries.",https://www.up3dtech.com/image/pc/product/up400/area3.jpeg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.up3dtech.com/en/product/UP400
UP3D-UP560,UP3D,"Shenzhen UP3D Tech Co., Ltd.",UP560,,,UP560,1,Лабораторные сканеры,"Explore UP3D&#x27;s full line of dental CAD/CAM solutions — including intraoral scanners, lab scanners, dental milling machines, and AI-powered design software. Trusted by clinics and labs in over 120 countries.",https://www.up3dtech.com/image/pc/product/up560/area4.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.up3dtech.com/en/product/UP560
